policy,n,frequency,lift,forward_benefit_bps,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,lift_diff_vs_anchor,lift_diff_vs_anchor_ci_low,lift_diff_vs_anchor_ci_high,period
anchor_multiscale_locked,802,1.5637883008356548,1.254733536529048,78.59151659526061,0.9742594501109697,1.517059912582276,0.03824043989002749,0.6842862889499862,158.37292375878076,0.0,0.0,0.0,shock_2022_2023
new_global_extra,511,0.9963788300835655,1.3665531154115629,74.62737752018336,0.9510316486923576,1.7603145490338368,0.04423894026493377,-7.643039972305309,143.91420208585615,0.11181957888251493,-0.38301888835760234,0.6167455878692204,shock_2022_2023
router_equal,782,1.524791086350975,1.2868239083072843,42.02415885406925,1.0895893717489986,1.5094286909213663,0.0022494376405898524,-0.30751319856514264,77.12580316155129,0.03209037177823637,-0.20480814433907005,0.3243995630597396,shock_2022_2023
router_regime_soft,758,1.4779944289693594,1.243086094009577,34.133934401374155,1.0550013786206744,1.473532822730274,0.007248187953011747,-17.32699778221064,78.48808577445571,-0.01164744251947103,-0.28093855273785867,0.3164416419427043,shock_2022_2023
router_global_soft,803,1.5657381615598887,1.2000061497778394,23.73636281682312,0.9972448321947064,1.4317073462086105,0.027243189202699324,-25.645279238127515,65.02664898775917,-0.054727386751208584,-0.32982342107496904,0.26608867033791456,shock_2022_2023
recency_window_short,443,0.8637883008356546,1.3835799682300811,85.76101287905512,1.098935741385946,1.8038279991469477,0.003749062734316421,48.4391278334257,137.8616826374852,0.12884643170103316,-0.20200672034452802,0.6076823406563989,shock_2022_2023
recency_window3,475,0.9261838440111421,1.354567901234568,91.36501340193634,1.0712690932593167,1.7428217499322047,0.005498625343664084,44.020732631883085,164.548267612184,0.09983436470551998,-0.24345628988863902,0.6078864439622196,shock_2022_2023
local_to_global_xgb,905,1.7646239554317549,1.0748652888616057,30.562080787709583,0.8974993230246934,1.284763234592482,0.16820794801299674,-24.674582188220317,95.41843483197671,-0.17986824766744225,-0.4941376831731166,0.20152859097438003,shock_2022_2023
anchor_multiscale_locked,700,1.0218978102189782,1.295267857142857,34.962780070176386,0.9642899755703668,1.5957736647240133,0.04073981504623844,-14.020617796293172,67.27937939342964,0.0,0.0,0.0,retrospective_2024_2026
new_global_extra,677,0.9883211678832117,1.2540004923682915,27.33694643418806,0.9328810444323782,1.6174549800621816,0.05923519120219945,-16.12453651992029,69.77077706500275,-0.04126736477456561,-0.4104815982105429,0.3760695143580374,retrospective_2024_2026
router_equal,1059,1.5459854014598542,1.3275495750708215,38.248109494881405,1.1229026958177157,1.5929250730260063,0.0007498125468632841,8.685588839540392,68.01732616130201,0.032281717927964415,-0.20779586869162123,0.3374214423632165,retrospective_2024_2026
router_regime_soft,1056,1.5416058394160583,1.32488952020202,31.951119356947572,1.1501633974275847,1.5507450031056398,0.00024993751562109475,6.0897095999835145,57.221385358267625,0.029621663059163028,-0.23102020847097832,0.3614255777639408,retrospective_2024_2026
router_global_soft,1014,1.4802919708029199,1.3831155489809337,40.556111418281965,1.175479024844041,1.65907495837167,0.0004998750312421895,10.597174044481807,69.41172577083282,0.08784769183807661,-0.15748739416748928,0.42019736748369274,retrospective_2024_2026
recency_window_short,798,1.164963503649635,1.276629072681704,39.803369320774344,1.0618995736875032,1.625482200308837,0.006248437890527368,10.612290828632059,79.96574632423723,-0.01863878446115308,-0.2928746284421254,0.42104646572136545,retrospective_2024_2026
recency_window3,1066,1.5562043795620437,1.283790650406504,33.291005895656234,1.0804494672015859,1.5805173355993891,0.00424893776555861,4.55706340772267,67.18102501579382,-0.011477206736353107,-0.2869589232436561,0.38429337059672786,retrospective_2024_2026
local_to_global_xgb,1049,1.5313868613138686,1.1103630441690497,15.399815748175046,0.9618219372193689,1.308159727229759,0.06848287928017996,-15.92867769398247,47.0077990449452,-0.18490481297380734,-0.5228491893785971,0.22498414188572072,retrospective_2024_2026
