period,expert,currency,trend,vol,position,common,n,base_rate,mean_score_rank,rank_squared_error
general,global_compact_extra,AMD,0,0,2,0,34,0.20588235294117646,0.791093311028371,0.5278598495258672
general,global_compact_extra,AMD,0,1,2,0,30,0.36666666666666664,0.6022892597347026,0.3237688072093023
general,global_compact_extra,AMD,0,2,1,0,21,0.38095238095238093,0.6088509265659459,0.30147445574199105
general,global_compact_extra,AMD,0,2,2,0,36,0.3611111111111111,0.3947286132780356,0.22754959813093972
general,global_compact_extra,AMD,1,1,0,1,32,0.1875,0.5657894736842105,0.3567004458358603
general,global_compact_extra,AMD,2,0,0,2,26,0.3076923076923077,0.34533286239122124,0.20338133883330556
general,global_compact_extra,AMD,2,1,0,2,83,0.2891566265060241,0.3022424446477527,0.29263552375072305
general,global_compact_extra,AMD,2,1,1,2,30,0.23333333333333334,0.40246864816826305,0.17092568850038461
general,global_compact_extra,AMD,2,2,1,2,26,0.23076923076923078,0.3629292599372584,0.2771304876643213
general,global_compact_extra,KGS,0,0,2,0,23,0.08695652173913043,0.494760025931539,0.32674013064516805
general,global_compact_extra,KGS,0,1,1,0,21,0.2857142857142857,0.5571934840227523,0.2741555691969899
general,global_compact_extra,KGS,0,2,2,0,33,0.42424242424242425,0.3521359541898695,0.22298054647277285
general,global_compact_extra,KGS,1,1,0,1,46,0.2391304347826087,0.5489350466467171,0.2645097979129238
general,global_compact_extra,KGS,1,1,1,1,23,0.13043478260869565,0.5787384277644925,0.3882500529254307
general,global_compact_extra,KGS,2,0,0,2,43,0.27906976744186046,0.442471694748018,0.30894126357625445
general,global_compact_extra,KGS,2,1,0,2,64,0.296875,0.34420078544155885,0.2729922003967064
general,global_compact_extra,KGS,2,2,0,2,43,0.18604651162790697,0.431213128156138,0.31291121425469526
general,global_compact_extra,KZT,0,0,2,0,20,0.15,0.7810975609756098,0.501235210522837
general,global_compact_extra,KZT,0,1,2,0,22,0.13636363636363635,0.45672310145994355,0.2632530195250496
general,global_compact_extra,KZT,0,2,2,0,36,0.3055555555555556,0.46268684009377203,0.24691922989330573
general,global_compact_extra,KZT,1,1,0,1,31,0.1935483870967742,0.6142092203212747,0.3768227744293676
general,global_compact_extra,KZT,2,0,0,2,40,0.175,0.39109311740890684,0.25137432530564147
general,global_compact_extra,KZT,2,1,0,1,26,0.15384615384615385,0.5109000311429461,0.26663090061113304
general,global_compact_extra,KZT,2,1,0,2,78,0.38461538461538464,0.384627622358441,0.3788172888375398
general,global_compact_extra,KZT,2,1,1,2,24,0.25,0.33021049340048053,0.27002371216065896
general,global_compact_extra,KZT,2,2,1,2,27,0.1111111111111111,0.3860874303749785,0.2523479107510004
general,global_compact_extra,TJS,0,0,2,0,35,0.22857142857142856,0.8297695458157589,0.5923865258709148
general,global_compact_extra,TJS,0,1,2,0,29,0.2413793103448276,0.61566609802633,0.3982451505789426
general,global_compact_extra,TJS,0,2,1,0,28,0.25,0.6882990779011318,0.42553284054713963
general,global_compact_extra,TJS,0,2,2,0,27,0.4444444444444444,0.3271604938271605,0.2357411446743194
general,global_compact_extra,TJS,1,1,0,1,43,0.16279069767441862,0.502306750776763,0.26882499608330757
general,global_compact_extra,TJS,1,1,1,1,30,0.16666666666666666,0.5317424267360082,0.29877818904561176
general,global_compact_extra,TJS,2,0,0,2,78,0.21794871794871795,0.3633354264093871,0.242149478505712
general,global_compact_extra,TJS,2,1,0,2,55,0.43636363636363634,0.3406749433707072,0.30147552653234344
general,global_compact_extra,TJS,2,1,1,2,30,0.16666666666666666,0.28203921310468166,0.13803652742161282
general,global_compact_extra,TJS,2,2,0,2,25,0.12,0.7072683585135446,0.6120017276046412
general,global_compact_extra,UZS,0,0,2,0,30,0.13333333333333333,0.8395663956639566,0.667175622975742
general,global_compact_extra,UZS,0,2,1,0,24,0.16666666666666666,0.6295731707317073,0.48288538017494
general,global_compact_extra,UZS,0,2,2,0,34,0.4117647058823529,0.38928742228598756,0.28590494298056324
general,global_compact_extra,UZS,1,1,0,1,36,0.05555555555555555,0.47064777327935226,0.25824650643529823
general,global_compact_extra,UZS,2,0,0,2,57,0.19298245614035087,0.4112375174465574,0.2772984832385641
general,global_compact_extra,UZS,2,1,0,2,102,0.3235294117647059,0.2725823221556817,0.27211504755541854
general,global_compact_extra,UZS,2,1,1,2,23,0.21739130434782608,0.33842375741131114,0.07203156750844797
general,global_gmm3_hist,AMD,0,0,2,0,34,0.20588235294117646,0.5877439847272966,0.36896709687456636
general,global_gmm3_hist,AMD,0,1,2,0,30,0.36666666666666664,0.43223121907332435,0.37273956198929636
general,global_gmm3_hist,AMD,0,2,1,0,21,0.38095238095238093,0.5594223206546698,0.3301143375575495
general,global_gmm3_hist,AMD,0,2,2,0,36,0.3611111111111111,0.4726706933061233,0.24566987046378796
general,global_gmm3_hist,AMD,1,1,0,1,32,0.1875,0.5947621457489879,0.39566652051336687
general,global_gmm3_hist,AMD,2,0,0,2,26,0.3076923076923077,0.2470648406266062,0.22612967983010177
general,global_gmm3_hist,AMD,2,1,0,2,83,0.2891566265060241,0.3233284674195945,0.2395420310904324
general,global_gmm3_hist,AMD,2,1,1,2,30,0.23333333333333334,0.28309908605158923,0.2578376303719642
general,global_gmm3_hist,AMD,2,2,1,2,26,0.23076923076923078,0.42914663263730113,0.3390997220316151
general,global_gmm3_hist,KGS,0,0,2,0,23,0.08695652173913043,0.4563356960800729,0.2532098118133548
general,global_gmm3_hist,KGS,0,1,1,0,21,0.2857142857142857,0.2452652895528377,0.27333573834542346
general,global_gmm3_hist,KGS,0,2,2,0,33,0.42424242424242425,0.37711667878548494,0.25821916088578256
general,global_gmm3_hist,KGS,1,1,0,1,46,0.2391304347826087,0.5259637387783841,0.3716661191114355
general,global_gmm3_hist,KGS,1,1,1,1,23,0.13043478260869565,0.4748018999288743,0.2721195710391709
general,global_gmm3_hist,KGS,2,0,0,2,43,0.27906976744186046,0.4193039101090568,0.283170168832085
general,global_gmm3_hist,KGS,2,1,0,2,64,0.296875,0.3805364578190316,0.2312797361842839
general,global_gmm3_hist,KGS,2,2,0,2,43,0.18604651162790697,0.3746236746803962,0.19388387066214244
general,global_gmm3_hist,KZT,0,0,2,0,20,0.15,0.6747967479674797,0.3722321369555159
general,global_gmm3_hist,KZT,0,1,2,0,22,0.13636363636363635,0.6432646301067354,0.5043649076701296
general,global_gmm3_hist,KZT,0,2,2,0,36,0.3055555555555556,0.5058273811483054,0.2023438804793061
general,global_gmm3_hist,KZT,1,1,0,1,31,0.1935483870967742,0.6012798746245266,0.30937899696448806
general,global_gmm3_hist,KZT,2,0,0,2,40,0.175,0.3684955235179882,0.2919644026576033
general,global_gmm3_hist,KZT,2,1,0,1,26,0.15384615384615385,0.40049828713796326,0.23085370758664864
general,global_gmm3_hist,KZT,2,1,0,2,78,0.38461538461538464,0.2931576668616266,0.3417042837279072
general,global_gmm3_hist,KZT,2,1,1,2,24,0.25,0.28617255302107675,0.21162259351657078
general,global_gmm3_hist,KZT,2,2,1,2,27,0.1111111111111111,0.40485098508205053,0.26232968810019475
general,global_gmm3_hist,TJS,0,0,2,0,35,0.22857142857142856,0.708355786276197,0.46361454168819877
general,global_gmm3_hist,TJS,0,1,2,0,29,0.2413793103448276,0.5664605487322498,0.4510843358018659
general,global_gmm3_hist,TJS,0,2,1,0,28,0.25,0.669540878462573,0.4512031326821585
general,global_gmm3_hist,TJS,0,2,2,0,27,0.4444444444444444,0.4650707618187293,0.23991879711028366
general,global_gmm3_hist,TJS,1,1,0,1,43,0.16279069767441862,0.5265982487524715,0.35896038213195386
general,global_gmm3_hist,TJS,1,1,1,1,30,0.16666666666666666,0.5199735580351754,0.3083753690498956
general,global_gmm3_hist,TJS,2,0,0,2,78,0.21794871794871795,0.3624397502150045,0.210271967342242
general,global_gmm3_hist,TJS,2,1,0,2,55,0.43636363636363634,0.4222510480533587,0.3509853553787442
general,global_gmm3_hist,TJS,2,1,1,2,30,0.16666666666666666,0.27841907771304436,0.1612765499025561
general,global_gmm3_hist,TJS,2,2,0,2,25,0.12,0.7879997366775287,0.7761734740830988
general,global_gmm3_hist,UZS,0,0,2,0,30,0.13333333333333333,0.6849593495934959,0.45077940820058604
general,global_gmm3_hist,UZS,0,2,1,0,24,0.16666666666666666,0.5526761517615176,0.40087814241963554
general,global_gmm3_hist,UZS,0,2,2,0,34,0.4117647058823529,0.44225251076040173,0.23581075301427332
general,global_gmm3_hist,UZS,1,1,0,1,36,0.05555555555555555,0.49808816914080073,0.3092517315295922
