block,currency,peer_lag,corr_own_with_lagged_peers,corr_own_with_common_factor
transition,UZS,1,-0.1031664609273382,-0.10365674463618837
transition,UZS,2,0.056324236902620985,0.05787808798186441
transition,UZS,3,-0.0044086236539390275,-0.009568529477159313
transition,UZS,4,0.054962549247491506,0.05171113633971415
transition,UZS,5,-0.09097879908395047,-0.08924574755824487
shock_adaptation,AMD,0,0.931396203136115,0.9563941438502994
shock_adaptation,AMD,1,0.15295760878532677,0.15201944612248544
shock_adaptation,AMD,2,0.00865096031801615,0.0086060985454289
shock_adaptation,AMD,3,0.10063412318616603,0.09978964038356647
shock_adaptation,AMD,4,0.024202829144582935,0.02747574453606457
shock_adaptation,AMD,5,0.0685811847095143,0.06317247479298863
shock_adaptation,KGS,0,0.8448358967019743,0.9017103911687119
shock_adaptation,KGS,1,0.12562272427945873,0.12923112964902944
shock_adaptation,KGS,2,-0.14194059657076416,-0.13481567997117405
shock_adaptation,KGS,3,0.04323102557569487,0.03235541346249022
shock_adaptation,KGS,4,0.01391430034814742,-0.018180042743191155
shock_adaptation,KGS,5,0.05798281702230471,0.0460877917147799
shock_adaptation,KZT,0,0.8517040266005398,0.9028526181232466
shock_adaptation,KZT,1,0.11451096648343037,0.12892024800395588
shock_adaptation,KZT,2,-0.04312476390511952,-0.06309343975872987
shock_adaptation,KZT,3,0.14078987815668917,0.13863435798317147
shock_adaptation,KZT,4,0.034089907505012756,0.03856922712397914
shock_adaptation,KZT,5,0.046194713560852495,0.04099774258010562
shock_adaptation,TJS,0,0.7718525415289693,0.8629545181889358
shock_adaptation,TJS,1,0.23541067534803148,0.17763940785915142
shock_adaptation,TJS,2,0.04143356597425284,0.05734520630128433
shock_adaptation,TJS,3,-0.04475895966479231,-0.03362851028944493
shock_adaptation,TJS,4,0.012681363366923442,-0.0006539767612809221
shock_adaptation,TJS,5,0.172134911604658,0.20680998045671492
shock_adaptation,UZS,0,0.9451273716149906,0.9653397396507692
shock_adaptation,UZS,1,0.18927940554386496,0.19043741198466915
shock_adaptation,UZS,2,0.023889116230821898,0.027471964131857634
shock_adaptation,UZS,3,0.10909385134799246,0.11307494769246215
shock_adaptation,UZS,4,0.02667073831442226,0.03643461648879162
shock_adaptation,UZS,5,0.05502899422515058,0.06190427212040237
retrospective_final,AMD,0,0.9732869592401863,0.9827247758957127
retrospective_final,AMD,1,0.17743365449558557,0.17719328544429308
retrospective_final,AMD,2,-0.041381070017810134,-0.03795199947573898
retrospective_final,AMD,3,-0.07530776981482198,-0.07608908516402521
retrospective_final,AMD,4,-0.02350506425542905,-0.01960865715039755
retrospective_final,AMD,5,-0.05730104248005318,-0.05825224057859081
retrospective_final,KGS,0,0.971592053134106,0.9816297771695855
retrospective_final,KGS,1,0.16522748313628555,0.1645453949573332
retrospective_final,KGS,2,-0.048725903675791715,-0.04774902428478985
retrospective_final,KGS,3,-0.07500985662100204,-0.07427090653889548
retrospective_final,KGS,4,0.0015030966770650457,0.0034980152957921184
retrospective_final,KGS,5,-0.03621141309883807,-0.040560120046604906
retrospective_final,KZT,0,0.8370604720453146,0.900146302003569
retrospective_final,KZT,1,0.04498790521195528,0.0524131747561264
retrospective_final,KZT,2,-0.06305136284956987,-0.07008621732782468
retrospective_final,KZT,3,-0.025248926489739257,-0.02378177776732201
retrospective_final,KZT,4,-0.005924305405372823,-0.00985607776878977
retrospective_final,KZT,5,0.0005606015672106303,0.002542806723913348
retrospective_final,TJS,0,0.9449504942801101,0.9648482613145172
retrospective_final,TJS,1,0.16448453187967957,0.1637858907733417
retrospective_final,TJS,2,-0.05583724183585115,-0.05318952837775638
retrospective_final,TJS,3,-0.08586557909408941,-0.08219030840126107
retrospective_final,TJS,4,-0.01840283251313245,-0.017687315387349762
retrospective_final,TJS,5,-0.05291655375247685,-0.052344341701939114
retrospective_final,UZS,0,0.9380650212175959,0.9607635476137917
retrospective_final,UZS,1,0.19006169609580056,0.19246234834617748
retrospective_final,UZS,2,-0.026543746107867933,-0.034153350763712544
retrospective_final,UZS,3,-0.06937404519601138,-0.08118415651506522
retrospective_final,UZS,4,-0.02094019919151243,-0.021032351706552127
retrospective_final,UZS,5,-0.034647995160231614,-0.031393189999660245
