block,currency,peer_lag,corr_own_with_lagged_peers,corr_own_with_common_factor
development,AMD,0,0.9317145425728316,0.9561366955584266
development,AMD,1,-0.05638125944232908,-0.0636224118525446
development,AMD,2,0.03920087797960262,0.03704319794057269
development,AMD,3,0.002645470279996268,-0.0011788619219476762
development,AMD,4,-0.011291906229253714,-0.015182029084306017
development,AMD,5,-0.004746159919116184,-0.005764068813726131
development,KGS,0,0.8881352477950931,0.9291845421343925
development,KGS,1,-0.020448279938045544,-0.023036158224885788
development,KGS,2,0.012745322228659456,0.017721078304156097
development,KGS,3,-0.01111524636318189,-0.010478971700394064
development,KGS,4,-0.03372860310670502,-0.03407539591037623
development,KGS,5,-0.028602724730902,-0.030481244817630582
development,KZT,0,0.7520193188209635,0.844596643772764
development,KZT,1,-0.04227665919413411,-0.041639443868067866
development,KZT,2,0.03104673984901101,0.015115286913355676
development,KZT,3,0.0068229670603597,0.007500530102109841
development,KZT,4,-0.029163246521638833,-0.019800122567269204
development,KZT,5,0.0025776805784615453,0.006741362728675463
development,TJS,0,0.8708563293678754,0.9201009466541156
development,TJS,1,-0.04392605353894445,-0.06151437432375989
development,TJS,2,0.017263273177625313,0.022058091544075894
development,TJS,3,0.006658621518532498,0.003249510477051395
development,TJS,4,-0.035550809772388135,-0.03433334209411155
development,TJS,5,-0.010936136837607628,-0.00925251493071593
development,UZS,0,0.9413467026612663,0.9626011564440357
development,UZS,1,-0.06623572680184,-0.06597396480865958
development,UZS,2,0.05197274940790104,0.05280030078505952
development,UZS,3,0.005580258862443942,0.00840965546531006
development,UZS,4,-0.01954937856543913,-0.02088090099937794
development,UZS,5,-0.005293643785919412,-0.0070361558656349115
general_validation,AMD,0,0.8387481692152833,0.8931636716306711
general_validation,AMD,1,0.0669470567597267,0.058007948198117734
general_validation,AMD,2,-0.019608242138238592,-0.020122566516166823
general_validation,AMD,3,-0.014872877266579767,-0.0168547477071468
general_validation,AMD,4,0.006457552442062799,0.005926442380424263
general_validation,AMD,5,-0.017206260665524095,-0.016028913729345666
general_validation,KGS,0,0.7169463253278752,0.8202910510641929
general_validation,KGS,1,0.0774486875939255,0.07736424727711204
general_validation,KGS,2,-0.04602398494638946,-0.038988554388877196
general_validation,KGS,3,-0.07362496585179704,-0.06708667689563562
general_validation,KGS,4,0.01859378081549477,-0.0019379032576431242
general_validation,KGS,5,-0.05842242939996824,-0.06494799338362255
general_validation,KZT,0,0.6976808925039117,0.7718877709500331
general_validation,KZT,1,0.029762564895107917,0.03642866708289983
general_validation,KZT,2,-0.057406705113384554,-0.06972775102107985
general_validation,KZT,3,-0.020818763723173643,-0.02452305075569983
general_validation,KZT,4,-0.10125189007437402,-0.09736485694892133
general_validation,KZT,5,-0.029269617076520513,-0.04454382089823302
general_validation,TJS,0,0.7606719468494451,0.8484245830817256
general_validation,TJS,1,0.04995010637891809,0.04345313307737277
general_validation,TJS,2,-0.022310800243957322,-0.019929945462678067
general_validation,TJS,3,-0.031069607429582143,-0.029345417654712453
general_validation,TJS,4,-0.017161905383237325,-0.012589334147158507
general_validation,TJS,5,-0.0162594181610061,-0.017323974920464325
general_validation,UZS,0,0.4432853062984285,0.7512256162573744
general_validation,UZS,1,0.06089104031858393,0.06376359544534681
general_validation,UZS,2,0.011379561619429669,0.015683673093732333
general_validation,UZS,3,0.01308101098119941,0.010588239347603105
general_validation,UZS,4,-0.0017574982816908112,-0.0006903793650577361
general_validation,UZS,5,0.006231752777453228,0.008495674588529975
transition,AMD,0,0.787158825843874,0.8751126339210047
transition,AMD,1,-0.03729747101960626,-0.05497141033044263
transition,AMD,2,0.05267654232677652,0.05967662141229872
transition,AMD,3,-0.11450084175377523,-0.10984728793924739
transition,AMD,4,0.10595427601631906,0.11747046911832477
transition,AMD,5,-0.08781380784402369,-0.08340497384084025
transition,KGS,0,0.9476202051325747,0.9671313539081606
transition,KGS,1,-0.09968896526652425,-0.09437319734835004
transition,KGS,2,0.0522621403806121,0.052517785635414274
transition,KGS,3,-0.033780292599609026,-0.03233416430792702
transition,KGS,4,0.0525287477973469,0.0512618698518985
transition,KGS,5,-0.08534135759671703,-0.08755821286961295
transition,KZT,0,0.8715076708141235,0.909707156784802
transition,KZT,1,-0.09023349689713528,-0.08704859412185642
transition,KZT,2,0.018954639264097968,0.015314926568464384
transition,KZT,3,-0.006996240096298011,-0.010911922935122336
transition,KZT,4,0.02553685129115024,0.02503252714346517
transition,KZT,5,-0.11032991443877785,-0.11276390831677338
transition,TJS,0,0.9422096633248963,0.9636625857160573
transition,TJS,1,-0.09045454637418056,-0.09508559009049644
transition,TJS,2,0.05351963064057551,0.05179791176379743
transition,TJS,3,-0.02235337825945617,-0.024938907685206436
transition,TJS,4,0.04427346562215445,0.04365409353628284
transition,TJS,5,-0.09726341304003906,-0.09903798020379005
transition,UZS,0,0.9356284034184866,0.9598897689184126
