rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,robustness
0.2,1072,1.0343211578221916,120,0,0.3218283582089552,0.24577822990844353,1.309425811752496,0.5481184246021041,2.8762093297968883,1.295329604089309,1.339432301730538,4,4,0.9407305306685045,1.1144038594073054,1.2381466486729644,0.851921274601687,local_pairwise_quarter_w5,1.2381466486729644
0.2,1037,1.000551343900758,250,0,0.3240115718418515,0.24577822990844353,1.3183086718565398,0.5596353640954914,12.334808958217724,1.313742437337943,1.3952374197633657,4,4,0.9262577532736045,1.042039972432805,1.208026103907111,0.8633720930232558,global_ndcg_quarter_w5,1.208026103907111
0.2,994,0.9590627153687113,120,0,0.3380281690140845,0.24577822990844353,1.3753381214438951,0.5681115868135638,18.119682166806598,1.2008426966292136,1.3105314394453136,4,4,0.8780151619572709,0.9889731219848381,1.2165841584158414,0.8129423660262892,global_pairwise_quarter_w5,1.2008426966292136
0.35,702,0.6773259820813233,250,3,0.301994301994302,0.24577822990844353,1.2287268164751608,0.5418231705900953,-12.822711532757957,1.1686106450504357,1.2395605728036414,4,4,0.6705720192970366,0.6850447966919366,1.1539989765509768,0.9081779053084649,global_pairwise_year_w5,1.1539989765509768
0.25,1187,1.1452791178497588,120,0,0.2847514743049705,0.24577822990844353,1.1585707750073924,0.555538497062118,1.9187745015917776,1.0329346042166394,1.1895784915531167,4,4,1.1144038594073054,1.1867677463818056,1.0408334044915037,0.8781725888324873,global_pairwise_quarter_w3,1.0329346042166394
