period,policy,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
shock_2022_2023,anchor_multiscale_locked,overall,all,2470,802,1.5637883008356548,0.32793522267206476,0.4114713216957606,1.254733536529048,78.59151659526061
shock_2022_2023,anchor_multiscale_locked,year,2022,1235,321,1.269491525423729,0.2777327935222672,0.3426791277258567,1.233844672715548,102.2501780158209
shock_2022_2023,anchor_multiscale_locked,year,2023,1235,481,1.9022598870056497,0.3781376518218624,0.4573804573804574,1.2095607384686613,62.80268017946051
shock_2022_2023,anchor_multiscale_locked,currency,TJS,494,163,1.5891364902506964,0.34615384615384615,0.4049079754601227,1.1697341513292434,82.2731825787015
shock_2022_2023,anchor_multiscale_locked,currency,UZS,494,158,1.5403899721448469,0.32388663967611336,0.41139240506329117,1.2701740506329116,81.73015754666278
shock_2022_2023,anchor_multiscale_locked,currency,KGS,494,157,1.5306406685236769,0.32186234817813764,0.4140127388535032,1.2863037295196893,67.69968209424265
shock_2022_2023,anchor_multiscale_locked,currency,AMD,494,148,1.4428969359331476,0.33805668016194335,0.4391891891891892,1.2991584398770026,83.02563561231474
shock_2022_2023,anchor_multiscale_locked,currency,KZT,494,176,1.7158774373259054,0.3097165991902834,0.39204545454545453,1.2658199643493762,78.35146873454133
shock_2022_2023,new_global_extra,overall,all,2470,511,0.9963788300835655,0.32793522267206476,0.4481409001956947,1.3665531154115629,74.62737752018336
shock_2022_2023,new_global_extra,year,2022,1235,282,1.1152542372881356,0.2777327935222672,0.3971631205673759,1.4300188160370533,60.53234854368937
shock_2022_2023,new_global_extra,year,2023,1235,229,0.9056497175141243,0.3781376518218624,0.5109170305676856,1.3511403270901319,91.98457477507985
shock_2022_2023,new_global_extra,currency,TJS,494,102,0.9944289693593314,0.34615384615384615,0.5098039215686274,1.4727668845315904,116.97876585004633
shock_2022_2023,new_global_extra,currency,UZS,494,105,1.0236768802228413,0.32388663967611336,0.38095238095238093,1.176190476190476,52.6676179272333
