period,policy,breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
shock_2022_2023,new_global_extra,currency,KGS,494,104,1.0139275766016713,0.32186234817813764,0.46153846153846156,1.4339622641509435,55.61205633596525
shock_2022_2023,new_global_extra,currency,AMD,494,103,1.0041782729805013,0.33805668016194335,0.4854368932038835,1.4359630254054996,108.36423982126298
shock_2022_2023,new_global_extra,currency,KZT,494,97,0.9456824512534819,0.3097165991902834,0.4020618556701031,1.2981605013139277,38.427684053804
shock_2022_2023,router_equal,overall,all,2470,782,1.524791086350975,0.32793522267206476,0.4219948849104859,1.2868239083072843,42.02415885406925
shock_2022_2023,router_equal,year,2022,1235,271,1.0717514124293785,0.2777327935222672,0.3837638376383764,1.3817735844996935,18.51109360219071
shock_2022_2023,router_equal,year,2023,1235,511,2.02090395480226,0.3781376518218624,0.44227005870841485,1.1696006905886345,54.49390578804007
shock_2022_2023,router_equal,currency,TJS,494,169,1.6476323119777159,0.34615384615384615,0.4378698224852071,1.2649572649572651,54.48512994057119
shock_2022_2023,router_equal,currency,UZS,494,152,1.4818941504178273,0.32388663967611336,0.4144736842105263,1.2796875,48.515971837293804
shock_2022_2023,router_equal,currency,KGS,494,130,1.267409470752089,0.32186234817813764,0.3923076923076923,1.2188679245283018,7.11410548877583
shock_2022_2023,router_equal,currency,AMD,494,184,1.7938718662952646,0.33805668016194335,0.4673913043478261,1.3825826607654257,73.8900279579178
shock_2022_2023,router_equal,currency,KZT,494,147,1.4331476323119778,0.3097165991902834,0.38095238095238093,1.2300031123560535,11.971963856185258
shock_2022_2023,router_regime_soft,overall,all,2470,758,1.4779944289693594,0.32793522267206476,0.4076517150395778,1.243086094009577,34.133934401374155
shock_2022_2023,router_regime_soft,year,2022,1235,266,1.0519774011299436,0.2777327935222672,0.32706766917293234,1.177634319033736,-7.385134496099124
shock_2022_2023,router_regime_soft,year,2023,1235,492,1.945762711864407,0.3781376518218624,0.45121951219512196,1.1932678748629026,56.58123587846337
shock_2022_2023,router_regime_soft,currency,TJS,494,163,1.5891364902506964,0.34615384615384615,0.4294478527607362,1.2406271301976823,59.58639344212959
shock_2022_2023,router_regime_soft,currency,UZS,494,139,1.3551532033426184,0.32388663967611336,0.381294964028777,1.177248201438849,16.97203759161477
shock_2022_2023,router_regime_soft,currency,KGS,494,139,1.3551532033426184,0.32186234817813764,0.37410071942446044,1.162300348400525,8.094553409283572
shock_2022_2023,router_regime_soft,currency,AMD,494,179,1.7451253481894151,0.33805668016194335,0.48044692737430167,1.4212022881611077,67.16903118321247
shock_2022_2023,router_regime_soft,currency,KZT,494,138,1.3454038997214486,0.3097165991902834,0.34782608695652173,1.1230463199772662,4.734981262714342
shock_2022_2023,router_global_soft,overall,all,2470,803,1.5657381615598887,0.32793522267206476,0.39352428393524286,1.2000061497778394,23.73636281682312
shock_2022_2023,router_global_soft,year,2022,1235,301,1.1903954802259888,0.2777327935222672,0.3554817275747508,1.2799414972443652,-2.187900798876653
shock_2022_2023,router_global_soft,year,2023,1235,502,1.985310734463277,0.3781376518218624,0.4163346613545817,1.1010135048670415,39.280592594364215
shock_2022_2023,router_global_soft,currency,TJS,494,168,1.637883008356546,0.34615384615384615,0.40476190476190477,1.1693121693121693,48.136544187651516
shock_2022_2023,router_global_soft,currency,UZS,494,159,1.5501392757660168,0.32388663967611336,0.3836477987421384,1.1845125786163522,11.726142938236563
shock_2022_2023,router_global_soft,currency,KGS,494,149,1.4526462395543176,0.32186234817813764,0.37583892617449666,1.1677008146553545,4.487900676145687
shock_2022_2023,router_global_soft,currency,AMD,494,174,1.6963788300835656,0.33805668016194335,0.4482758620689655,1.326037580012389,52.41796347716248
shock_2022_2023,router_global_soft,currency,KZT,494,153,1.4916434540389973,0.3097165991902834,0.3464052287581699,1.1184587124610192,-4.447840879529956
shock_2022_2023,recency_window_short,overall,all,2470,443,0.8637883008356546,0.32793522267206476,0.45372460496614,1.3835799682300811,85.76101287905512
shock_2022_2023,recency_window_short,year,2022,1235,159,0.628813559322034,0.2777327935222672,0.41509433962264153,1.4945816601573245,131.09704730475318
shock_2022_2023,recency_window_short,year,2023,1235,284,1.1231638418079095,0.3781376518218624,0.4753521126760563,1.257087492837108,60.379218957625596
shock_2022_2023,recency_window_short,currency,TJS,494,94,0.9164345403899722,0.34615384615384615,0.48936170212765956,1.41371158392435,81.05878113214719
shock_2022_2023,recency_window_short,currency,UZS,494,87,0.8481894150417828,0.32388663967611336,0.4482758620689655,1.384051724137931,94.85496347823702
shock_2022_2023,recency_window_short,currency,KGS,494,97,0.9456824512534819,0.32186234817813764,0.5154639175257731,1.6015042469039744,98.31400210333224
shock_2022_2023,recency_window_short,currency,AMD,494,101,0.9846796657381616,0.33805668016194335,0.42574257425742573,1.2593822256477143,67.95173426722211
shock_2022_2023,recency_window_short,currency,KZT,494,64,0.6239554317548747,0.3097165991902834,0.359375,1.1603349673202614,89.38497017781724
shock_2022_2023,recency_window3,overall,all,2470,475,0.9261838440111421,0.32793522267206476,0.4442105263157895,1.354567901234568,91.36501340193634
shock_2022_2023,recency_window3,year,2022,1235,203,0.8028248587570622,0.2777327935222672,0.46798029556650245,1.6850019388473192,143.7787612863644
shock_2022_2023,recency_window3,year,2023,1235,272,1.0757062146892655,0.3781376518218624,0.4264705882352941,1.1278183650333793,52.24740009113162
shock_2022_2023,recency_window3,currency,TJS,494,85,0.8286908077994429,0.34615384615384615,0.5294117647058824,1.5294117647058825,91.58400524070875
shock_2022_2023,recency_window3,currency,UZS,494,88,0.8579387186629527,0.32388663967611336,0.3977272727272727,1.2279829545454544,92.72726658468085
shock_2022_2023,recency_window3,currency,KGS,494,96,0.935933147632312,0.32186234817813764,0.5104166666666666,1.58582285115304,99.29125240700166
shock_2022_2023,recency_window3,currency,AMD,494,111,1.0821727019498608,0.33805668016194335,0.43243243243243246,1.2791713869558181,80.53349453754419
shock_2022_2023,recency_window3,currency,KZT,494,95,0.9261838440111421,0.3097165991902834,0.35789473684210527,1.1555555555555557,94.5532982765057
shock_2022_2023,local_to_global_xgb,overall,all,2470,905,1.7646239554317549,0.32793522267206476,0.3524861878453039,1.0748652888616057,30.562080787709583
shock_2022_2023,local_to_global_xgb,year,2022,1235,239,0.9451977401129943,0.2777327935222672,0.2719665271966527,0.9792380789733706,20.816535953365943
shock_2022_2023,local_to_global_xgb,year,2023,1235,666,2.6338983050847458,0.3781376518218624,0.3813813813813814,1.0085781713190707,34.059355885919985
shock_2022_2023,local_to_global_xgb,currency,TJS,494,179,1.7451253481894151,0.34615384615384615,0.44692737430167595,1.2911235257603972,76.11745827306295
shock_2022_2023,local_to_global_xgb,currency,UZS,494,193,1.8816155988857939,0.32388663967611336,0.41968911917098445,1.2957901554404145,77.71512565885948
shock_2022_2023,local_to_global_xgb,currency,KGS,494,204,1.988857938718663,0.32186234817813764,0.30392156862745096,0.9442594647922061,7.029402968245061
shock_2022_2023,local_to_global_xgb,currency,AMD,494,166,1.6183844011142061,0.33805668016194335,0.3313253012048193,0.980088016737609,11.758416590732327
shock_2022_2023,local_to_global_xgb,currency,KZT,494,163,1.5891364902506964,0.3097165991902834,0.25153374233128833,0.812141625566382,-26.694825335856052
retrospective_2024_2026,anchor_multiscale_locked,overall,all,3260,700,1.0218978102189782,0.294478527607362,0.38142857142857145,1.295267857142857,34.962780070176386
retrospective_2024_2026,anchor_multiscale_locked,year,2024,1240,343,1.356497175141243,0.3379032258064516,0.4227405247813411,1.2510698108087421,37.98733021963308
retrospective_2024_2026,anchor_multiscale_locked,year,2025,1235,71,0.27999999999999997,0.22186234817813766,0.11267605633802817,0.5078647064870978,-60.3296811484705
retrospective_2024_2026,anchor_multiscale_locked,year,2026,785,286,1.7795555555555556,0.3401273885350318,0.3986013986013986,1.1719179696707787,54.99195505360394
retrospective_2024_2026,anchor_multiscale_locked,currency,TJS,652,108,0.7883211678832117,0.3205521472392638,0.42592592592592593,1.3287258550416445,38.55402002384276
retrospective_2024_2026,anchor_multiscale_locked,currency,UZS,652,130,0.948905109489051,0.294478527607362,0.4,1.3583333333333334,26.87323108668727
retrospective_2024_2026,anchor_multiscale_locked,currency,KGS,652,148,1.0802919708029197,0.2929447852760736,0.39864864864864863,1.3608320362247064,41.56644474657828
retrospective_2024_2026,anchor_multiscale_locked,currency,AMD,652,140,1.0218978102189782,0.29754601226993865,0.42857142857142855,1.4403534609720177,46.06228873715619
retrospective_2024_2026,anchor_multiscale_locked,currency,KZT,652,174,1.27007299270073,0.2668711656441718,0.28735632183908044,1.0767604703395428,24.23010114703248
retrospective_2024_2026,new_global_extra,overall,all,3260,677,0.9883211678832117,0.294478527607362,0.36927621861152143,1.2540004923682915,27.33694643418806
retrospective_2024_2026,new_global_extra,year,2024,1240,440,1.7401129943502827,0.3379032258064516,0.39545454545454545,1.170318941201996,42.743567560839224
retrospective_2024_2026,new_global_extra,year,2025,1235,187,0.7374647887323943,0.22186234817813766,0.23529411764705882,1.060541004723057,-32.50466612184961
retrospective_2024_2026,new_global_extra,year,2026,785,50,0.31111111111111106,0.3401273885350318,0.64,1.8816479400749064,115.56631147923873
retrospective_2024_2026,new_global_extra,currency,TJS,652,141,1.0291970802919708,0.3205521472392638,0.3900709219858156,1.2168719671519224,23.50562288747888
retrospective_2024_2026,new_global_extra,currency,UZS,652,132,0.9635036496350365,0.294478527607362,0.36363636363636365,1.2348484848484849,19.310396052950747
retrospective_2024_2026,new_global_extra,currency,KGS,652,123,0.8978102189781022,0.2929447852760736,0.3983739837398374,1.3598944366407015,30.32400762330317
retrospective_2024_2026,new_global_extra,currency,AMD,652,129,0.9416058394160584,0.29754601226993865,0.35658914728682173,1.1984336290258133,31.57878856630923
retrospective_2024_2026,new_global_extra,currency,KZT,652,152,1.1094890510948905,0.2668711656441718,0.34210526315789475,1.281911675741077,31.844282678296814
retrospective_2024_2026,router_equal,overall,all,3260,1059,1.5459854014598542,0.294478527607362,0.3909348441926346,1.3275495750708215,38.248109494881405
retrospective_2024_2026,router_equal,year,2024,1240,611,2.4163841807909607,0.3379032258064516,0.41407528641571195,1.2254256686288374,38.538606795019774
retrospective_2024_2026,router_equal,year,2025,1235,184,0.7256338028169014,0.22186234817813766,0.1956521739130435,0.8818629006664551,-16.397611213189563
retrospective_2024_2026,router_equal,year,2026,785,264,1.6426666666666665,0.3401273885350318,0.4734848484848485,1.3920809215753038,75.66219570662575
retrospective_2024_2026,router_equal,currency,TJS,652,185,1.3503649635036497,0.3205521472392638,0.41621621621621624,1.298435277382646,37.32718277670704
retrospective_2024_2026,router_equal,currency,UZS,652,235,1.7153284671532847,0.294478527607362,0.41702127659574467,1.4161347517730496,39.61832399087817
retrospective_2024_2026,router_equal,currency,KGS,652,198,1.4452554744525548,0.2929447852760736,0.41414141414141414,1.413718335184304,41.87721088862791
retrospective_2024_2026,router_equal,currency,AMD,652,222,1.6204379562043796,0.29754601226993865,0.4009009009009009,1.3473576669452958,44.1691182047416
retrospective_2024_2026,router_equal,currency,KZT,652,219,1.5985401459854014,0.2668711656441718,0.3105022831050228,1.1634913137038785,28.27251600973184
retrospective_2024_2026,router_regime_soft,overall,all,3260,1056,1.5416058394160583,0.294478527607362,0.39015151515151514,1.32488952020202,31.951119356947572
retrospective_2024_2026,router_regime_soft,year,2024,1240,609,2.4084745762711863,0.3379032258064516,0.3924466338259442,1.161417245690145,25.63561400484911
retrospective_2024_2026,router_regime_soft,year,2025,1235,198,0.7808450704225353,0.22186234817813766,0.2878787878787879,1.2975558504755587,6.107348538393004
retrospective_2024_2026,router_regime_soft,year,2026,785,249,1.549333333333333,0.3401273885350318,0.46586345381526106,1.3696734503557302,67.9479441822559
retrospective_2024_2026,router_regime_soft,currency,TJS,652,207,1.510948905109489,0.3205521472392638,0.42028985507246375,1.3111434713265377,25.59197318992432
retrospective_2024_2026,router_regime_soft,currency,UZS,652,210,1.532846715328467,0.294478527607362,0.3952380952380952,1.3421626984126982,32.40926375950025
retrospective_2024_2026,router_regime_soft,currency,KGS,652,182,1.3284671532846715,0.2929447852760736,0.4065934065934066,1.3879523617743514,44.47861757187317
retrospective_2024_2026,router_regime_soft,currency,AMD,652,213,1.5547445255474452,0.29754601226993865,0.4131455399061033,1.3885097526741204,36.96170416911365
retrospective_2024_2026,router_regime_soft,currency,KZT,652,244,1.781021897810219,0.2668711656441718,0.32786885245901637,1.228566044846429,23.23338858616856
retrospective_2024_2026,router_global_soft,overall,all,3260,1014,1.4802919708029199,0.294478527607362,0.4072978303747535,1.3831155489809337,40.556111418281965
retrospective_2024_2026,router_global_soft,year,2024,1240,608,2.4045197740112996,0.3379032258064516,0.4292763157894737,1.2704120085416406,39.80283969482674
retrospective_2024_2026,router_global_soft,year,2025,1235,158,0.6230985915492958,0.22186234817813766,0.20253164556962025,0.9128707382426314,-17.226826988268467
retrospective_2024_2026,router_global_soft,year,2026,785,248,1.543111111111111,0.3401273885350318,0.4838709677419355,1.4226168901776006,79.21616575737775
retrospective_2024_2026,router_global_soft,currency,TJS,652,182,1.3284671532846715,0.3205521472392638,0.43956043956043955,1.3712603186287398,43.79295417337566
retrospective_2024_2026,router_global_soft,currency,UZS,652,214,1.562043795620438,0.294478527607362,0.4158878504672897,1.4122858255451711,37.89689318896486
retrospective_2024_2026,router_global_soft,currency,KGS,652,195,1.4233576642335766,0.2929447852760736,0.4358974358974359,1.4879849644247551,43.88413787438086
retrospective_2024_2026,router_global_soft,currency,AMD,652,212,1.5474452554744527,0.29754601226993865,0.42452830188679247,1.4267652207741686,46.8524407116822
retrospective_2024_2026,router_global_soft,currency,KZT,652,211,1.5401459854014599,0.2668711656441718,0.32701421800947866,1.225363621506782,31.0593358282662
retrospective_2024_2026,recency_window_short,overall,all,3260,798,1.164963503649635,0.294478527607362,0.37593984962406013,1.276629072681704,39.803369320774344
retrospective_2024_2026,recency_window_short,year,2024,1240,488,1.9299435028248588,0.3379032258064516,0.41598360655737704,1.2310732031769631,52.10166674991327
retrospective_2024_2026,recency_window_short,year,2025,1235,181,0.7138028169014085,0.22186234817813766,0.2430939226519337,1.0956970601282412,-2.3238292829396707
retrospective_2024_2026,recency_window_short,year,2026,785,129,0.8026666666666666,0.3401273885350318,0.4108527131782946,1.2079377522283195,52.388282513428884
retrospective_2024_2026,recency_window_short,currency,TJS,652,160,1.167883211678832,0.3205521472392638,0.40625,1.2673444976076556,44.319868339177695
retrospective_2024_2026,recency_window_short,currency,UZS,652,168,1.2262773722627738,0.294478527607362,0.36904761904761907,1.2532242063492063,29.996951549431813
retrospective_2024_2026,recency_window_short,currency,KGS,652,156,1.1386861313868613,0.2929447852760736,0.41025641025641024,1.4004564371056518,45.16827645099301
retrospective_2024_2026,recency_window_short,currency,AMD,652,149,1.0875912408759123,0.29754601226993865,0.3959731543624161,1.3307963744551303,48.06740921385163
retrospective_2024_2026,recency_window_short,currency,KZT,652,165,1.2043795620437956,0.2668711656441718,0.30303030303030304,1.1354928596307907,32.87349590415845
retrospective_2024_2026,recency_window3,overall,all,3260,1066,1.5562043795620437,0.294478527607362,0.3780487804878049,1.283790650406504,33.291005895656234
retrospective_2024_2026,recency_window3,year,2024,1240,635,2.5112994350282487,0.3379032258064516,0.4377952755905512,1.2956232499577172,48.26122334724406
retrospective_2024_2026,recency_window3,year,2025,1235,231,0.9109859154929578,0.22186234817813766,0.1645021645021645,0.7414604859860334,-37.18632951783905
retrospective_2024_2026,recency_window3,year,2026,785,200,1.2444444444444442,0.3401273885350318,0.435,1.278932584269663,67.1618878894519
retrospective_2024_2026,recency_window3,currency,TJS,652,220,1.6058394160583942,0.3205521472392638,0.38636363636363635,1.2053066550674207,29.930455525737433
retrospective_2024_2026,recency_window3,currency,UZS,652,215,1.5693430656934306,0.294478527607362,0.3488372093023256,1.184593023255814,16.444311579063296
retrospective_2024_2026,recency_window3,currency,KGS,652,203,1.4817518248175183,0.2929447852760736,0.4236453201970443,1.4461609883166122,41.78139473866057
retrospective_2024_2026,recency_window3,currency,AMD,652,212,1.5474452554744527,0.29754601226993865,0.41509433962264153,1.3950593269791869,43.295009513549665
retrospective_2024_2026,recency_window3,currency,KZT,652,216,1.5766423357664234,0.2668711656441718,0.3194444444444444,1.1969987228607917,35.68435153142629
retrospective_2024_2026,local_to_global_xgb,overall,all,3260,1049,1.5313868613138686,0.294478527607362,0.32697807435653004,1.1103630441690497,15.399815748175046
retrospective_2024_2026,local_to_global_xgb,year,2024,1240,420,1.6610169491525424,0.3379032258064516,0.3595238095238095,1.0639845436981477,18.09771504863113
retrospective_2024_2026,local_to_global_xgb,year,2025,1235,352,1.388169014084507,0.22186234817813766,0.19886363636363635,0.8963379230258791,-34.1188347128007
retrospective_2024_2026,local_to_global_xgb,year,2026,785,277,1.7235555555555553,0.3401273885350318,0.4404332129963899,1.294906637461296,74.23536540908447
retrospective_2024_2026,local_to_global_xgb,currency,TJS,652,211,1.5401459854014599,0.3205521472392638,0.3459715639810427,1.0792988503140661,24.67669207272314
retrospective_2024_2026,local_to_global_xgb,currency,UZS,652,211,1.5401459854014599,0.294478527607362,0.3459715639810427,1.1748617693522907,13.49227895437798
retrospective_2024_2026,local_to_global_xgb,currency,KGS,652,234,1.7080291970802919,0.2929447852760736,0.32905982905982906,1.1232827672618249,13.130748373174205
retrospective_2024_2026,local_to_global_xgb,currency,AMD,652,217,1.583941605839416,0.29754601226993865,0.3548387096774194,1.1925507149983372,29.003406660087556
retrospective_2024_2026,local_to_global_xgb,currency,KZT,652,176,1.2846715328467153,0.2668711656441718,0.24431818181818182,0.915491118077325,-7.19079847411635
