clock,h,period,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
1830,3,screen_2024,1240,57.68777855639332,57.03347985924582,78.59892222495678,78.9927493537169,0.7887430316839396,0.775,-9.714185293882203,7.256533989141921
1830,3,opened_2025_2026,2030,55.01432983321688,56.41022346918532,71.38657807635535,72.87759380126064,0.8056334770999686,0.7970443349753694,-2.341632066582014,-4.411496765229121
1830,5,screen_2024,1240,86.27177191361655,84.42689608110084,118.12626896982297,116.53185623157155,0.6466410250971725,0.7185483870967742,-8.552559001627433,11.693101668126104
1830,5,opened_2025_2026,2020,86.14452646555489,86.82821251598888,108.102439522087,109.46108231808252,0.6833014604796256,0.7465346534653465,-2.7402823003449543,-7.332304159835645
1830,10,screen_2024,1240,129.282330228882,126.66181589916859,172.40075153235213,170.4566543959243,0.4376155983787795,0.6588709677419354,4.518606198656889,23.397704837758397
1830,10,opened_2025_2026,1995,136.47185564966094,136.41937228024133,172.77871544574822,173.11748235242743,0.5301975494189409,0.7077694235588973,0.37458444376250116,-14.620083631982645
1830,20,screen_2024,1240,174.51824031720062,169.68798006987043,232.48544810987354,225.26521835695152,0.27615587049847246,0.632258064516129,76.02374468064005,40.93648818714773
1830,20,opened_2025_2026,1945,215.291929785874,214.54456245828453,269.5886853923961,269.16599858965,0.34334764040891175,0.6344473007712083,15.25899547265196,-31.08511453275586
2000,3,screen_2024,1240,57.13390134217515,57.03347985924582,79.08750501325979,78.9927493537169,0.7877337182317073,0.7911290322580645,-8.469958353346291,7.256533989141921
2000,3,opened_2025_2026,2030,55.19215179241425,56.41022346918532,71.37164756254597,72.87759380126064,0.8082763338680689,0.7945812807881774,-4.100221849214111,-4.411496765229121
2000,5,screen_2024,1240,86.65832343166622,84.42689608110084,118.84674267294248,116.53185623157155,0.6423774381042215,0.7112903225806452,-7.017584484339255,11.693101668126104
2000,5,opened_2025_2026,2020,85.7396568851572,86.82821251598888,107.52249540231968,109.46108231808252,0.688612095760903,0.753960396039604,-4.53253189121271,-7.332304159835645
2000,10,screen_2024,1240,130.15813593980425,126.66181589916859,173.26824643727429,170.4566543959243,0.4383784509107612,0.6516129032258065,6.747551679887892,23.397704837758397
2000,10,opened_2025_2026,1995,136.09276408036922,136.41937228024133,171.33807874788033,173.11748235242743,0.5380665101668106,0.7117794486215538,-3.298780449091254,-14.620083631982645
2000,20,screen_2024,1240,174.89690087061365,169.68798006987043,232.59904524673246,225.26521835695152,0.2830957792615462,0.6370967741935484,76.7725496778881,40.93648818714773
2000,20,opened_2025_2026,1945,213.49511572978213,214.54456245828453,266.7797280532914,269.16599858965,0.3570278766989265,0.6416452442159383,10.366970349406804,-31.08511453275586
