clock,h,period,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
1830,3,screen_2024,1240,0.38870967741935486,0.17134223627901993,0.5224880163660656,0.07031380973917148,0.8107352828474146,0.7538728143517563,0.17202144312503823,0.5220125539686057,0.06022769838046441,0.8091861088910541,0.7457506692745869,0.17134223627901993,0.5224880163660656,0.07031380973917148,0.8107352828474146,0.7538728143517563
1830,3,opened_2025_2026,2030,0.3334975369458128,0.1607894890015307,0.49606603103359787,0.05913144612660798,0.8089163421512019,0.7151806815027291,0.15881884917533942,0.49033623321249514,0.05487205467669635,0.8149426680247734,0.7226078639397284,0.1607894890015307,0.49606603103359787,0.05913144612660798,0.8089163421512019,0.7151806815027291
1830,5,screen_2024,1240,0.3346774193548387,0.1681177137159541,0.5097573228590867,0.06244230421037124,0.8053975903614458,0.6751465653271661,0.16802525679733235,0.5081584067245841,0.058150995161068565,0.8064344651332603,0.6703960393537165,0.1681177137159541,0.5097573228590867,0.06244230421037124,0.8053975903614458,0.6751465653271661
1830,5,opened_2025_2026,2020,0.2698019801980198,0.159819234000344,0.4943476713401112,0.06556655082352117,0.781544394339916,0.5716354862002264,0.1577696544650494,0.4878001804738194,0.06491396000885753,0.7870079303374281,0.5904063258941572,0.159819234000344,0.4943476713401112,0.06556655082352117,0.781544394339916,0.5716354862002264
1830,10,screen_2024,1240,0.2693548387096774,0.1798798394589588,0.5419173075930724,0.06822655380825667,0.7029451031711412,0.501069186702338,0.1785126252181019,0.5382147836340221,0.0678465944117896,0.7101128868091632,0.5060719575858345,0.1798798394589588,0.5419173075930724,0.06822655380825667,0.7029451031711412,0.501069186702338
1830,10,opened_2025_2026,1995,0.2025062656641604,0.15370147877027457,0.4814742098395166,0.056542603909230355,0.6828524932945841,0.3348262613310421,0.1521949545906821,0.4771527281212886,0.047202652843854505,0.6794048826629993,0.3527476824563232,0.15370147877027457,0.4814742098395166,0.056542603909230355,0.6828524932945841,0.3348262613310421
1830,20,screen_2024,1240,0.18870967741935485,0.1398199116946604,0.44664085699256656,0.032126528978798474,0.693344208254745,0.41637662358480376,0.1391384384103595,0.44455778883895136,0.03044517502872057,0.6984375796503033,0.41398292654407765,0.1398199116946604,0.44664085699256656,0.032126528978798474,0.693344208254745,0.41637662358480376
1830,20,opened_2025_2026,1945,0.15012853470437018,0.12851905236040956,0.42552785303607477,0.04322342373901543,0.5764715875659863,0.20491477383788856,0.12675337558828337,0.4204054606096631,0.05163520525699667,0.6003613189800197,0.2335719590060843,0.12851905236040956,0.42552785303607477,0.04322342373901543,0.5764715875659863,0.20491477383788856
2000,3,screen_2024,1240,0.38870967741935486,0.17134223627901993,0.5224880163660656,0.07031380973917148,0.8107352828474146,0.7538728143517563,0.1698668580803176,0.5173554542335373,0.06581265673146673,0.8143837791085955,0.7597318914075982,0.17134223627901993,0.5224880163660656,0.07031380973917148,0.8107352828474146,0.7538728143517563
2000,3,opened_2025_2026,2030,0.3334975369458128,0.1607894890015307,0.49606603103359787,0.05913144612660798,0.8089163421512019,0.7151806815027291,0.1590456167924632,0.489507632251263,0.059281060461750475,0.8148422292602138,0.7227032955763559,0.1607894890015307,0.49606603103359787,0.05913144612660798,0.8089163421512019,0.7151806815027291
2000,5,screen_2024,1240,0.3346774193548387,0.1681177137159541,0.5097573228590867,0.06244230421037124,0.8053975903614458,0.6751465653271661,0.16630541641888646,0.5042162883035519,0.052541187041880814,0.8086513326031398,0.6793341423708432,0.1681177137159541,0.5097573228590867,0.06244230421037124,0.8053975903614458,0.6751465653271661
2000,5,opened_2025_2026,2020,0.2698019801980198,0.159819234000344,0.4943476713401112,0.06556655082352117,0.781544394339916,0.5716354862002264,0.15784990261762838,0.48625689227377156,0.05395423001691389,0.781072928004976,0.5955821698913702,0.159819234000344,0.4943476713401112,0.06556655082352117,0.781544394339916,0.5716354862002264
2000,10,screen_2024,1240,0.2693548387096774,0.1798798394589588,0.5419173075930724,0.06822655380825667,0.7029451031711412,0.501069186702338,0.1770775754196574,0.5332461620493598,0.0670297915142865,0.7154928553489048,0.51181269880879,0.1798798394589588,0.5419173075930724,0.06822655380825667,0.7029451031711412,0.501069186702338
2000,10,opened_2025_2026,1995,0.2025062656641604,0.15370147877027457,0.4814742098395166,0.056542603909230355,0.6828524932945841,0.3348262613310421,0.15246906523730605,0.4771721108820154,0.03719142490232365,0.6585698639002807,0.34686024303400526,0.15370147877027457,0.4814742098395166,0.056542603909230355,0.6828524932945841,0.3348262613310421
2000,20,screen_2024,1240,0.18870967741935485,0.1398199116946604,0.44664085699256656,0.032126528978798474,0.693344208254745,0.41637662358480376,0.1382457315809329,0.44225054951650333,0.03054066357178151,0.6998139368914716,0.4277896690839398,0.1398199116946604,0.44664085699256656,0.032126528978798474,0.693344208254745,0.41637662358480376
2000,20,opened_2025_2026,1945,0.15012853470437018,0.12851905236040956,0.42552785303607477,0.04322342373901543,0.5764715875659863,0.20491477383788856,0.12656053959102478,0.41978910118203316,0.03819831378793614,0.5928697511374089,0.2301623140295508,0.12851905236040956,0.42552785303607477,0.04322342373901543,0.5764715875659863,0.20491477383788856
