clock,h,origin,n_train,n_query,coefficients,last_target_maturity,min_train_date
1830,3,2023-01-01,630,285,"[0.16054356118113394, 0.47974858137490806, -0.1425944376017921, -0.001954314654963011, 0.12404241175507025, -0.08502770651920612, -0.0731628176002046, 0.01577277842043936, 0.016421019288925507]",2022-12-29,2022-02-24
1830,3,2023-04-01,910,305,"[0.3660911808500758, 0.475901238930418, -0.23468518215944817, -0.024451083731248498, 0.20041031046198723, -0.1255323607728276, -0.08685404714293656, -0.0193297539186823, 0.006854767641210376]",2023-03-29,2022-02-24
1830,3,2023-07-01,1215,325,"[0.5411539911336662, 0.6987873650943733, -0.18405485893489074, -0.06599426837687213, 0.15009032687744256, -0.12487788540792034, -0.08427953278129785, 0.011595069570846618, -0.018522246635941562]",2023-06-28,2022-02-24
1830,3,2023-10-01,1545,320,"[0.7139372143581636, 1.1173197393214362, -0.47318878964126543, -0.022120986286388335, 0.17475183821184914, -0.07953356120811404, -0.12867196770676856, 0.02001517365354913, -0.008682469236902976]",2023-09-28,2022-02-24
1830,3,2024-01-01,1870,285,"[0.7421518414427993, 1.107675067638568, -0.4319819282756396, -0.10350710450132863, 0.03910528434459057, -0.058362987937783106, -0.09919962368430708, 0.021781789715847745, -0.006831566939674934]",2023-12-29,2022-02-24
1830,3,2024-04-01,2155,300,"[0.7762584504754487, 1.0934320009078642, -0.5648394048800898, -0.09220138810386487, 0.07637996079602762, -0.05753599404444889, -0.14522501666497595, 0.014311596356170733, 0.019868065453364826]",2024-03-29,2022-02-24
1830,3,2024-07-01,2455,330,"[0.8154336258581959, 1.2911318803531693, -0.4502241944392231, -0.13078251687671227, 0.036635022612572093, -0.047219957397808106, -0.08141826504241421, -0.0047075579078658695, -0.034071759141197304]",2024-06-28,2022-02-24
1830,3,2024-10-01,2780,325,"[0.8738864536041342, 1.057045165879835, -0.28887673351139637, -0.10557671355667936, 0.0249819192097402, 0.025996507626414107, -0.046776703333559794, -0.029343354816137573, -0.08043508224313992]",2024-09-27,2022-02-24
1830,3,2025-01-01,3110,290,"[0.9037965857503566, 0.9072738418567672, -0.48137730171265175, -0.08103985171876674, 0.035779835028693946, 0.011529776038364385, -0.0916935806731667, 0.017537024779664758, -0.054192906892324005]",2024-12-28,2022-02-24
1830,3,2025-04-01,3395,295,"[0.9579960611455204, 0.9417724651125404, -0.4161775474628972, -0.11594674525401344, 0.03665879672856149, -0.012040107336401588, -0.06744661172689544, -0.004630030005781719, -0.06848879291349737]",2025-03-28,2022-02-24
