candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,min_benefit_lower_ci,max_weekly_signals,early_forward_ratio_min,joint_early_pass
extra_h5_r30_nogap_cap2,1.9109240407204386,2.0298302070062504,1.0061162079510704,1.1131498470948011,108.88877923825257,39.69086458041126,27.450304768035778,2,1.159624021798319,True
extra_h5_r30_gap2_cap2,1.8928677248677253,2.0352524970949375,0.8990825688073394,1.0275229357798166,111.59017611035833,42.2680250542097,31.55525137139987,2,1.188392869490609,False
compact_hist_h5_r30_nogap_cap2,1.957271507951715,2.1008945118080864,0.963302752293578,1.2201834862385321,113.7547158789413,45.58647185109133,32.633400454502535,2,1.211444393525923,False
compact_hist_h5_r30_gap2_cap2,1.9322373362263208,2.0731108311457116,0.8562691131498471,1.091743119266055,114.58590218552985,45.689718052025334,37.05740715474036,2,1.2202962110818985,False
compact_extra_h5_r30_nogap_cap2,1.819639278557114,1.8529242503594205,0.9204892966360856,1.0703363914373087,110.77986139732221,42.46516035876844,11.432062557457732,2,0.9637933791516274,False
compact_extra_h5_r30_gap2_cap2,1.741614355462558,1.7838510396878982,0.8990825688073394,1.0061162079510704,109.76935360051907,41.20277231009382,-3.048412838566573,2,0.922054052018495,False
local_hist_h5_r30_nogap_cap2,1.954689027600211,2.0575767007291392,1.0061162079510704,1.2415902140672783,114.70505780298156,44.35307988201688,31.603568003199452,2,1.221565173019904,True
local_hist_h5_r30_gap2_cap2,1.9297829729840195,2.013376801213603,0.8990825688073394,1.1345565749235473,115.08860340080308,44.26055707996381,36.27415858107214,2,1.225649787539419,False
first_failure_extra_h5_r30_nogap_cap2,1.870465107197251,1.948625075929579,1.0275229357798166,1.1345565749235473,101.49184683250243,41.01185686604716,30.31409409004556,2,1.0808495092605481,True
first_failure_extra_h5_r30_gap2_cap2,1.8193078324225866,1.9029260902728973,0.9847094801223242,1.1345565749235473,100.87679354535959,40.97042561182409,32.48891112293733,2,1.0742994260339167,False
known70_hazard30_r275_nogap_cap2,2.1385290654105558,2.3811067053167108,0.7706422018348623,0.8134556574923547,160.5607864817701,50.10230178564675,17.98443811238161,2,1.6743192902864399,False
known70_hazard30_r30_nogap_cap2,2.1358590132921793,2.392139927579595,0.7920489296636085,0.8990825688073394,153.972280194128,49.720232429007325,25.610852571179308,2,1.6397461341126676,False
known70_hazard30_r30_gap2_cap2,2.1177914779857057,2.332434533289224,0.7064220183486238,0.8776758409785933,153.79683857656053,50.58504572372384,18.205113980022407,2,1.621313361868026,False
known_change_z_r275_nogap_cap2,2.0021431809751475,2.189008630715761,0.9847094801223242,1.091743119266055,135.1906178626922,42.346391079843826,-0.0281565480885866,2,1.4397285844514405,False
known_change_z_r30_nogap_cap2,1.9712347354138402,2.13950803957165,1.0275229357798166,1.198776758409786,127.5855340717894,40.17417014898827,-4.0491635654012965,2,1.358737338949243,False
known_change_z_r30_gap2_cap2,1.9619247839289886,2.067904190491549,0.9847094801223242,1.1345565749235473,128.85887838073737,41.795560373598505,-11.380158667710864,2,1.3361982487757067,False
known_change_z_urgent_cap2,1.8038329697725148,1.8734933489224685,1.1773700305810397,1.3272171253822629,110.92766220087972,45.47189344658228,2.8837958986028593,2,1.1362578373456118,True
known_next_not_lower_cd3,1.7533151059466847,1.7591109063345092,1.348623853211009,1.4770642201834863,93.90007208490756,40.69317390950933,-10.206092906394302,2,1.0,False
market_hist_gated_urgent_cap2,1.8404360415602115,1.888843228494474,1.198776758409786,1.2629969418960245,101.035266180591,44.92803953937053,35.21953475914006,2,1.0759870992349352,True
hazard_hist_h5_urgent_cap2,1.8430101657910896,1.9116716507443394,1.1345565749235473,1.2844036697247707,100.04855811682131,47.9671905286277,39.476262979292535,2,1.0654790342051503,True
margin_ridge_local_mean_urgent_cap2,1.7951982410100007,1.833543645363644,1.1345565749235473,1.2629969418960245,99.0992585110046,40.73026030856745,5.1493462750238805,2,0.9840201528163673,True
ap1_change_z_r25_exact,1.9873845305390874,2.1450326538817017,1.1773700305810397,1.3058103975535167,150.34864539501754,35.693499034784296,-29.29981508732111,5,1.4355975113418817,False
ap1_change_z_r25_exact_cap2,1.987300976477945,2.131775386401204,0.8348623853211009,0.9418960244648318,141.28243711456196,43.40387988303234,-10.812639088119141,2,1.411644902431625,False
known_change_z_r25w250_cap2,1.987300976477945,2.131775386401204,0.8348623853211009,0.9418960244648318,141.28243711456196,43.40387988303234,-10.812639088119141,2,1.411644902431625,False
