origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,compact_features,local_counts,class_counts
2024-01-01,compact_extra_h5,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,59,,
2024-01-01,local_hist_h5,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,59,"{""AMD"": 256, ""KGS"": 255, ""KZT"": 242, ""TJS"": 263, ""UZS"": 249}",
2024-01-01,first_failure_extra_h5,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,111,,"{""0"": 343, ""1"": 138, ""2"": 155, ""3"": 120, ""4"": 509}"
2024-04-01,extra_h5,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,111,,
2024-04-01,compact_hist_h5,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,59,,
2024-04-01,compact_extra_h5,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,59,,
2024-04-01,local_hist_h5,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,59,"{""AMD"": 285, ""KGS"": 283, ""KZT"": 274, ""TJS"": 292, ""UZS"": 279}",
2024-04-01,first_failure_extra_h5,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,111,,"{""0"": 386, ""1"": 150, ""2"": 182, ""3"": 147, ""4"": 548}"
2024-07-01,extra_h5,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,111,,
2024-07-01,compact_hist_h5,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,59,,
2024-07-01,compact_extra_h5,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,59,,
2024-07-01,local_hist_h5,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,59,"{""AMD"": 319, ""KGS"": 312, ""KZT"": 306, ""TJS"": 320, ""UZS"": 307}",
2024-07-01,first_failure_extra_h5,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,111,,"{""0"": 438, ""1"": 171, ""2"": 195, ""3"": 170, ""4"": 590}"
2024-10-01,extra_h5,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,111,,
2024-10-01,compact_hist_h5,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,59,,
2024-10-01,compact_extra_h5,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,59,,
2024-10-01,local_hist_h5,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,59,"{""AMD"": 352, ""KGS"": 352, ""KZT"": 336, ""TJS"": 355, ""UZS"": 342}",
