origin,shared,eligible,last_shared
2022-07-01,475,203,2022-06-28
2022-10-01,805,376,2022-09-28
2023-01-01,1130,539,2022-12-29
2023-04-01,1410,725,2023-03-29
2023-07-01,1715,896,2023-06-28
2023-10-01,2045,1105,2023-09-28
2024-01-01,2370,1265,2023-12-29
2024-04-01,2655,1413,2024-03-29
2024-07-01,2955,1564,2024-06-28
2024-10-01,3280,1737,2024-09-27
2025-01-01,3610,1951,2024-12-28
2025-04-01,3895,2055,2025-03-28
2025-07-01,4190,2177,2025-06-27
2025-10-01,4515,2354,2025-09-26
2026-01-01,4840,2515,2025-12-29
2026-04-01,5110,2637,2026-03-27
2026-07-01,5420,2775,2026-06-26
