candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric
extra_h5_r30_nogap_cap2,2.3504887785832245,2.4075401046965963,0.9323144104803494,0.9935965848452508,124.25082999130083,55.335064946755956
extra_h5_r30_gap2_cap2,2.3900604176674003,2.4322429627448927,0.8329694323144105,0.9020234291799787,120.46180332443463,54.69479755244872
compact_hist_h5_r30_nogap_cap2,2.1094141891858333,2.178781253567268,0.9858078602620087,1.0240174672489082,105.13754718384618,59.98241444701485
compact_hist_h5_r30_gap2_cap2,2.1527018651239396,2.177757641797859,0.8941048034934498,0.9840255591054313,101.14737351939925,57.52142020103848
compact_extra_h5_r30_nogap_cap2,2.2122072863357176,2.2550263728360473,0.9705240174672489,1.1131270010672358,115.36232087678725,53.59859753310402
compact_extra_h5_r30_gap2_cap2,2.2523958439665686,2.276945878057984,0.8941048034934498,1.0212992545260917,111.62762568004382,53.51203372486983
local_hist_h5_r30_nogap_cap2,2.2498131695655363,2.273491131676783,0.9170305676855894,1.0851528384279476,110.33038999519515,57.46407494367203
local_hist_h5_r30_gap2_cap2,2.231566488007497,2.28464884697029,0.8100436681222707,1.0063897763578276,106.2033566055609,56.69042459302648
first_failure_extra_h5_r30_nogap_cap2,2.2618844554339526,2.323281048611519,0.8941048034934498,0.9637139807897545,117.62992739441906,59.781414045988086
first_failure_extra_h5_r30_gap2_cap2,2.361769259922814,2.3834870857569403,0.7947598253275109,0.8572949946751864,114.18696081765736,60.34186883221011
known70_hazard30_r275_nogap_cap2,2.3208423019884,2.366062708178445,1.138646288209607,1.230349344978166,114.54523859234662,57.21657355403192
known70_hazard30_r30_nogap_cap2,2.280262331173132,2.3269943865129594,1.207423580786026,1.326943556975506,108.73781857735938,55.43229461775384
known70_hazard30_r30_gap2_cap2,2.292350874293275,2.3396467742888927,1.1157205240174672,1.1853035143769968,106.31084373378923,54.487125835389925
known_change_z_r275_nogap_cap2,2.2906776567173135,2.300398329133559,1.1233624454148472,1.2177161152614728,113.76545859699608,56.63920077494158
known_change_z_r30_nogap_cap2,2.256880460123089,2.276420042160714,1.207423580786026,1.2822151224707135,109.4043491321151,54.66747906655178
known_change_z_r30_gap2_cap2,2.259102294464119,2.298477987057261,1.0927947598253274,1.1554845580404687,107.49742480204556,54.4053414475008
known_change_z_urgent_cap2,2.0540367443973344,2.0694553016568773,1.3449781659388647,1.4089456869009584,85.80520422792144,49.51946714644077
known_next_not_lower_cd3,1.9092195390110664,1.9283144958240843,1.3831877729257642,1.476038338658147,69.97117307419252,41.10111569663991
market_hist_gated_urgent_cap2,2.072437460480734,2.09203360570915,1.314410480349345,1.4014909478168265,84.8734852029857,51.34999514309283
hazard_hist_h5_urgent_cap2,2.1091314980548046,2.154095467069284,1.3073639274279616,1.3602620087336244,85.09624966729375,52.64473256686627
margin_ridge_local_mean_urgent_cap2,2.0667588236183554,2.1016853916267344,1.3073639274279616,1.349307774227902,85.96290562265469,49.72260304023521
ap1_change_z_r25_exact,2.2221940333432793,2.2436125831715605,1.2532751091703056,1.326943556975506,116.87015662720063,46.804159876738304
ap1_change_z_r25_exact_cap2,2.2913682713603625,2.3047282118255374,0.9705240174672489,1.0287539936102237,116.0412412593484,58.176436351035214
known_change_z_r25w250_cap2,2.2913682713603625,2.3047282118255374,0.9705240174672489,1.0287539936102237,116.0412412593484,58.176436351035214
