year,currency,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
2024,AMD,1,248,68,2024-01-09,2024-12-28,0.7941176470588235,0.5604838709677419,1.4168429961912823,1.4168429961912823,1.3408450704225352,1.3408450704225352,1.3408450704225352,10.425761357734066,42.709457844052
2024,AMD,3,248,68,2024-01-09,2024-12-28,0.5882352941176471,0.40725806451612906,1.444379732090856,1.444379732090856,1.3408450704225352,1.3408450704225352,1.3408450704225352,20.93159664668379,53.80771631913731
2024,AMD,5,248,68,2024-01-09,2024-12-28,0.5441176470588235,0.3548387096774194,1.533422459893048,1.5334224598930482,1.3408450704225352,1.3408450704225352,1.3408450704225352,24.349743709879398,59.94327073413321
2024,AMD,10,248,68,2024-01-09,2024-12-28,0.4411764705882353,0.2903225806451613,1.5196078431372548,1.5196078431372548,1.3408450704225352,1.3408450704225352,1.3408450704225352,27.90660789521043,70.46679344235153
2024,AMD,20,248,68,2024-01-09,2024-12-28,0.3382352941176471,0.21370967741935484,1.5826859045504995,1.5826859045504993,1.3408450704225352,1.3408450704225352,1.3408450704225352,31.625558031026486,95.64650925082853
2024,KGS,1,248,67,2024-01-09,2024-12-28,0.8656716417910447,0.5645161290322581,1.5334754797441361,1.5334754797441363,1.3211267605633803,1.3211267605633803,1.3211267605633803,12.413595581446172,43.8352970643718
2024,KGS,3,248,67,2024-01-09,2024-12-28,0.6268656716417911,0.41935483870967744,1.494833524684271,1.494833524684271,1.3211267605633803,1.3211267605633803,1.3211267605633803,23.438337072089205,57.3435150129992
2024,KGS,5,248,67,2024-01-09,2024-12-28,0.582089552238806,0.375,1.5522388059701493,1.5522388059701493,1.3211267605633803,1.3211267605633803,1.3211267605633803,27.441910834569914,63.66496365702441
2024,KGS,10,248,67,2024-01-09,2024-12-28,0.43283582089552236,0.29435483870967744,1.4704559394806787,1.4704559394806787,1.3211267605633803,1.3211267605633803,1.3211267605633803,32.91109155353157,78.35977057542563
2024,KGS,20,248,67,2024-01-09,2024-12-28,0.3283582089552239,0.20967741935483872,1.56601607347876,1.56601607347876,1.3211267605633803,1.3211267605633803,1.3211267605633803,38.153961222295564,105.01365355434434
2024,KZT,1,248,67,2024-01-09,2024-12-28,0.8208955223880597,0.5040322580645161,1.6286567164179104,1.6286567164179102,1.3211267605633803,1.3211267605633803,1.3211267605633803,19.250043223303315,46.876435035589274
2024,KZT,3,248,67,2024-01-09,2024-12-28,0.582089552238806,0.3346774193548387,1.7392555295810108,1.7392555295810108,1.3211267605633803,1.3211267605633803,1.3211267605633803,32.66954237422165,52.08005215673523
2024,KZT,5,248,67,2024-01-09,2024-12-28,0.4626865671641791,0.2701612903225806,1.7126308754733794,1.7126308754733797,1.3211267605633803,1.3211267605633803,1.3211267605633803,36.814548349491155,48.870760896490914
2024,KZT,10,248,67,2024-01-09,2024-12-28,0.373134328358209,0.2056451612903226,1.8144571261340356,1.8144571261340356,1.3211267605633803,1.3211267605633803,1.3211267605633803,40.4212300797817,40.38792526091932
2024,KZT,20,248,67,2024-01-09,2024-12-28,0.2835820895522388,0.1532258064516129,1.8507462686567162,1.8507462686567164,1.3211267605633803,1.3211267605633803,1.3211267605633803,41.72140720942951,30.435250746725202
2024,TJS,1,248,67,2024-01-09,2024-12-28,0.8059701492537313,0.5483870967741935,1.469710272168569,1.4697102721685689,1.3211267605633803,1.3211267605633803,1.3211267605633803,10.570607296062098,41.32087909695313
