candidate,group,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
cny_hist50_urgent_cap2,2024,1,1240,337,2024-01-09,2024-12-28,0.8160237388724035,0.5435483870967742,1.5012899646910687,1.5011776100019811,1.3290140845070422,1.3211267605633803,1.3408450704225352,13.243204068346506,43.361952329154136
cny_hist50_urgent_cap2,2024,3,1240,337,2024-01-09,2024-12-28,0.5905044510385756,0.3919354838709677,1.506636870962621,1.5064713064713062,1.3290140845070422,1.3211267605633803,1.3408450704225352,24.21797981513555,52.67442880732538
cny_hist50_urgent_cap2,2024,5,1240,337,2024-01-09,2024-12-28,0.5222551928783383,0.3379032258064516,1.5455762271339846,1.5453901713638294,1.3290140845070422,1.3211267605633803,1.3408450704225352,28.13382601147063,56.357025985626365
cny_hist50_urgent_cap2,2024,10,1240,337,2024-01-09,2024-12-28,0.39762611275964393,0.2693548387096774,1.4762167060537679,1.4759937819231623,1.3290140845070422,1.3211267605633803,1.3408450704225352,33.12193360709014,63.65243108006048
cny_hist50_urgent_cap2,2024,20,1240,337,2024-01-09,2024-12-28,0.29673590504451036,0.18870967741935485,1.5724466763042428,1.5720081135902635,1.3290140845070422,1.3211267605633803,1.3408450704225352,36.599628569061274,77.4249554934334
cny_hist50_urgent_cap2,2025,1,1235,334,2025-01-09,2025-12-30,0.7245508982035929,0.4631578947368421,1.5643712574850301,1.563495592581936,1.313483146067416,1.2780898876404496,1.356741573033708,24.083549729251104,46.5302141981724
cny_hist50_urgent_cap2,2025,3,1235,334,2025-01-09,2025-12-30,0.49700598802395207,0.28421052631578947,1.7487247726768684,1.7477408354646204,1.313483146067416,1.2780898876404496,1.356741573033708,37.80358016696513,49.62193407245108
cny_hist50_urgent_cap2,2025,5,1235,334,2025-01-09,2025-12-30,0.4251497005988024,0.22186234817813766,1.9162769351807334,1.9143106647745878,1.313483146067416,1.2780898876404496,1.356741573033708,39.345321886047,41.691897904736756
cny_hist50_urgent_cap2,2025,10,1235,334,2025-01-09,2025-12-30,0.25748502994011974,0.14736842105263157,1.7472198460222412,1.7448661080992278,1.313483146067416,1.2780898876404496,1.356741573033708,42.323117904841105,18.21943768922799
cny_hist50_urgent_cap2,2025,20,1235,334,2025-01-09,2025-12-30,0.16167664670658682,0.09635627530364373,1.6779046948120564,1.6760492586076903,1.313483146067416,1.2780898876404496,1.356741573033708,44.51672293461566,-26.39540063223926
