candidate,control,h,metric,difference_bps,ci_lo,ci_hi,draws,block_dates
cny_hist50_urgent_cap2,cny_cbr_w25_r25,1,sym,18.548730651992393,14.73005936012933,22.499368256998284,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,1,forward,-14.778947262738093,-25.140353339631474,-5.986435128305459,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,3,sym,25.994675633527144,16.95285908772555,34.85581176928343,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,3,forward,-15.916440650596648,-28.88564337791743,-3.174781343830076,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,5,sym,27.265409939096926,14.973451684340526,39.116650475942876,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,5,forward,-16.2969990384859,-31.490455594601794,-0.6345598712475952,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,10,sym,29.807894224831713,12.104564403389249,47.34670134296709,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,10,forward,-19.441410084663588,-42.86893139432694,4.524427452920534,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,20,sym,30.295501747905863,4.150551031755862,55.588263585372474,1000,20
cny_hist50_urgent_cap2,cny_cbr_w25_r25,20,forward,-12.83242399843882,-42.523791318239205,18.194312092836892,1000,20
