currency,quarter,median_score,min_score,max_score,median_scale,n_signals,candidate
AMD,2022Q1,,,,104.07168866995647,0,local_ridge
AMD,2022Q2,,,,303.61589596293965,0,local_ridge
AMD,2022Q3,-591.4494919104874,-813.6760872066636,58.927653727366305,132.58744517224517,10,local_ridge
AMD,2022Q4,30.73595398431442,-329.419320299517,339.5394071170032,95.85401023120025,53,local_ridge
AMD,2023Q1,-274.4025268711142,-476.0880054619588,-101.96924605196656,65.83714044230086,0,local_ridge
AMD,2023Q2,-183.15126148995563,-371.08900607444275,168.72738893035904,74.88833131475154,5,local_ridge
AMD,2023Q3,-107.54088483874719,-247.06325130118051,111.91997477259807,87.03546362694752,12,local_ridge
AMD,2023Q4,-8.919098276154543,-174.37029876388635,216.5386379088433,78.84078175642381,42,local_ridge
AMD,2024Q1,186.60731975276533,-184.82372453437574,400.2004071690882,51.48321800623155,56,local_ridge
AMD,2024Q2,61.16146763408753,-77.24703968152241,385.41744416248184,42.690832838538725,18,local_ridge
AMD,2024Q3,-41.23180833558593,-186.06574238195634,167.6109217542843,107.31678504477568,1,local_ridge
AMD,2024Q4,-143.83057800837952,-375.28757182087327,154.81675218856802,58.399857961227305,1,local_ridge
AMD,2025Q1,-140.63778626652697,-363.96637985416135,115.64741035919579,117.4605677577351,3,local_ridge
AMD,2025Q2,-119.0212287543719,-274.07868658856955,121.4982253416683,67.502766780765,2,local_ridge
AMD,2025Q3,-125.82545596251518,-392.2022853931495,297.6982446805507,64.88113654083018,8,local_ridge
AMD,2025Q4,-163.886417471839,-281.7555595856202,51.674271453360475,92.97945647949453,10,local_ridge
AMD,2026Q1,-101.53372026059672,-257.79050722671786,90.73948426447623,70.97768451041568,21,local_ridge
AMD,2026Q2,-140.90961621507074,-238.3373346737198,158.22273067229725,76.89613932162835,21,local_ridge
AMD,2026Q3,-7.472014202894897,-146.6230082495721,93.70443924126614,79.18626686479013,37,local_ridge
KGS,2022Q1,,,,90.71388468775082,0,local_ridge
KGS,2022Q2,,,,374.5923194582682,0,local_ridge
KGS,2022Q3,-507.14480434864026,-749.1706200948038,3.6825738684114526,122.58970696485667,1,local_ridge
KGS,2022Q4,-165.578355049064,-616.2787055160328,45.80187379978605,73.36591243507176,43,local_ridge
KGS,2023Q1,-353.1562061721829,-1016.1836552018137,-186.5600961241413,65.53880886902971,0,local_ridge
KGS,2023Q2,-5676.7969071269345,-12558.567722864129,-393.6591497960195,74.71212424323683,0,local_ridge
KGS,2023Q3,-318.238541068382,-563.9035097598216,-144.0470864966872,87.40715819510686,8,local_ridge
KGS,2023Q4,-124.12915109583376,-286.82006700432976,38.96234495401626,74.39734334801412,56,local_ridge
KGS,2024Q1,111.19371891962274,-290.46533773290287,272.1049646265767,48.825082905778245,56,local_ridge
KGS,2024Q2,38.0028472298911,-81.9289256976241,238.05950736135932,40.847431773489745,31,local_ridge
KGS,2024Q3,-62.101197302263415,-245.1682509449172,90.0902131114274,107.43974062490086,1,local_ridge
KGS,2024Q4,-110.07747933718693,-408.4322977838543,70.31614504058015,64.11817322367624,0,local_ridge
KGS,2025Q1,-148.03534178415902,-485.6750677655365,121.81597962552789,117.07991120740232,5,local_ridge
KGS,2025Q2,-94.23116397565036,-208.26947082980962,125.76531470303598,58.976349285624025,6,local_ridge
KGS,2025Q3,-64.73860167577584,-242.07501426172513,290.464771043444,63.32654304175561,24,local_ridge
KGS,2025Q4,-133.84438509968237,-199.0681825690018,83.10088747078873,92.74179045821288,7,local_ridge
KGS,2026Q1,-107.73324663946286,-248.30894021252573,40.5941038054664,70.49345473038105,12,local_ridge
KGS,2026Q2,-133.9618633528288,-234.2516979029755,60.91155709347191,79.13265340912416,17,local_ridge
KGS,2026Q3,-14.672837142674624,-116.03544849715807,99.83504329872684,79.5142466965588,33,local_ridge
KZT,2022Q1,,,,79.45728572014065,0,local_ridge
KZT,2022Q2,,,,302.82742183772535,0,local_ridge
KZT,2022Q3,-499.4042937569403,-741.2021550760087,125.70040784133215,141.86026519150164,12,local_ridge
KZT,2022Q4,-177.92393626189988,-573.0663446269336,273.68880478501046,111.0379456497215,46,local_ridge
