candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value,min_benefit_lower_ci,max_weekly_signals,joint_early_pass
cny_last_r25,1.4589541338007594,1.621734021531817,1.348623853211009,1.348623853211009,78.23603324310203,21.6113225905319,0.0,0.7551917826850488,-27.688117555785528,5,False
cny_last_short_cap2,1.3274853801169593,1.3686738954856252,1.4128440366972477,1.4128440366972477,52.033325283953594,18.320382990856608,0.0,1.004636266284872,-16.14245569160436,2,False
cny_last_urgent_cap2,1.3557120282580406,1.3908324878371388,1.4128440366972477,1.4128440366972477,56.05880452123562,21.3754328718398,0.0,1.0131733159831655,-17.12693561374375,2,False
cny_cbr_w25_r25,1.5360528190236151,1.7311982827867864,1.1559633027522935,1.2415902140672783,85.88548064540207,9.791223158122056,0.0,0.8588140878883505,-26.361936556763233,5,False
cny_cbr_w25_short_cap2,1.4405142920207483,1.5442859220240823,1.1559633027522935,1.2201834862385321,62.633848071180694,6.4951803834187665,0.0,1.3692868094751753,-3.5613741272786443,2,False
cny_cbr_w25_urgent_cap2,1.4541680413504894,1.5138770580829202,1.1559633027522935,1.2415902140672783,64.50479353556885,9.780552619481668,0.0,1.146587548274132,-15.37902465381787,2,False
market_hist_r25,1.38264753654575,1.594362820046155,1.2629969418960245,1.5412844036697246,54.91199437201972,7.722394079328509,0.0,1.23264753654575,0.9375053497366728,5,False
market_hist_short_cap2,1.246486759871392,1.3543893937589775,1.091743119266055,1.198776758409786,45.323249811363254,7.576052518129539,0.0,1.1765444874688737,-3.497113620125914,2,False
market_hist_urgent_cap2,1.2254590027122887,1.3397397485570983,1.198776758409786,1.348623853211009,35.01762405840962,7.563990138682828,0.0,0.957912317436646,-13.377334263782135,2,False
market_extra_r25,1.4616772871084178,1.6564923577744621,1.3914373088685015,1.5626911314984708,71.0512735248516,13.724108645124124,0.0,1.311677287108418,5.435984987989246,5,False
market_extra_short_cap2,1.2638632421241118,1.3728469503000884,1.1131498470948011,1.2201834862385321,41.8287336860255,7.292195890947184,0.0,1.2638632421241118,1.2171380665716434,2,False
market_extra_urgent_cap2,1.1972573839662446,1.3166345789983995,1.2415902140672783,1.3058103975535167,34.32732540438533,8.546708807515971,0.0,1.1972573839662446,1.020662354244177,2,False
local_ridge_r25,1.0318650847765807,1.106643190732599,0.9204892966360856,1.6483180428134556,37.544796994615744,10.635459734459456,0.07951070336391441,-0.8607992835524984,-79.1821480800625,5,False
local_ridge_short_cap2,1.059163867114595,1.0994178423897263,0.7706422018348623,1.348623853211009,18.456007187353965,7.113272419859423,0.22935779816513768,-0.685352050556119,-64.29001606702194,2,False
local_ridge_urgent_cap2,1.0544292037816274,1.0977326427354537,0.9204892966360856,1.3700305810397553,21.98090591292183,7.39911915764213,0.07951070336391441,0.05104922136622203,-42.21792878437883,2,False
residual_w100_r25,1.0031424923892762,1.0837592148369226,0.363914373088685,1.4770642201834863,26.28686960608736,-5.953315015558506,0.636085626911315,-2.855012427498906,-121.79918330327762,5,False
residual_w100_short_cap2,1.0115454729592872,1.0553035766660581,0.5351681957186544,1.0061162079510704,10.17102715617747,-8.127347557101293,0.46483180428134563,-2.434810946826423,-125.83464056115095,2,False
residual_w100_urgent_cap2,0.9845622289200912,1.0129636324245204,0.7064220183486238,1.1559633027522935,14.613783860016488,-1.8722725736413466,0.29357798165137616,-1.4509294969007716,-92.41678812590551,2,False
local_rescaled_r25,0.9655224179343475,1.0756526143041583,0.8134556574923547,1.6055045871559632,38.228709163143215,12.2419610525266,0.1865443425076453,-0.7936311116268628,-61.80324222729598,5,False
local_rescaled_short_cap2,1.1501581537019683,1.1933590166607597,0.8562691131498471,1.4342507645259939,25.607752294908448,9.072538218379774,0.1437308868501529,-0.07479921447757676,-46.874779723961964,2,False
local_rescaled_urgent_cap2,1.0021521991060096,1.0625257672714095,0.963302752293578,1.45565749235474,20.89161153634654,8.07824596558235,0.03669724770642202,0.0238739839553338,-45.24418598689159,2,False
residual_rescaled_r25,1.057950573373398,1.0872187441921184,0.4923547400611621,1.5412844036697246,24.01442088361921,-4.877858026243781,0.5076452599388379,-2.1275697086775107,-101.01148810866165,5,False
residual_rescaled_short_cap2,0.9672394523609946,1.0182678840643304,0.5351681957186544,1.0061162079510704,10.174035451196211,-11.193711881068786,0.46483180428134563,-2.50387267898686,-127.07242613925816,2,False
residual_rescaled_urgent_cap2,0.9610361653272101,0.988581034863666,0.6422018348623854,1.0703363914373087,12.542522872316063,-5.545763093484273,0.35779816513761464,-1.9138457520336611,-107.9642793542821,2,False
local_norm_r25,1.2702484150601632,1.323515264259675,0.7064220183486238,1.348623853211009,58.67504067125185,13.763891082869282,0.29357798165137616,-0.5806739983811992,-55.688322506930504,5,False
local_norm_short_cap2,1.2275609149676778,1.282020345167174,0.8134556574923547,1.1773700305810397,33.85963300844643,11.338998697902506,0.1865443425076453,0.17945986437534778,-33.750618278851974,2,False
local_norm_urgent_cap2,1.10578058573453,1.1330745439520846,0.8990825688073394,1.2629969418960245,34.45534518508479,11.026740557384402,0.10091743119266061,0.21701565438086323,-34.34650344841727,2,False
floor_norm_hist_r25,1.2565093697816812,1.465098677926663,0.963302752293578,1.1559633027522935,54.25164869038044,10.522567748854652,0.03669724770642202,0.8035771603539574,-11.476885700743983,5,False
floor_norm_hist_short_cap2,1.1193718469066494,1.2130841340414353,1.0703363914373087,1.1131498470948011,29.178857195707113,8.385789078649717,0.0,0.609517162686818,-25.492734210991568,2,False
floor_norm_hist_urgent_cap2,1.076287547555505,1.1362069141598514,1.1131498470948011,1.198776758409786,23.28668771212379,8.988938452804463,0.0,0.5394429476503745,-26.842229995256524,2,False
floor_norm_q25_r25,1.2608904828551437,1.2912599812572492,0.8562691131498471,1.3058103975535167,40.88857130055923,8.411202997452715,0.1437308868501529,0.8234287091548379,3.9384142467184735,5,False
floor_norm_q25_short_cap2,1.1164457351632395,1.1526465840196902,1.198776758409786,1.348623853211009,30.052844500657972,5.322129713649321,0.0,0.6336519219111412,-24.13969066260492,2,False
floor_norm_q25_urgent_cap2,1.0531421341206244,1.0894811761860452,1.2201834862385321,1.348623853211009,26.481997634462484,9.200757580382156,0.0,0.4645926516992199,-29.427474121070226,2,False
residual_norm25_r25,1.1540313949339993,1.2255870553906962,0.72782874617737,1.5198776758409787,33.488268382668146,-5.874022803662884,0.27217125382262997,-1.5385952399583571,-99.91420636235482,5,False
residual_norm25_short_cap2,1.1501292165397172,1.2698292198368797,0.5351681957186544,1.2629969418960245,22.936334271091617,0.24460908028335168,0.46483180428134563,-1.6750815842317817,-94.77735961044039,2,False
residual_norm25_urgent_cap2,1.0359750723907843,1.0963503982801148,0.7492354740061162,1.2629969418960245,20.617677439952942,0.6571498057094143,0.25076452599388377,-0.7914754499512449,-66.29607351771308,2,False
residual_norm50_r25,1.1612893101500221,1.230008972998593,0.7492354740061162,1.45565749235474,34.290906756191156,-6.230777996488698,0.25076452599388377,-1.5329559328605242,-102.13580955113895,5,False
residual_norm50_short_cap2,1.1038903625110523,1.220656254259135,0.5137614678899083,1.2201834862385321,18.491345660768364,0.4908099703251752,0.4862385321100917,-1.8151859752630033,-97.32996367769361,2,False
residual_norm50_urgent_cap2,1.0162283156127587,1.090386912622418,0.72782874617737,1.2844036697247707,18.83290375351619,-1.3137939106024918,0.27217125382262997,-0.8471355396118196,-65.95106737896592,2,False
residual_norm100_r25,1.0971619779402653,1.1546464512435783,0.8348623853211009,1.45565749235474,27.091746590647944,-8.333486276404127,0.1651376146788991,-1.3547779066786645,-98.58323276305657,5,False
residual_norm100_short_cap2,1.0462290502793297,1.1344278245950874,0.5351681957186544,1.1345565749235473,9.69437841157837,-3.869182206546758,0.46483180428134563,-1.922994692623822,-101.978006717023,2,False
residual_norm100_urgent_cap2,1.0096960000000001,1.08055158238609,0.72782874617737,1.198776758409786,12.664508791715198,-4.787540549232957,0.27217125382262997,-0.9139454263447468,-68.96494593497435,2,False
cny_local50_r25,1.4643184885290148,1.533463156956198,1.1559633027522935,1.2629969418960245,69.78695817988351,18.051398591791276,0.0,0.6222633659248196,-34.60275613020976,5,False
cny_local50_short_cap2,1.287524953262144,1.3251373293636217,1.2629969418960245,1.3914373088685015,49.66491943720276,15.03086608936771,0.0,0.7215720726535407,-28.297644030430163,2,False
cny_local50_urgent_cap2,1.2490948070509766,1.3077009050421626,1.348623853211009,1.4342507645259939,48.390292644801725,19.174259724771353,0.0,0.9253236291197773,-16.188558896559964,2,False
cny_residual50_r25,1.3588939566704674,1.4483602185282258,0.9847094801223242,1.2844036697247707,64.13967201042243,17.236849383299894,0.015290519877675823,0.46553230996181716,-35.63903034766493,5,False
cny_residual50_short_cap2,1.2588781612267395,1.326098404561699,1.1559633027522935,1.348623853211009,43.03449435102843,13.67429454376584,0.0,0.5882577481943562,-33.531020651619166,2,False
cny_residual50_urgent_cap2,1.2026638938403644,1.2617824445622554,1.2201834862385321,1.4770642201834863,42.605643190979556,16.17524840729221,0.0,0.5250779872228364,-33.8792953308764,2,False
cny_hist50_r25,1.435317225421084,1.6264078623304108,1.1773700305810397,1.2844036697247707,68.44419536594276,12.819462204458487,0.0,1.285317225421084,7.881924827547112,5,False
