hypothesis,subset,n,share,target_rate,lift,benefit_bps
rocket_freshness,control,638,0.31584158415841584,0.23667711598746083,0.8837112279014249,-14.883128653986144
rocket_freshness,challenger,624,0.3089108910891089,0.32371794871794873,1.2087065737712688,20.42169621809184
rocket_freshness,intersection,250,0.12376237623762376,0.372,1.3889833641404805,40.087715966145446
rocket_freshness,control_only,388,0.19207920792079208,0.14948453608247422,0.5581492844484249,-50.30248730097816
rocket_freshness,challenger_only,374,0.18514851485148515,0.2914438502673797,1.0882006978560201,7.275961092387556
rocket_freshness,neither,1008,0.499009900990099,0.2787698412698413,1.0408781503975588,-7.554087148367222
primary_increment,control,544,0.2693069306930693,0.4944852941176471,1.8463221702729151,71.28443344868988
primary_increment,challenger,510,0.2524752475247525,0.5117647058823529,1.9108404914646078,81.05376489523908
primary_increment,intersection,449,0.22227722772277228,0.5011135857461024,1.871071059532582,80.59875579322558
primary_increment,control_only,95,0.04702970297029703,0.4631578947368421,1.7293511041930147,27.2620046834633
primary_increment,challenger_only,61,0.030198019801980197,0.5901639344262295,2.203569588800339,84.40293025268294
primary_increment,neither,1415,0.7004950495049505,0.1667844522968198,0.622744165692377,-41.212761144696344
