candidate,currency,quarter,n_train,first_train,last_resolved,n_features
local_logit,AMD,2023-01-01,210,2022-02-25,2022-12-31,14
local_logit,KGS,2023-01-01,210,2022-02-25,2022-12-31,14
local_logit,KZT,2023-01-01,210,2022-02-25,2022-12-31,14
local_logit,TJS,2023-01-01,210,2022-02-25,2022-12-31,14
local_logit,UZS,2023-01-01,210,2022-02-25,2022-12-31,14
local_logit,AMD,2023-04-01,266,2022-02-25,2023-03-31,14
local_logit,KGS,2023-04-01,266,2022-02-25,2023-03-31,14
local_logit,KZT,2023-04-01,266,2022-02-25,2023-03-31,14
local_logit,TJS,2023-04-01,266,2022-02-25,2023-03-31,14
local_logit,UZS,2023-04-01,266,2022-02-25,2023-03-31,14
local_logit,AMD,2023-07-01,327,2022-02-25,2023-06-30,14
local_logit,KGS,2023-07-01,327,2022-02-25,2023-06-30,14
local_logit,KZT,2023-07-01,327,2022-02-25,2023-06-30,14
local_logit,TJS,2023-07-01,327,2022-02-25,2023-06-30,14
local_logit,UZS,2023-07-01,327,2022-02-25,2023-06-30,14
local_logit,AMD,2023-10-01,393,2022-02-25,2023-09-30,14
local_logit,KGS,2023-10-01,393,2022-02-25,2023-09-30,14
local_logit,KZT,2023-10-01,393,2022-02-25,2023-09-30,14
local_logit,TJS,2023-10-01,393,2022-02-25,2023-09-30,14
local_logit,UZS,2023-10-01,393,2022-02-25,2023-09-30,14
local_logit,AMD,2024-01-01,457,2022-02-25,2023-12-30,14
local_logit,KGS,2024-01-01,457,2022-02-25,2023-12-30,14
local_logit,KZT,2024-01-01,457,2022-02-25,2023-12-30,14
local_logit,TJS,2024-01-01,457,2022-02-25,2023-12-30,14
local_logit,UZS,2024-01-01,457,2022-02-25,2023-12-30,14
local_logit,AMD,2024-04-01,514,2022-02-25,2024-03-30,14
local_logit,KGS,2024-04-01,514,2022-02-25,2024-03-30,14
local_logit,KZT,2024-04-01,514,2022-02-25,2024-03-30,14
local_logit,TJS,2024-04-01,514,2022-02-25,2024-03-30,14
local_logit,UZS,2024-04-01,514,2022-02-25,2024-03-30,14
local_logit,AMD,2024-07-01,574,2022-02-25,2024-06-29,14
local_logit,KGS,2024-07-01,574,2022-02-25,2024-06-29,14
local_logit,KZT,2024-07-01,574,2022-02-25,2024-06-29,14
local_logit,TJS,2024-07-01,574,2022-02-25,2024-06-29,14
local_logit,UZS,2024-07-01,574,2022-02-25,2024-06-29,14
local_logit,AMD,2024-10-01,639,2022-02-25,2024-09-28,14
local_logit,KGS,2024-10-01,639,2022-02-25,2024-09-28,14
local_logit,KZT,2024-10-01,639,2022-02-25,2024-09-28,14
local_logit,TJS,2024-10-01,639,2022-02-25,2024-09-28,14
local_logit,UZS,2024-10-01,639,2022-02-25,2024-09-28,14
local_logit,AMD,2025-01-01,705,2022-02-25,2024-12-29,14
local_logit,KGS,2025-01-01,705,2022-02-25,2024-12-29,14
local_logit,KZT,2025-01-01,705,2022-02-25,2024-12-29,14
local_logit,TJS,2025-01-01,705,2022-02-25,2024-12-29,14
local_logit,UZS,2025-01-01,705,2022-02-25,2024-12-29,14
local_logit,AMD,2025-04-01,762,2022-02-25,2025-03-29,14
local_logit,KGS,2025-04-01,762,2022-02-25,2025-03-29,14
local_logit,KZT,2025-04-01,762,2022-02-25,2025-03-29,14
local_logit,TJS,2025-04-01,762,2022-02-25,2025-03-29,14
local_logit,UZS,2025-04-01,762,2022-02-25,2025-03-29,14
local_logit,AMD,2025-07-01,821,2022-02-25,2025-06-28,14
local_logit,KGS,2025-07-01,821,2022-02-25,2025-06-28,14
local_logit,KZT,2025-07-01,821,2022-02-25,2025-06-28,14
local_logit,TJS,2025-07-01,821,2022-02-25,2025-06-28,14
local_logit,UZS,2025-07-01,821,2022-02-25,2025-06-28,14
local_logit,AMD,2025-10-01,887,2022-02-25,2025-09-30,14
local_logit,KGS,2025-10-01,887,2022-02-25,2025-09-30,14
local_logit,KZT,2025-10-01,887,2022-02-25,2025-09-30,14
local_logit,TJS,2025-10-01,887,2022-02-25,2025-09-30,14
local_logit,UZS,2025-10-01,887,2022-02-25,2025-09-30,14
local_logit,AMD,2026-01-01,952,2022-02-25,2025-12-31,14
local_logit,KGS,2026-01-01,952,2022-02-25,2025-12-31,14
local_logit,KZT,2026-01-01,952,2022-02-25,2025-12-31,14
local_logit,TJS,2026-01-01,952,2022-02-25,2025-12-31,14
local_logit,UZS,2026-01-01,952,2022-02-25,2025-12-31,14
local_logit,AMD,2026-04-01,1006,2022-02-25,2026-03-31,14
local_logit,KGS,2026-04-01,1006,2022-02-25,2026-03-31,14
local_logit,KZT,2026-04-01,1006,2022-02-25,2026-03-31,14
local_logit,TJS,2026-04-01,1006,2022-02-25,2026-03-31,14
local_logit,UZS,2026-04-01,1006,2022-02-25,2026-03-31,14
local_logit,AMD,2026-07-01,1068,2022-02-25,2026-06-30,14
local_logit,KGS,2026-07-01,1068,2022-02-25,2026-06-30,14
local_logit,KZT,2026-07-01,1068,2022-02-25,2026-06-30,14
local_logit,TJS,2026-07-01,1068,2022-02-25,2026-06-30,14
local_logit,UZS,2026-07-01,1068,2022-02-25,2026-06-30,14
local_extra,AMD,2023-01-01,210,2022-02-25,2022-12-31,480
local_extra,KGS,2023-01-01,210,2022-02-25,2022-12-31,480
local_extra,KZT,2023-01-01,210,2022-02-25,2022-12-31,480
local_extra,TJS,2023-01-01,210,2022-02-25,2022-12-31,480
local_extra,UZS,2023-01-01,210,2022-02-25,2022-12-31,480
local_extra,AMD,2023-04-01,266,2022-02-25,2023-03-31,480
local_extra,KGS,2023-04-01,266,2022-02-25,2023-03-31,480
local_extra,KZT,2023-04-01,266,2022-02-25,2023-03-31,480
local_extra,TJS,2023-04-01,266,2022-02-25,2023-03-31,480
local_extra,UZS,2023-04-01,266,2022-02-25,2023-03-31,480
local_extra,AMD,2023-07-01,327,2022-02-25,2023-06-30,480
local_extra,KGS,2023-07-01,327,2022-02-25,2023-06-30,480
local_extra,KZT,2023-07-01,327,2022-02-25,2023-06-30,480
local_extra,TJS,2023-07-01,327,2022-02-25,2023-06-30,480
local_extra,UZS,2023-07-01,327,2022-02-25,2023-06-30,480
local_extra,AMD,2023-10-01,393,2022-02-25,2023-09-30,480
local_extra,KGS,2023-10-01,393,2022-02-25,2023-09-30,480
local_extra,KZT,2023-10-01,393,2022-02-25,2023-09-30,480
local_extra,TJS,2023-10-01,393,2022-02-25,2023-09-30,480
local_extra,UZS,2023-10-01,393,2022-02-25,2023-09-30,480
local_extra,AMD,2024-01-01,457,2022-02-25,2023-12-30,480
local_extra,KGS,2024-01-01,457,2022-02-25,2023-12-30,480
local_extra,KZT,2024-01-01,457,2022-02-25,2023-12-30,480
local_extra,TJS,2024-01-01,457,2022-02-25,2023-12-30,480
local_extra,UZS,2024-01-01,457,2022-02-25,2023-12-30,480
local_extra,AMD,2024-04-01,514,2022-02-25,2024-03-30,480
local_extra,KGS,2024-04-01,514,2022-02-25,2024-03-30,480
local_extra,KZT,2024-04-01,514,2022-02-25,2024-03-30,480
local_extra,TJS,2024-04-01,514,2022-02-25,2024-03-30,480
local_extra,UZS,2024-04-01,514,2022-02-25,2024-03-30,480
local_extra,AMD,2024-07-01,574,2022-02-25,2024-06-29,480
local_extra,KGS,2024-07-01,574,2022-02-25,2024-06-29,480
local_extra,KZT,2024-07-01,574,2022-02-25,2024-06-29,480
local_extra,TJS,2024-07-01,574,2022-02-25,2024-06-29,480
local_extra,UZS,2024-07-01,574,2022-02-25,2024-06-29,480
local_extra,AMD,2024-10-01,639,2022-02-25,2024-09-28,480
local_extra,KGS,2024-10-01,639,2022-02-25,2024-09-28,480
local_extra,KZT,2024-10-01,639,2022-02-25,2024-09-28,480
local_extra,TJS,2024-10-01,639,2022-02-25,2024-09-28,480
local_extra,UZS,2024-10-01,639,2022-02-25,2024-09-28,480
local_extra,AMD,2025-01-01,705,2022-02-25,2024-12-29,480
local_extra,KGS,2025-01-01,705,2022-02-25,2024-12-29,480
local_extra,KZT,2025-01-01,705,2022-02-25,2024-12-29,480
local_extra,TJS,2025-01-01,705,2022-02-25,2024-12-29,480
local_extra,UZS,2025-01-01,705,2022-02-25,2024-12-29,480
local_extra,AMD,2025-04-01,762,2022-02-25,2025-03-29,480
local_extra,KGS,2025-04-01,762,2022-02-25,2025-03-29,480
local_extra,KZT,2025-04-01,762,2022-02-25,2025-03-29,480
local_extra,TJS,2025-04-01,762,2022-02-25,2025-03-29,480
local_extra,UZS,2025-04-01,762,2022-02-25,2025-03-29,480
local_extra,AMD,2025-07-01,821,2022-02-25,2025-06-28,480
local_extra,KGS,2025-07-01,821,2022-02-25,2025-06-28,480
local_extra,KZT,2025-07-01,821,2022-02-25,2025-06-28,480
local_extra,TJS,2025-07-01,821,2022-02-25,2025-06-28,480
local_extra,UZS,2025-07-01,821,2022-02-25,2025-06-28,480
local_extra,AMD,2025-10-01,887,2022-02-25,2025-09-30,480
local_extra,KGS,2025-10-01,887,2022-02-25,2025-09-30,480
local_extra,KZT,2025-10-01,887,2022-02-25,2025-09-30,480
local_extra,TJS,2025-10-01,887,2022-02-25,2025-09-30,480
local_extra,UZS,2025-10-01,887,2022-02-25,2025-09-30,480
local_extra,AMD,2026-01-01,952,2022-02-25,2025-12-31,480
local_extra,KGS,2026-01-01,952,2022-02-25,2025-12-31,480
local_extra,KZT,2026-01-01,952,2022-02-25,2025-12-31,480
local_extra,TJS,2026-01-01,952,2022-02-25,2025-12-31,480
local_extra,UZS,2026-01-01,952,2022-02-25,2025-12-31,480
local_extra,AMD,2026-04-01,1006,2022-02-25,2026-03-31,480
local_extra,KGS,2026-04-01,1006,2022-02-25,2026-03-31,480
local_extra,KZT,2026-04-01,1006,2022-02-25,2026-03-31,480
local_extra,TJS,2026-04-01,1006,2022-02-25,2026-03-31,480
local_extra,UZS,2026-04-01,1006,2022-02-25,2026-03-31,480
local_extra,AMD,2026-07-01,1068,2022-02-25,2026-06-30,480
local_extra,KGS,2026-07-01,1068,2022-02-25,2026-06-30,480
local_extra,KZT,2026-07-01,1068,2022-02-25,2026-06-30,480
local_extra,TJS,2026-07-01,1068,2022-02-25,2026-06-30,480
local_extra,UZS,2026-07-01,1068,2022-02-25,2026-06-30,480
