quarter,n_train,first_train,last_resolved,n_test
2023-10-01,890,2023-01-10,2023-09-30,320
2024-01-01,1210,2023-01-10,2023-12-30,285
2024-04-01,1495,2023-01-10,2024-03-30,300
2024-07-01,1795,2023-01-10,2024-06-29,325
2024-10-01,2120,2023-01-10,2024-09-28,330
2025-01-01,2450,2023-01-10,2024-12-29,285
2025-04-01,2735,2023-01-10,2025-03-29,295
2025-07-01,3030,2023-01-10,2025-06-28,330
2025-10-01,3360,2023-01-10,2025-09-30,325
2026-01-01,3685,2023-01-10,2025-12-31,270
2026-04-01,3955,2023-01-10,2026-03-31,310
2026-07-01,4265,2023-01-10,2026-06-30,205
