candidate,control,h,metric,block_dates,draws,estimate,ci_lo,ci_hi,difference,delta_lo,delta_hi
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,1,lift,20,1000,1.940000917490805,1.7774790878668874,2.1166520081529514,-0.003906786157609421,-0.021453955706302492,0.009138049409844633
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,1,sym,20,1000,31.019576292045635,25.069516671961594,38.19740441747772,-0.47163769390813925,-2.08692549358541,1.0457424776080069
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,1,forward,20,1000,95.9138426442874,83.82048107364525,109.97692247509846,2.2445765764277894,-0.0499832821466377,5.036069466326772
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,3,lift,20,1000,2.403195968678118,2.103895002351336,2.738573582342601,-0.003438517269453545,-0.047552251399372136,0.03886468244077405
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,3,sym,20,1000,62.088708988022226,49.707974208683495,78.22182272391139,0.5255088119935678,-1.8005567238434534,3.226071041647595
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,3,forward,20,1000,125.96701965667408,106.19919749176928,146.75853727210347,3.960103488384476,0.0514765552138087,8.459015897366235
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,5,lift,20,1000,2.4739102508904796,2.1574879244922442,2.8284010891956117,0.007856152666406935,-0.04603322322293074,0.06862026954197827
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,5,sym,20,1000,75.10059506101913,59.09604623845294,93.98329088494468,1.281141618780964,-2.228231411734074,5.328093947837865
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,5,forward,20,1000,136.4492120694573,111.7256659871867,161.19332991249246,5.435605916312852,-0.14645309759239422,11.775626145580667
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,10,lift,20,1000,2.451263453137624,2.0845329587198904,2.860849414541314,-0.013243756952624253,-0.08520600354822289,0.05894226149353231
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,10,sym,20,1000,80.23115475756543,57.96024892262132,103.21080896738769,2.033289808362184,-3.3529722508795645,7.845150777920645
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,10,forward,20,1000,136.1976360062996,102.21551062523316,167.21026650232668,5.998866346913957,-2.300162957169673,15.61112082674692
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,20,lift,20,1000,2.487608391197193,2.0640648737432805,2.9887445491226567,0.015546127037085355,-0.08401425026823019,0.1214333238611615
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,20,sym,20,1000,89.18755810370097,53.95719848205865,121.52392713426626,2.7838789590856265,-2.919389820826725,9.499713090640936
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,20,forward,20,1000,134.14624307765033,72.78051140225118,188.8057406901712,9.410427671376027,-2.5311749543604978,22.466443921608878
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,1,lift,50,1000,1.940000917490805,1.7455486460679503,2.139726273101223,-0.003906786157609421,-0.02432452946535054,0.010346980947437502
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,1,sym,50,1000,31.019576292045635,24.39130705581022,38.55353072254124,-0.47163769390813925,-2.125392132756988,1.1095997495293188
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,1,forward,50,1000,95.9138426442874,80.83223769340064,112.03024809256975,2.2445765764277894,-0.2946576868637463,5.416733434705311
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,3,lift,50,1000,2.403195968678118,2.065436018132034,2.8033457873372134,-0.003438517269453545,-0.04717188979576931,0.04327772886533159
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,3,sym,50,1000,62.088708988022226,48.248003436746416,78.52258471637015,0.5255088119935678,-1.8875308060816576,3.356739635357986
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,3,forward,50,1000,125.96701965667408,105.0247991330057,146.38398444363096,3.960103488384476,-0.2971428109610837,9.315099170167985
pace_cat_y20_gate_full_specialist_dual_month24_cap2,soft730_pace_competence_dual_month24_cap2,5,lift,50,1000,2.4739102508904796,2.1075504787987507,2.868573243837965,0.007856152666406935,-0.041750717207153676,0.06628471049264358
