rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,passed_2025
0.2,195,1.2133333333333332,60.0,0.0,0.49230769230769234,0.3401273885350318,1.4474214923653128,0.6039578904747445,76.27720763637421,1.4474214923653128,1.4474214923653128,1.0,1.0,1.0577777777777777,1.431111111111111,1.3771929824561404,0.8368421052631579,1.4474214923653128,1.2133333333333332,1.2133333333333332,0.5599999999999999,2.525,3.0,cbr_macro_old_anchor,rolling,0.2,60,0,0,0.0,0.0,0,0,1.3771929824561404,False
0.35,230,1.431111111111111,120.0,0.0,0.5,0.3401273885350318,1.4700374531835207,0.5841105953465504,91.43501364435316,1.4700374531835207,1.4700374531835207,1.0,1.0,1.0888888888888888,1.6177777777777775,1.3209134615384617,0.8844444444444445,1.4700374531835207,1.431111111111111,1.431111111111111,0.18666666666666665,3.35,3.0,cbr_macro_tree_consensus,rolling,0.35,120,0,0,0.0,0.0,0,0,1.3209134615384617,False
0.22,295,1.8355555555555554,60.0,0.0,0.4711864406779661,0.3401273885350318,1.3853234304576907,0.5991388659927986,84.75121352524948,1.3853234304576907,1.3853234304576907,1.0,1.0,1.4933333333333332,2.1155555555555554,1.2624269005847955,0.9655172413793104,1.3853234304576907,1.8355555555555554,1.8355555555555554,0.35777777777777775,3.925,3.0,cbr_macro_diverse_anchor,rolling,0.22,60,0,0,0.0,0.0,0,0,1.2624269005847955,False
0.3,316,1.966222222222222,60.0,0.0,0.43037974683544306,0.3401273885350318,1.2653486938794862,0.6034951484389687,64.62883995837932,1.2653486938794862,1.2653486938794862,1.0,1.0,1.8977777777777776,2.1155555555555554,1.1740005752085132,0.9581993569131833,1.2653486938794862,1.966222222222222,1.966222222222222,0.34222222222222226,3.725,3.0,cbr_macro_resolved_hist,rolling,0.3,60,0,0,0.0,0.0,0,0,1.1740005752085132,False
0.35,307,1.910222222222222,120.0,0.0,0.4495114006514658,0.3401273885350318,1.3215971891812759,0.6035529911934405,74.30333582418017,1.3215971891812759,1.3215971891812759,1.0,1.0,1.7733333333333332,2.0533333333333332,1.1671126969967291,0.9437086092715232,1.3215971891812759,1.910222222222222,1.910222222222222,0.7933333333333332,4.425,3.0,cbr_macro_full_hist_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.1671126969967291,False
0.3,350,2.1777777777777776,60.0,0.0,0.42,0.3401273885350318,1.2348314606741573,0.6055991786328865,64.93876179052397,1.2348314606741573,1.2348314606741573,1.0,1.0,1.9911111111111108,2.333333333333333,1.1620065789473686,0.9536231884057971,1.2348314606741573,2.1777777777777776,2.1777777777777776,0.6066666666666666,4.1,3.0,cbr_macro_resolved_anchor25,rolling,0.3,60,0,0,0.0,0.0,0,0,1.1620065789473686,False
0.3,291,1.8106666666666666,60.0,0.0,0.43986254295532645,0.3401273885350318,1.2932288247937502,0.5967058551328215,69.15601143088286,1.2932288247937502,1.2932288247937502,1.0,1.0,1.711111111111111,1.9911111111111108,1.1452254641909814,0.9265734265734266,1.2932288247937502,1.8106666666666666,1.8106666666666666,0.5755555555555556,3.425,3.0,cbr_macro_compact_xgb,rolling,0.3,60,0,0,0.0,0.0,0,0,1.1452254641909814,False
,215,1.3377777777777777,,,0.39069767441860465,0.3401273885350318,1.1486804285341,0.5777117406330889,57.462633533451886,1.1486804285341,,,,1.3066666666666666,1.3688888888888888,1.114870509607352,0.8714285714285714,1.1486804285341,1.3377777777777777,1.3377777777777777,1.1199999999999999,1.65,,anchor_multiscale_locked,weekly,0.0,0,0,40,0.75,0.3,3,2,1.114870509607352,False
0.3,276,1.7173333333333332,40.0,0.0,0.42391304347826086,0.3401273885350318,1.2463361016121153,0.561436235593539,53.42053426782803,1.2463361016121153,1.2463361016121153,1.0,1.0,1.462222222222222,1.8977777777777776,1.1134751773049645,0.9003690036900369,1.2463361016121153,1.7173333333333332,1.7173333333333332,0.98,2.925,3.0,cbr_macro_compact_cat,rolling,0.3,40,0,0,0.0,0.0,0,0,1.1134751773049645,False
,187,1.1635555555555555,,,0.41711229946524064,0.3401273885350318,1.2263414047948087,0.5625352479285064,32.26608425391046,1.2263414047948087,,,,1.0888888888888888,1.2133333333333332,1.1032432432432433,0.8131868131868132,1.2263414047948087,1.1635555555555555,1.1635555555555555,0.9955555555555555,1.325,,round5_reset_hist,weekly,0.0,0,0,20,0.75,0.3,4,2,1.1032432432432433,False
