rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness
0.22,261,1.0322033898305085,60.0,0.0,0.4942528735632184,0.3379032258064516,1.4627054014758731,0.5589042410007006,44.669414522032696,1.4627054014758731,1.4627054014758731,1.0,1.0,1.0084745762711864,1.0677966101694916,1.3333333333333333,0.890625,1.4627054014758731,1.0322033898305085,1.0322033898305085,0.7235955056179775,1.5113636363636365,4.0,cbr_macro_diverse_anchor,rolling,0.22,60,0,0,0.0,0.0,0,0,1.3333333333333333
0.35,321,1.269491525423729,120.0,0.0,0.45482866043613707,0.3379032258064516,1.3460323125078997,0.5269056014697717,45.66530771778374,1.3460323125078997,1.3460323125078997,1.0,1.0,1.1864406779661016,1.384180790960452,1.28099173553719,0.8892405063291139,1.3460323125078997,1.269491525423729,1.269491525423729,0.802247191011236,1.785,4.0,cbr_macro_tree_consensus,rolling,0.35,120,0,0,0.0,0.0,0,0,1.28099173553719
0.3,281,1.1112994350282488,60.0,0.0,0.4377224199288256,0.3379032258064516,1.295407638930176,0.5203416289000841,44.73638253402878,1.295407638930176,1.295407638930176,1.0,1.0,0.9096045197740114,1.225988700564972,1.2121212121212122,0.8659420289855072,1.295407638930176,1.1112994350282488,1.1112994350282488,0.8494382022471911,1.5272727272727273,4.0,cbr_macro_resolved_anchor25,rolling,0.3,60,0,0,0.0,0.0,0,0,1.2121212121212122
0.3,299,1.1824858757062147,60.0,0.0,0.44481605351170567,0.3379032258064516,1.3164007311563606,0.5421701807272696,35.183812600372804,1.3164007311563606,1.3164007311563606,1.0,1.0,1.1468926553672316,1.265536723163842,1.2,0.8639455782312925,1.3164007311563606,1.1824858757062147,1.1824858757062147,0.7954545454545455,1.7977272727272728,4.0,cbr_macro_compact_xgb,rolling,0.3,60,0,0,0.0,0.0,0,0,1.2
0.3,358,1.415819209039548,40.0,0.0,0.41899441340782123,0.3379032258064516,1.2399834668871081,0.5439608836072198,32.447894627981064,1.2399834668871081,1.2399834668871081,1.0,1.0,1.344632768361582,1.4435028248587571,1.1869945535566926,0.8923512747875354,1.2399834668871081,1.415819209039548,1.415819209039548,1.0382022471910113,1.8454545454545455,4.0,cbr_macro_compact_cat,rolling,0.3,40,0,0,0.0,0.0,0,0,1.1869945535566926
0.35,343,1.356497175141243,60.0,0.0,0.3935860058309038,0.3379032258064516,1.1647891342012429,0.5495408416884933,18.33903124762833,1.1647891342012429,1.1647891342012429,1.0,1.0,1.265536723163842,1.4830508474576272,1.1204819277108435,0.8905325443786982,1.1647891342012429,1.356497175141243,1.356497175141243,1.101123595505618,2.115909090909091,4.0,cbr_macro_compact_hist,rolling,0.35,60,0,0,0.0,0.0,0,0,1.1204819277108435
0.3,260,1.0282485875706215,60.0,0.0,0.39615384615384613,0.3379032258064516,1.1723884707178263,0.4939345753912075,40.536700654188905,1.1723884707178263,1.1723884707178263,1.0,1.0,0.9689265536723164,1.1073446327683616,1.092764378478664,0.8313725490196079,1.1723884707178263,1.0282485875706215,1.0282485875706215,0.7078651685393259,1.384090909090909,4.0,cbr_macro_resolved_hist,rolling,0.3,60,0,0,0.0,0.0,0,0,1.092764378478664
,321,1.269491525423729,,,0.38317757009345793,0.3379032258064516,1.133986126290902,0.5386788915084055,32.11983392048729,1.133986126290902,,,,1.225988700564972,1.305084745762712,1.0674931129476584,0.8512658227848101,1.133986126290902,1.269491525423729,1.269491525423729,0.7318181818181818,1.8724999999999998,,anchor_multiscale_locked,weekly,0.0,0,0,40,0.75,0.3,3,2,1.0674931129476584
,306,1.2101694915254237,,,0.38235294117647056,0.3379032258064516,1.1315456970377649,0.4961816749467295,22.331123204939402,1.1315456970377649,,,,1.2062146892655368,1.225988700564972,1.0602409638554218,0.7774086378737541,1.1315456970377649,1.2101694915254237,1.2101694915254237,0.9625,1.6704545454545454,,cbr_macro_full_extra,weekly,0.0,0,0,20,0.9,0.3,4,2,1.0602409638554218
0.2,284,1.1231638418079095,60.0,0.0,0.3873239436619718,0.3379032258064516,1.1462570170425896,0.5596033709400319,36.72638536241677,1.1462570170425896,1.1462570170425896,1.0,1.0,1.0480225988700564,1.1666666666666667,1.0566037735849056,0.8817204301075269,1.1462570170425896,1.1231638418079095,1.1231638418079095,0.7477272727272728,2.1636363636363636,4.0,cbr_macro_old_anchor,rolling,0.2,60,0,0,0.0,0.0,0,0,1.0566037735849056
