period,policy,observed_lift,circular_shift_p_unadjusted,circular_shift_p_max_adjusted,n_recorded_policies,observed_max_lift,null_max_lift_q95
confirmation_2025,cbr_macro_diverse_anchor,1.1410884228032894,0.15996000999750062,0.37140714821294674,8,1.334397810218978,1.3236625704518157
confirmation_2025,cbr_macro_tree_consensus,1.334397810218978,0.00024993751562109475,0.045238690327418146,8,1.334397810218978,1.3236625704518157
confirmation_2025,cbr_macro_resolved_anchor25,0.8994610516775373,0.833791552111972,0.9885028742814297,8,1.334397810218978,1.3236625704518157
confirmation_2025,cbr_macro_compact_xgb,1.0401459854014599,0.38090477380654836,0.7665583604098976,8,1.334397810218978,1.3236625704518157
confirmation_2025,cbr_macro_compact_cat,1.0384988817032785,0.3834041489627593,0.770307423144214,8,1.334397810218978,1.3236625704518157
confirmation_2025,cbr_macro_compact_hist,1.0644898276129835,0.2979255186203449,0.6943264183954011,8,1.334397810218978,1.3236625704518157
confirmation_2025,cbr_macro_resolved_hist,0.840687279586648,0.9142714321419645,1.0,8,1.334397810218978,1.3236625704518157
confirmation_2025,anchor_multiscale_locked,0.9680105814921863,0.5681079730067483,0.931267183204199,8,1.334397810218978,1.3236625704518157
retrospective_2025_2026,cbr_macro_diverse_anchor,1.293310830721423,0.00024993751562109475,0.0332416895776056,8,1.360723851198784,1.2749650601866462
retrospective_2025_2026,cbr_macro_tree_consensus,1.360723851198784,0.00024993751562109475,0.00024993751562109475,8,1.360723851198784,1.2749650601866462
retrospective_2025_2026,cbr_macro_resolved_anchor25,1.1047650695410773,0.16370907273181703,0.49987503124218946,8,1.360723851198784,1.2749650601866462
retrospective_2025_2026,cbr_macro_compact_xgb,1.1609789123250507,0.09047738065483629,0.31592101974506376,8,1.360723851198784,1.2749650601866462
retrospective_2025_2026,cbr_macro_compact_cat,1.1463971549577405,0.11422144463884029,0.3649087728067983,8,1.360723851198784,1.2749650601866462
retrospective_2025_2026,cbr_macro_compact_hist,1.125262704783126,0.16420894776305925,0.42439390152461887,8,1.360723851198784,1.2749650601866462
retrospective_2025_2026,cbr_macro_resolved_hist,1.0745176718055092,0.29042739315171207,0.5983504123969008,8,1.360723851198784,1.2749650601866462
retrospective_2025_2026,anchor_multiscale_locked,1.0772052332515412,0.16245938515371158,0.5861034741314671,8,1.360723851198784,1.2749650601866462
