rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,predeclared_order
0.22,1000,3.9548022598870056,20,0,0.363,0.3379032258064516,1.074272076372315,0.48159151625440766,14.855570122239682,1.074272076372315,1.074272076372315,1,1,3.9548022598870056,3.9548022598870056,1.0266666666666666,0.9899497487437185,1.074272076372315,3.9548022598870056,3.9548022598870056,2.784090909090909,5.191011235955057,4,cluster_pooled_hit_lcb,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0266666666666666,1
0.22,735,2.898591549295775,20,0,0.24625850340136055,0.22186234817813766,1.1099607726302199,0.5625014241551912,-24.357408062111162,1.1099607726302199,1.1099607726302199,1,1,2.898591549295775,2.898591549295775,1.0753741496598639,0.9452054794520548,1.1099607726302199,2.898591549295775,2.898591549295775,2.076923076923077,3.6794871794871797,4,cluster_pooled_hit_lcb,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0753741496598639,1
0.22,535,3.328888888888889,20,0,0.4224299065420561,0.3401273885350318,1.2419755679232736,0.6478243893974232,48.94959640797414,1.2419755679232736,1.2419755679232736,1,1,3.328888888888889,3.328888888888889,1.1841285456632236,0.9811320754716981,1.2419755679232736,3.328888888888889,3.328888888888889,2.6363636363636362,4.625,3,cluster_pooled_hit_lcb,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1841285456632236,1
0.22,1270,2.998313659359191,20,0,0.32047244094488186,0.26782178217821784,1.1965884116611114,0.6190168208273812,6.523889096546815,1.1099607726302199,1.1759681702767466,2,2,2.998313659359191,2.998313659359191,1.1594672161306938,0.9565217391304348,1.1759681702767466,2.898591549295775,3.328888888888889,2.076923076923077,4.625,7,cluster_pooled_hit_lcb,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1594672161306938,1
0.22,999,3.950847457627119,20,0,0.3633633633633634,0.3379032258064516,1.0753474237961114,0.4983691813057597,14.91779259037295,1.0753474237961114,1.0753474237961114,1,1,3.935028248587571,3.9548022598870056,1.0266666666666666,0.9899396378269618,1.0753474237961114,3.950847457627119,3.950847457627119,2.784090909090909,5.191011235955057,4,cluster_shrunk_hit_lcb,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0266666666666666,2
0.22,733,2.8907042253521125,20,0,0.24693042291950887,0.22186234817813766,1.1129893149839176,0.5698101885961248,-24.145574050737483,1.1129893149839176,1.1129893149839176,1,1,2.8591549295774645,2.898591549295775,1.0902068965517242,0.945054945054945,1.1129893149839176,2.8907042253521125,2.8907042253521125,2.0461538461538464,3.6794871794871797,4,cluster_shrunk_hit_lcb,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0902068965517242,2
0.22,536,3.335111111111111,20,0,0.4216417910447761,0.3401273885350318,1.2396584493264018,0.6325032898066605,48.832961614566216,1.2396584493264018,1.2396584493264018,1,1,3.328888888888889,3.36,1.1731643924626383,0.9811676082862524,1.2396584493264018,3.335111111111111,3.335111111111111,2.6363636363636362,4.625,3,cluster_shrunk_hit_lcb,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1731643924626383,2
0.22,1269,2.9959527824620578,20,0,0.3207249802994484,0.26782178217821784,1.1975313497317666,0.6116112325483447,6.679087191660295,1.1129893149839176,1.1763238821551596,2,2,2.9865092748735247,2.998313659359191,1.164050090502752,0.9564873417721519,1.1763238821551596,2.8907042253521125,3.335111111111111,2.0461538461538464,4.625,7,cluster_shrunk_hit_lcb,combined_2025_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.164050090502752,2
0.22,994,3.931073446327684,20,0,0.3611670020120724,0.3379032258064516,1.068847452255298,0.4971584219721569,14.775723425098048,1.068847452255298,1.068847452255298,1,1,3.915254237288136,3.935028248587571,1.018425460636516,0.9898887765419616,1.068847452255298,3.931073446327684,3.931073446327684,2.784090909090909,5.191011235955057,4,cluster_transition_hit_lcb,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0,1.018425460636516,3
0.22,651,2.5673239436619717,20,0,0.2534562211981567,0.22186234817813766,1.1424030408019106,0.5702507272685843,-27.816427771109655,1.1424030408019106,1.1424030408019106,1,1,2.504225352112676,2.6422535211267606,1.0322388059701493,0.9442724458204335,1.1424030408019106,2.5673239436619717,2.5673239436619717,1.876923076923077,3.6794871794871797,4,cluster_transition_hit_lcb,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0,1.0322388059701493,3
0.22,505,3.142222222222222,20,0,0.4,0.3401273885350318,1.1760299625468167,0.6158951889288968,46.321851188156685,1.1760299625468167,1.1760299625468167,1,1,3.142222222222222,3.142222222222222,1.1502970297029704,0.97,1.1760299625468167,3.142222222222222,3.142222222222222,2.1818181818181817,4.375,3,cluster_transition_hit_lcb,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0,1.1502970297029704,3
