quarter,n_train,unique_train_dates,stale_unique_train_dates,last_resolved,n_features,n_states
2023-01-01,1050,210,210,2022-12-31,50,8
2023-04-01,1330,266,266,2023-03-31,50,8
2023-07-01,1635,327,327,2023-06-30,50,8
2023-10-01,1965,393,393,2023-09-30,50,8
2024-01-01,2285,457,457,2023-12-30,50,8
2024-04-01,2570,514,514,2024-03-30,50,8
2024-07-01,2870,574,574,2024-06-29,50,8
2024-10-01,3195,639,639,2024-09-28,50,8
2025-01-01,3525,705,705,2024-12-29,50,8
2025-04-01,3810,762,762,2025-03-29,50,8
2025-07-01,4105,821,821,2025-06-28,50,8
2025-10-01,4435,887,887,2025-09-30,50,8
2026-01-01,4760,952,952,2025-12-31,50,8
2026-04-01,5030,1006,1006,2026-03-31,50,8
2026-07-01,5340,1068,1068,2026-06-30,50,8
