rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,selected_rate,selected_rolling,selected_cooldown
0.22,226,1.4062222222222223,120,0,0.42920353982300885,0.3401273885350318,1.2618905571575354,0.5552109091434935,58.21761657279426,1.2618905571575354,1.2618905571575354,1,1,1.1199999999999999,1.68,1.1731643924626383,0.9457013574660633,reset_eb_anchor50,0.22,120,0
0.3,258,1.6053333333333333,120,0,0.4108527131782946,0.3401273885350318,1.2079377522283195,0.5500448281347157,49.83748613906159,1.2079377522283195,1.2079377522283195,1,1,1.2755555555555553,1.8977777777777776,1.0836928386540121,0.924901185770751,reset_eb_p20,0.3,120,0
0.3,260,1.6177777777777775,120,0,0.40384615384615385,0.3401273885350318,1.1873379429559205,0.5541010512920626,50.914578044267195,1.1873379429559205,1.1873379429559205,1,1,1.2755555555555553,1.9911111111111108,0.9898574561403509,0.9372549019607843,reset_eb_anchor25,0.3,120,0
