rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate
0.18,887,0.8558235699517575,0,0,0.6437429537767756,0.24577822990844353,2.619202498189447,0.8866151964155875,104.59807241917864,2.1665761664090892,2.7593891868297296,4,4,0.7381116471399035,0.9359062715368711,2.5513533555802748,0.7290249433106576,known_margin
0.18,931,0.8982770503101309,120,0,0.6390977443609023,0.24577822990844353,2.6003024946472144,0.8866151964155875,96.79720441372716,2.19029521921128,2.686219144661309,4,4,0.8635423845623708,0.9359062715368711,2.480086502072446,0.6771058315334774,known_margin
0.18,923,0.8905582356995175,250,0,0.6543878656554712,0.24577822990844353,2.662513542795233,0.8866151964155875,101.15884636861828,2.2415730337078656,2.754273674452559,4,4,0.8490696071674707,0.9214334941419711,2.5674028592375366,0.6895424836601307,known_margin
0.18,872,0.8413507925568574,500,0,0.658256880733945,0.24577822990844353,2.6782554377544203,0.8866151964155875,105.53155783669443,2.2219449345343114,2.788104226081757,4,4,0.8104755341144039,0.8683666436940042,2.5961139407658935,0.6851211072664359,known_margin
0.18,703,0.6782908339076499,250,3,0.6913229018492176,0.24577822990844353,2.812791442540484,0.8866151964155875,102.71244192276036,2.4548695939253875,2.8641464639994236,4,4,0.6560992419021365,0.6898690558235699,2.7128104691533874,0.5401146131805158,known_margin
0.2,991,0.9561681598897313,0,0,0.6417759838546923,0.24577822990844353,2.6111994707332884,0.8866151964155875,100.56283174157745,2.194034154326959,2.6684281495022746,4,4,0.8780151619572709,1.0179186767746382,2.5130736614566014,0.7565922920892495,known_margin
0.2,1016,0.980289455547898,120,0,0.6328740157480315,0.24577822990844353,2.5749799564582574,0.8866151964155875,93.90114062793157,2.2256957029519553,2.649397225297335,4,4,0.9262577532736045,1.0323914541695383,2.4566742271505375,0.7042532146389713,known_margin
0.2,1005,0.9696760854583046,250,0,0.6457711442786069,0.24577822990844353,2.627454614345491,0.8866151964155875,97.91794679749808,2.215355805243446,2.710676538221448,4,4,0.9455547898001379,0.9889731219848381,2.487430052666228,0.713,known_margin
0.2,972,0.9378359751895246,500,0,0.6419753086419753,0.24577822990844353,2.6120104652113483,0.8866151964155875,99.83854592697267,2.216718046485215,2.6671009863115738,4,4,0.906960716747071,0.9600275671950379,2.50339558573854,0.7052740434332989,known_margin
0.2,756,0.7294279807029634,250,3,0.671957671957672,0.24577822990844353,2.7339999649602302,0.8866151964155875,97.58378460230401,2.3930373491469,2.75629059542103,4,4,0.7236388697450035,0.7332873880082702,2.5987235633411667,0.5659121171770972,known_margin
0.22,1070,1.0323914541695383,0,0,0.6289719626168224,0.24577822990844353,2.559103639289472,0.8866151964155875,97.90515111516487,2.181489970359137,2.6028069457845087,4,4,0.9937973811164714,1.0516884906960717,2.449273432744979,0.7605633802816901,known_margin
0.22,1117,1.077739490006892,120,0,0.6284691136974038,0.24577822990844353,2.5570576935618705,0.8866151964155875,91.36845030220192,2.2333755599618126,2.6291293557055737,4,4,1.0516884906960717,1.0999310820124053,2.4790570175438593,0.7311151079136691,known_margin
0.22,1104,1.0651964162646452,250,0,0.6385869565217391,0.24577822990844353,2.5982242477685,0.8866151964155875,94.90414322327398,2.190426029962547,2.6956267696938756,4,4,1.042039972432805,1.1047553411440387,2.4589680406212664,0.7343039126478617,known_margin
0.22,1072,1.0343211578221916,500,0,0.628731343283582,0.24577822990844353,2.55812462933676,0.8866151964155875,96.7902140225246,2.1922007100245215,2.630835172567886,4,4,1.0130944176430048,1.0565127498277052,2.434850230414747,0.7366447985004686,known_margin
