feature,logit_abs_scaled_coefficient,extra_trees_importance,mean_rank
known_margin_vol,0.6847853750349263,0.3021377572398482,1.0
published_next_last_week_month,0.5194247403870924,0.025441830898580507,0.9831081081081081
known_peer_mean,0.28551640103934833,0.017505061829004336,0.9527027027027027
published_next_range_pos_20,0.38634796020125556,0.009367222240908286,0.9358108108108107
published_next_annual_sin_2,0.2278470140830614,0.023110084535676326,0.9324324324324325
current_annual_sin_2,0.20905929851486138,0.02170343033719718,0.9155405405405406
current_last_week_month,0.30254390097616524,0.006771172475546071,0.8986486486486487
current_rank_level_20,0.41469322168892925,0.005645245470096428,0.8817567567567568
published_next_pct_range_30,0.2725650298456022,0.006031047669446535,0.875
current_bars_since_max_30,0.19846999890621064,0.0069034598076803426,0.8412162162162162
known_peer_min,0.15739391044705542,0.0084343073632892,0.8209459459459459
published_next_eur_raw_ret_5,0.34520502059083874,0.004463328050710075,0.8175675675675675
current_raw_vol_20,0.19542620469929212,0.005486392294741058,0.7939189189189189
published_next_dow_sin,0.13235226698776245,0.007150093986127145,0.7837837837837838
published_next_dow_cos,0.15314662860447828,0.006678405603587044,0.7837837837837838
published_next_usd_ret_5,0.18937995662649887,0.0054575941332965245,0.7804054054054055
current_level_vs_ema_5,0.2630226656205877,0.003827228126990882,0.7702702702702702
current_annual_sin_1,0.08889000917040442,0.014449226121266359,0.7635135135135136
current_range_pos_20,0.1801383512543733,0.005259985364897312,0.7601351351351351
current_annual_cos_2,0.09250183349792834,0.010051703733477654,0.7533783783783784
current_cnyusd_ret_20,0.07199074400053547,0.015184168683546861,0.7398648648648649
published_next_bars_since_min_30,0.15979510802878485,0.005137986510805529,0.7364864864864864
current_ret_ac1_20,0.19959253977186878,0.004025843114150656,0.7364864864864864
current_usd_ret_5,0.11987970763574828,0.006451547230763639,0.7331081081081081
current_first_week_month,0.2346970307280774,0.0036124827129290706,0.7297297297297297
published_next_annual_sin_1,0.06780007525050653,0.015029547947835517,0.722972972972973
published_next_annual_cos_2,0.07433767393391662,0.010322043055432793,0.722972972972973
published_next_ret_3,0.2090092591106212,0.0036295790915001763,0.7195945945945946
current_eurusd_ret_20,0.08009491771571825,0.008031217610916042,0.7162162162162162
published_next_first_week_month,0.22544890040352109,0.0035486591031228896,0.7128378378378378
current_ret_ac1_60,0.12176132880324002,0.005382131390880182,0.7060810810810811
published_next_level_vs_ema_5,0.19297263575029025,0.003804988812738964,0.7060810810810811
current_raw_vol_120,0.1572377646954235,0.004304535194309043,0.6993243243243243
current_cny_raw_ret_5,0.12991188094063932,0.005123630927094387,0.6993243243243243
published_next_eurusd_ret_20,0.1279925882247307,0.005055715079978291,0.6925675675675675
published_next_cny_raw_ret_5,0.12688842962173652,0.005031372192300738,0.6858108108108107
published_next_usd_raw_ret_5,0.08399944098648783,0.0058576987651021775,0.6824324324324325
current_dow_cos,0.1209866328192247,0.00459570392110983,0.6722972972972974
current_ret_10,0.1752046081255588,0.0036160432817871116,0.6722972972972974
current_eur_raw_ret_5,0.17908401982951916,0.0035741631531577677,0.6655405405405406
published_next_raw_vol_20,0.15625124409212784,0.003629522726303287,0.6554054054054054
published_next_ret_ac1_20,0.17186620890543997,0.0033982998381772815,0.6418918918918919
published_next_high_vol_regime,0.3513257048757826,0.0021437481835082095,0.6385135135135136
published_next_range_pos_120,0.19867677213315107,0.0027154549357945846,0.6385135135135136
published_next_ret_1,0.031304278224298064,0.029479991300346856,0.6351351351351351
published_next_range_pos_60,0.21224447588563908,0.0026007813285003297,0.6351351351351351
known_margin_bps,0.031304278224297155,0.029497395321968642,0.6334459459459459
published_next_bars_since_max_30,0.0854116139897752,0.004768076618953793,0.6317567567567568
current_eur_raw_ret_20,0.050399745937190384,0.006505428561858351,0.6317567567567568
published_next_peer_dispersion_5,0.06397750551534613,0.005609989917403164,0.6283783783783784
known_abs_margin_bps,0.031304278224297155,0.025640574048583345,0.6266891891891891
current_high_vol_regime,0.23751428241235276,0.00226920811736153,0.625
current_pct_range_30,0.15175323003776234,0.0034890949551090815,0.6216216216216216
current_annual_cos_1,0.03473855162979538,0.01175651842352287,0.6148648648648649
current_quiet_regime,0.13027954566495287,0.003538033445671171,0.6114864864864865
current_pct_range_90,0.18056078772337886,0.0026208500463451886,0.6047297297297297
published_next_eur_raw_ret_20,0.05948160372276062,0.005148185584777576,0.5912162162162162
current_range_pos_250,0.2487656893299248,0.0020007231413980064,0.5912162162162162
current_slope_z_20,0.25859183808806424,0.0019220202895826822,0.5912162162162162
current_dow_sin,0.031831108984354525,0.00841357288312487,0.5844594594594594
current_raw_vol_60,0.07924037720311643,0.003952847503254655,0.5844594594594594
published_next_annual_cos_1,0.02522631082547315,0.012297175441759567,0.581081081081081
published_next_rank_level_60,0.22218785800896595,0.002017073540657576,0.5777027027027026
published_next_quiet_regime,0.049444386869846355,0.005439547328841274,0.5777027027027026
published_next_ret_10,0.08123815309553802,0.0037229262891980814,0.5777027027027026
current_usd_raw_ret_5,0.03583034804797209,0.006487645822267983,0.5709459459459459
current_ret_60,0.19302313977962796,0.002048651526386203,0.5506756756756757
current_cny_ret_20,0.04058212006426384,0.005327965462023197,0.5472972972972973
current_peer_dispersion_5,0.02183066841967737,0.007421059778255822,0.543918918918919
published_next_pct_range_180,0.13766455558586949,0.0024380652112316113,0.543918918918919
published_next_slope_z_60,0.16999036962704603,0.0021777569886539667,0.5439189189189189
current_vol_ratio_5_60,0.08705005388426267,0.0033545073038413935,0.5405405405405406
published_next_pct_range_90,0.09266519033254215,0.0028738968985521805,0.5337837837837838
current_ret_3,0.060833499967273406,0.0036973106071355333,0.5304054054054054
current_range_pos_120,0.10251039438140677,0.002697781281832509,0.527027027027027
current_macd_5_20,0.2019116461514214,0.0013491933435792697,0.5168918918918919
current_cny_raw_ret_20,0.015031865391031792,0.006995475911475699,0.5168918918918919
published_next_vol_ratio_5_60,0.06645826950709083,0.003397721537547236,0.5
published_next_cnyusd_ret_20,0.008538249026508266,0.012137134572166393,0.5
current_raw_vol_5,0.0193860293105793,0.005898257915141692,0.4966216216216216
current_pre_new_year_14,0.25371040275764273,9.846206475194071e-05,0.49324324324324326
published_next_vol_ratio_20_120,0.09358065718593823,0.002388611149247707,0.4864864864864865
published_next_rank_level_250,0.11304065649245354,0.0021852342531835443,0.4864864864864865
published_next_positive_share_60,0.060308597069162286,0.003304477268937787,0.4797297297297297
current_gap_days,0.1357485754603844,0.001776074264113031,0.47635135135135137
current_ret_5,0.06469399165208957,0.002969677841731036,0.47635135135135137
current_bars_since_min_30,0.0324644959126903,0.004282541575577517,0.4763513513513513
current_rank_level_60,0.06821591617363496,0.002640126811726704,0.46283783783783783
known_peer_std,0.1096163448007773,0.0021012913862970143,0.46283783783783783
current_vol_ratio_20_120,0.07186907259506918,0.0024989275877731077,0.4493243243243243
current_usd_ret_20,0.011105177971634914,0.005500299492809835,0.44594594594594594
published_next_raw_vol_120,0.03667361814518145,0.003580159830260351,0.43918918918918914
published_next_raw_vol_60,0.026707996147981656,0.0038355760422802226,0.42905405405405406
published_next_positive_share_20,0.12003101849548735,0.0013700353931250058,0.4222972972972973
published_next_ret_5,0.05727815510659681,0.0025645324518477983,0.4222972972972973
published_next_cny_ret_5,0.01632584464360503,0.004384924273180632,0.42229729729729726
published_next_rank_level_120,0.06906444485791914,0.002127501697965489,0.40878378378378377
current_range_pos_60,0.03864422317845378,0.0030402554199098655,0.40878378378378377
published_next_ret_60,0.11110230679687767,0.0012633667640051507,0.40202702702702703
published_next_ret_ac1_60,0.0006341049174158618,0.005805512378950894,0.39864864864864863
published_next_streak_up,0.04304504678074512,0.002616091790847226,0.3885135135135135
current_usd_raw_ret_20,0.009920745120548177,0.00426331286374595,0.3682432432432432
current_pct_range_180,0.046515079780156496,0.002260993848794523,0.36486486486486486
published_next_rel_to_peers_5,0.08890984490485836,0.0006193193756911069,0.3547297297297297
current_cny_ret_5,0.0017029273892758673,0.004454930646098509,0.34797297297297297
published_next_cny_raw_ret_20,0.004072734968832722,0.004235606098615542,0.33783783783783783
published_next_level_vs_ema_20,0.05603124734277927,0.0016401842963357132,0.33445945945945943
published_next_macd_20_60,0.07624612506612767,0.0006483983466258293,0.3310810810810811
published_next_ret_20,0.05685394823627984,0.001442980132073308,0.32432432432432434
current_level_vs_ema_20,0.027973076896241972,0.0025644933970473136,0.31756756756756754
current_streak_dn,0.049967019557213846,0.0014818679034477268,0.31756756756756754
current_slope_z_120,0.050166427624607365,0.0013304451522588238,0.30067567567567566
published_next_cny_ret_20,0.005724270338752542,0.003540714764316512,0.29729729729729726
current_slope_z_60,0.022019794177912933,0.0024323205217243364,0.2939189189189189
published_next_range_pos_250,0.04193375567368728,0.0016308736929692052,0.2939189189189189
current_rank_level_250,0.010203446133218715,0.0027786229798865353,0.27702702702702703
current_macd_20_60,0.04971981769884306,0.0008465041394248918,0.27364864864864863
current_level_vs_ema_60,0.04489630678944371,0.0010566859629400297,0.2702702702702703
known_peer_rank,0.04438704907911728,0.0008561110472722056,0.26013513513513514
published_next_usd_raw_ret_20,0.0024320877941731256,0.0032505952127409657,0.26013513513513514
published_next_raw_vol_5,0.008317261820995068,0.00274219923601029,0.25675675675675674
published_next_usd_ret_20,0.001317139484834417,0.003223648301512076,0.24662162162162163
published_next_pre_new_year_14,0.04765892144506826,0.0002736600770312416,0.24662162162162163
published_next_slope_z_120,0.03677061899431051,0.0011154842067119626,0.2466216216216216
current_rank_level_120,0.021396409984715068,0.0020590474492051002,0.2466216216216216
published_next_gap_days,0.03692674603196069,0.0009621711494990863,0.24324324324324323
current_positive_share_60,0.01132329721946261,0.0023469794067747666,0.23986486486486486
published_next_slope_z_20,0.021656334932237783,0.0018343993364627552,0.22972972972972974
published_next_rank_level_20,0.0015459168776944063,0.0026722210713026762,0.22297297297297297
published_next_macd_5_20,0.02586864729577001,0.0014162625097290246,0.21621621621621623
current_positive_share_20,0.01995563087719296,0.0014629822999812343,0.20270270270270271
current_ret_1,0.01287020425306212,0.001654994883487271,0.19594594594594594
published_next_currency_UZS,0.03223270862354737,0.00019781486902173192,0.18581081081081083
current_currency_UZS,0.03223270862354739,0.0001236217802062888,0.1858108108108108
current_streak_up,0.004661505494019477,0.0021529082356405702,0.1858108108108108
known_unchanged,0.03962463014747958,0.0,0.18412162162162163
current_rel_to_peers_5,0.030309496816766698,0.00024007402360057002,0.17229729729729729
current_ret_20,0.004136049193366595,0.0019987217523886346,0.1554054054054054
published_next_level_vs_ema_60,0.011469171579940722,0.0006784458165429981,0.13175675675675674
current_currency_AMD,0.014914130047653379,5.938765561811298e-05,0.11486486486486487
published_next_currency_AMD,0.01491413004765333,2.1209422512682813e-05,0.09797297297297297
published_next_currency_TJS,0.012167623669021417,4.087055493443698e-05,0.0945945945945946
published_next_currency_KZT,0.00978276803533806,0.0004185399646818072,0.0945945945945946
current_currency_KZT,0.009782768035338037,0.00046798493393984,0.0945945945945946
current_currency_TJS,0.01216762366902147,7.641946363175156e-06,0.08783783783783783
published_next_currency_KGS,0.010561954352163169,5.671224025859266e-05,0.08108108108108109
current_currency_KGS,0.010561954352163254,3.0277762130512042e-05,0.07770270270270271
published_next_streak_dn,0.0,0.0,0.008445945945945946
