rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,selected_rate,selected_rolling,selected_cooldown,selection_status
0.22,737,1.075912408759124,250,0,0.751696065128901,0.294478527607362,2.552634554500226,0.8931152626811594,141.95204176462505,2.257557517388978,2.2954531546416987,3,3,1.0656934306569343,1.102189781021898,2.375867422922146,0.7172131147540983,pub_blend_logit_extra,0.22,250,0,diagnostic all-candidate retrospective table
0.22,740,1.0802919708029197,250,0,0.7405405405405405,0.294478527607362,2.514752252252252,0.9052264492753623,137.88056416825935,2.1919308453718567,2.2729143130756166,3,3,1.051094890510949,1.1094890510948905,2.2805477643953145,0.7387755102040816,pub_logit_next_and_known,0.22,250,0,diagnostic all-candidate retrospective table
0.2,730,1.0656934306569343,500,0,0.7342465753424657,0.294478527607362,2.49337899543379,0.9038220108695654,135.49721069969667,2.160294044744092,2.2430743897714067,3,3,1.0072992700729928,1.102189781021898,2.3058040357811525,0.7875862068965517,pub_logit_published_next,0.2,500,0,diagnostic all-candidate retrospective table
0.2,673,0.9824817518248175,0,0,0.7310549777117384,0.294478527607362,2.482540861812778,0.8931961050724635,143.1151684804106,2.059242748184203,2.263740961065793,3,3,0.9197080291970803,1.0218978102189782,2.3025746183640923,0.6901197604790419,pub_blend_logit_margin,0.2,0,0,diagnostic all-candidate retrospective table
0.22,732,1.0686131386861315,250,0,0.7240437158469946,0.294478527607362,2.458731785063752,0.8975738224637682,138.33261840551717,2.2682451953272205,2.2882658469366124,3,3,1.0364963503649636,1.102189781021898,2.370909090909091,0.7331499312242091,pub_extra_7y,0.22,250,0,diagnostic all-candidate retrospective table
0.22,775,1.1313868613138687,120,0,0.7212903225806452,0.294478527607362,2.4493817204301074,0.8913045742753622,131.5491488942686,2.243748732587705,2.2688249277444292,3,3,1.094890510948905,1.1824817518248176,2.330084470435348,0.7324675324675325,pub_consensus_models,0.22,120,0,diagnostic all-candidate retrospective table
0.22,795,1.1605839416058394,120,0,0.720754716981132,0.294478527607362,2.4475628930817606,0.8934572010869565,133.45069762720695,2.238772635123527,2.2764824674132553,3,3,1.1167883211678833,1.2043795620437956,2.3251805402835153,0.7417721518987341,pub_consensus_with_margin,0.22,120,0,diagnostic all-candidate retrospective table
0.22,759,1.108029197080292,250,0,0.7206851119894598,0.294478527607362,2.447326526130874,0.9032717391304349,133.1771182204563,2.126862698222966,2.192502473950754,3,3,1.0437956204379562,1.1605839416058394,2.356074547462107,0.7374005305039788,pub_logit_expand,0.22,250,0,diagnostic all-candidate retrospective table
0.2,740,1.0802919708029197,0,0,0.6959459459459459,0.294478527607362,2.3633164414414414,0.8860466485507249,112.4938028982355,2.0073614877954284,2.0755449482895787,3,3,0.9197080291970803,1.2335766423357664,2.277815751499962,0.8571428571428571,pub_logit_current_gate,0.2,0,0,diagnostic all-candidate retrospective table
0.2,674,0.9839416058394161,0,0,0.6928783382789317,0.294478527607362,2.3528993570722054,0.8938029891304349,134.19049712276,2.101442008784421,2.1393227977223592,3,3,0.9562043795620438,1.0,2.202082746974388,0.6935724962630793,pub_logit_known_summary,0.2,0,0,diagnostic all-candidate retrospective table
0.22,770,1.1240875912408759,120,0,0.6922077922077922,0.294478527607362,2.350622294372294,0.8902975543478262,118.223440184673,2.1122868259336025,2.1430334951855814,3,3,1.094890510948905,1.145985401459854,2.226000803320391,0.738562091503268,pub_hist_7y,0.22,120,0,diagnostic all-candidate retrospective table
0.22,766,1.1182481751824818,120,0,0.6919060052219321,0.294478527607362,2.3495974760661444,0.8928020833333334,118.11906429201501,2.1348190073667954,2.1382362955396665,3,3,1.0583941605839415,1.167883211678832,2.248275862068965,0.7293035479632063,pub_xgb_7y,0.22,120,0,diagnostic all-candidate retrospective table
0.22,780,1.1386861313868613,120,0,0.6897435897435897,0.294478527607362,2.3422542735042735,0.8923596014492753,127.445253924399,2.160381861575179,2.164831274339911,3,3,1.094890510948905,1.167883211678832,2.1837320574162677,0.7212903225806452,known_margin,0.22,120,0,diagnostic all-candidate retrospective table
0.35,624,0.910948905109489,250,3,0.6121794871794872,0.294478527607362,2.0788595085470085,0.8592359601449275,90.69582440248001,1.737316990125979,1.8614065122241246,3,3,0.8394160583941606,0.9927007299270073,1.953151653838153,0.8206785137318255,known_next_trend,0.35,250,3,diagnostic all-candidate retrospective table
0.3,1109,1.618978102189781,120,0,0.6050495942290351,0.294478527607362,2.054647580402765,0.8637807971014494,84.63580559149946,1.7907732415565174,1.9635500267522739,3,3,1.5401459854014599,1.6569343065693432,1.9813785076942971,0.9338768115942029,known_next_blend,0.3,120,0,diagnostic all-candidate retrospective table
0.3,1114,1.626277372262774,120,0,0.6050269299820467,0.294478527607362,2.0545706163973665,0.8647726449275364,85.48917212956898,1.798867518367729,1.9635500267522739,3,3,1.5401459854014599,1.6569343065693432,1.9776144907723856,0.933273219116321,known_next_range,0.3,120,0,diagnostic all-candidate retrospective table
0.18,938,1.3693430656934307,250,3,0.5767590618336887,0.294478527607362,1.9585776474769012,0.8439130434782609,77.84396546317521,1.8188598997016443,1.8576839265331535,3,3,1.3357664233576643,1.416058394160584,1.8010161298278498,0.8788853161843515,known_next_gate,0.18,250,3,diagnostic all-candidate retrospective table
