candidate,rate,rolling,cooldown,general_lift,shock_lift,final_lift,general_frequency,shock_frequency,final_frequency,general_corridor_lift_min,shock_corridor_lift_min,final_corridor_lift_min,general_benefit,shock_benefit,final_benefit,status,lift_min_era,frequency_in_band_all_eras
pub_consensus_models,0.22,250,0,2.694660673682641,2.4669163545568042,2.496936274509804,1.0285320468642316,1.041225626740947,1.0423357664233577,2.5988473828362753,2.372048356117953,2.384278879015721,92.52935854158905,276.0929363568074,137.49692640812023,"diagnostic grid, not an unbiased selected estimate",2.4669163545568042,True
pub_blend_logit_extra,0.22,0,0,2.611206769683591,2.4525284477834894,2.539935286103542,1.0854583046175053,1.0958217270194988,1.0715328467153284,2.4442876344086026,2.352015732546706,2.370909090909091,95.96796055725207,256.81349733104895,143.7554047370503,"diagnostic grid, not an unbiased selected estimate",2.4525284477834894,True
pub_consensus_models,0.22,500,0,2.6662228766747034,2.43171577903938,2.5056634304207117,1.0468642315644383,1.0685236768802229,1.0525547445255474,2.5818659366676533,2.3664670658682634,2.3868212324588165,92.7818906511391,271.9488295552383,139.8723215684753,"diagnostic grid, not an unbiased selected estimate",2.43171577903938,True
pub_consensus_with_margin,0.22,0,0,2.6025073086331365,2.426824429975029,2.5068963527239148,1.0709855272226052,1.0314763231197772,1.0540145985401461,2.4706531173152038,2.3607784431137726,2.394635757126491,96.2214180227181,277.5879071419587,142.42275970602188,"diagnostic grid, not an unbiased selected estimate",2.426824429975029,True
pub_blend_logit_extra,0.22,500,0,2.621814905974431,2.4233147601879166,2.5196356951871657,1.0825637491385252,1.1016713091922006,1.091970802919708,2.523900606561897,2.3612774451097804,2.390356055427826,93.45938939691383,253.5132897063724,141.60353179079357,"diagnostic grid, not an unbiased selected estimate",2.4233147601879166,True
pub_blend_logit_extra,0.22,250,0,2.650158850903884,2.40653987320654,2.552634554500226,1.0709855272226052,1.0821727019498608,1.075912408759124,2.520780277306169,2.2635771934392084,2.375867422922146,92.68184248605127,255.45699628206083,141.95204176462505,"diagnostic grid, not an unbiased selected estimate",2.40653987320654,True
pub_extra_7y,0.22,500,0,2.620650375962628,2.405684754521964,2.4444348127600555,1.0545830461750516,1.0899721448467967,1.0525547445255474,2.479580939755487,2.3407445977609993,2.374939290917921,93.1751452824467,273.254506717002,138.35146956740147,"diagnostic grid, not an unbiased selected estimate",2.405684754521964,True
pub_consensus_models,0.22,120,0,2.701043449413399,2.40045569737974,2.4493817204301074,1.030461750516885,1.0353760445682452,1.1313868613138687,2.6480770333008543,2.2660550458715596,2.330084470435348,91.6910850824888,259.8756643626102,131.5491488942686,"diagnostic grid, not an unbiased selected estimate",2.40045569737974,True
pub_extra_7y,0.22,250,0,2.631817920178378,2.3947746195808213,2.458731785063752,1.0545830461750516,1.0899721448467967,1.0686131386861315,2.5375150738619237,2.3205657650216804,2.370909090909091,92.94021077849293,278.4679311390536,138.33261840551717,"diagnostic grid, not an unbiased selected estimate",2.3947746195808213,True
pub_consensus_with_margin,0.22,500,0,2.646526976122486,2.394744591686488,2.4976102114260006,1.0516884906960717,1.0626740947075208,1.0817518248175182,2.564753320683112,2.315625,2.375867422922146,94.86841488398653,270.58574738557,140.18671968891044,"diagnostic grid, not an unbiased selected estimate",2.394744591686488,True
pub_blend_logit_margin,0.22,0,0,2.59238899236571,2.3896071829405163,2.4592108242753623,1.1115093039283253,1.0724233983286908,1.0744525547445254,2.4213456606829538,2.3008849557522124,2.3167745567126374,93.42588315592656,244.00656682560395,138.42343266146224,"diagnostic grid, not an unbiased selected estimate",2.3896071829405163,True
pub_extra_7y,0.22,0,0,2.593441037292753,2.387417073063574,2.477523474178404,1.0883528600964851,1.0958217270194988,1.0364963503649636,2.495013680875576,2.32420872540633,2.376851218956482,96.0177022995835,275.6725640997189,141.63302797253118,"diagnostic grid, not an unbiased selected estimate",2.387417073063574,True
pub_consensus_with_margin,0.22,120,0,2.6515598727699845,2.3862269952728443,2.4475628930817606,1.0526533425223983,1.049025069637883,1.1605839416058394,2.562584396099025,2.260422551124167,2.3251805402835153,90.53287479683469,273.3772349402729,133.45069762720695,"diagnostic grid, not an unbiased selected estimate",2.3862269952728443,True
pub_consensus_models,0.25,0,0,2.569710700592541,2.3818561513420553,2.481244804655029,1.191592005513439,1.1757660167130919,1.1708029197080292,2.4187992125984255,2.305907869300768,2.364550635418889,88.9737375287136,251.56967961264303,134.92679293767256,"diagnostic grid, not an unbiased selected estimate",2.3818561513420553,True
