rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,selected_rate,selected_rolling,selected_cooldown,selection_status
0.22,605,0.8832116788321168,0,0,0.6297520661157024,0.5217791411042945,1.2069322372352675,0.5524577287103123,33.6204869682658,1.02309973466521,1.1902466591317067,3,3,0.7883211678832117,0.9927007299270073,1.110832137733142,0.795,close_hist_7y,0.22,0,0,diagnostic all-candidate retrospective table
0.22,1032,1.5065693430656935,120,0,0.6191860465116279,0.5217791411042945,1.1866822525737255,0.5566050080339867,30.331750670314705,1.1420303706063504,1.1659373151981076,3,3,1.3941605839416058,1.6642335766423357,0.9887526854543157,0.928919182083739,eb_decay4_p40,0.22,120,0,diagnostic all-candidate retrospective table
0.22,833,1.2160583941605838,120,0,0.617046818727491,0.5217791411042945,1.1825823803948388,0.6010066900238662,41.648905695953665,1.0322393360882482,1.2324620411301173,3,3,1.1824817518248176,1.2554744525547445,1.0468321547120798,0.8792270531400966,close_logit_expand,0.22,120,0,diagnostic all-candidate retrospective table
0.2,999,1.4583941605839417,120,0,0.6166166166166166,0.5217791411042945,1.1817578895768197,0.5389513545026338,32.128096954087894,1.119130357301969,1.1237200727472034,3,3,1.3795620437956204,1.562043795620438,1.1012252376044889,0.9587525150905433,close_upper_range,0.2,120,0,diagnostic all-candidate retrospective table
0.25,1052,1.5357664233576642,120,0,0.6140684410646388,0.5217791411042945,1.1768742609469267,0.5593717463862143,26.971654355755916,1.10237030411449,1.1696037847427556,3,3,1.3576642335766422,1.7883211678832116,1.1265826555843537,0.9245463228271251,eb_expand_p30,0.25,120,0,diagnostic all-candidate retrospective table
0.25,790,1.1532846715328466,250,0,0.6139240506329114,0.5217791411042945,1.1765975338408532,0.5711342495962266,30.60977845183402,1.0257475083056478,1.091854901524424,3,3,0.9562043795620438,1.3357664233576643,1.0319205651072905,0.9261146496815287,eb_decay4_anchor25,0.25,250,0,diagnostic all-candidate retrospective table
0.25,737,1.075912408759124,250,0,0.6105834464043419,0.5217791411042945,1.1701952000459463,0.5580341941257059,31.453188151244238,1.0379272670516622,1.1096671226630186,3,3,0.9927007299270073,1.1605839416058394,1.1251725724804418,0.9016393442622951,eb_expand_p70_lcb,0.25,250,0,diagnostic all-candidate retrospective table
0.18,871,1.2715328467153284,120,0,0.6096440872560276,0.5217791411042945,1.1683948997381834,0.5610237950056922,31.738353525748494,1.1293012640449438,1.1461049118781939,3,3,1.2335766423357664,1.313868613138686,1.0938807908789148,0.9145496535796767,markov_expand_anchor50,0.18,120,0,diagnostic all-candidate retrospective table
0.2,734,1.0715328467153284,120,0,0.6062670299727521,0.5217791411042945,1.161922702946015,0.5687278245185736,17.977838602304008,1.0573703737218352,1.1204525811267383,3,3,1.0,1.1240875912408759,1.093959731543624,0.8491083676268861,close_extra_7y,0.2,120,0,diagnostic all-candidate retrospective table
0.2,550,0.8029197080291971,500,0,0.6036363636363636,0.5217791411042945,1.1568809791032013,0.5675825901754203,35.6494516449949,1.004228329809725,1.0688232955674817,3,3,0.7445255474452555,0.8759124087591241,1.0435975609756099,0.926605504587156,eb_decay4_anchor50,0.2,500,0,diagnostic all-candidate retrospective table
