rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,selected_rate,selected_rolling,selected_cooldown,selection_rank,selection_status
0.22,732,1.0686131386861315,250,0,0.7240437158469946,0.294478527607362,2.458731785063752,0.8975738224637682,138.33261840551717,2.2682451953272205,2.2882658469366124,3,3,1.0364963503649636,1.102189781021898,2.370909090909091,0.7331499312242091,pub_extra_7y,0.22,250,0,1,selected on 2017-2023; 2024-2026 retrospective
0.22,775,1.1313868613138687,120,0,0.7212903225806452,0.294478527607362,2.4493817204301074,0.8913045742753622,131.5491488942686,2.243748732587705,2.2688249277444292,3,3,1.094890510948905,1.1824817518248176,2.330084470435348,0.7324675324675325,pub_consensus_models,0.22,120,0,2,selected on 2017-2023; 2024-2026 retrospective
0.22,795,1.1605839416058394,120,0,0.720754716981132,0.294478527607362,2.4475628930817606,0.8934572010869565,133.45069762720695,2.238772635123527,2.2764824674132553,3,3,1.1167883211678833,1.2043795620437956,2.3251805402835153,0.7417721518987341,pub_consensus_with_margin,0.22,120,0,3,selected on 2017-2023; 2024-2026 retrospective
0.22,737,1.075912408759124,250,0,0.751696065128901,0.294478527607362,2.552634554500226,0.8931152626811594,141.95204176462505,2.257557517388978,2.2954531546416987,3,3,1.0656934306569343,1.102189781021898,2.375867422922146,0.7172131147540983,pub_blend_logit_extra,0.22,250,0,4,selected on 2017-2023; 2024-2026 retrospective
