rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate,selected_rate,selected_rolling,selected_cooldown,robustness
0.4,1047,2.0415041782729806,120,0,0.3543457497612225,0.32793522267206476,1.0805358048274316,0.5252766622043731,37.141631908737956,1.0352655080258286,1.0906068992803837,2,2,1.988857938718663,2.203342618384401,1.0237324703344122,0.9318618042226487,eb_expand_p30,0.4,120,0,1.0237324703344122
0.25,905,1.7646239554317549,250,0,0.3602209944751381,0.32793522267206476,1.0984516745106063,0.5212814219842332,43.21042568954347,1.0551837334272673,1.0708500045885736,2,2,1.4721448467966574,2.086350974930362,1.013980868285504,0.9377777777777778,eb_expand_p70_lcb,0.25,250,0,1.013980868285504
0.22,759,1.4799442896935935,120,0,0.35177865612648224,0.32793522267206476,1.0727077538671743,0.5613624869849769,48.592583543355495,1.050170068027211,1.1098512194115886,2,2,1.394150417827298,1.5988857938718664,1.0040650406504066,0.9283819628647215,eb_expand_anchor50,0.22,120,0,1.0040650406504066
0.2,571,1.1133704735376044,250,0,0.38528896672504376,0.32793522267206476,1.1748935158158742,0.56999293470177,45.67012480052088,0.9731305649672997,1.1222719205992815,1,2,0.9846796657381616,1.1991643454038998,1.001100110011001,0.8144876325088339,markov_decay4_anchor25,0.2,250,0,0.9731305649672997
0.2,717,1.398050139275766,250,0,0.3542538354253835,0.32793522267206476,1.0802555228403672,0.5346452476572958,50.840828025949946,1.0318744222427647,1.0598013992059125,2,2,1.3551532033426184,1.4916434540389973,0.9611329804081264,0.9199438202247191,eb_decay4_anchor25,0.2,250,0,0.9611329804081264
0.18,654,1.2752089136490252,250,0,0.37155963302752293,0.32793522267206476,1.1330275229357798,0.5715101145322028,61.15473533148434,1.0994960897495578,1.1162733562980494,2,2,1.1796657381615598,1.4428969359331476,0.9551971326164874,0.9121725731895224,markov_expand_anchor50,0.18,250,0,0.9551971326164874
0.18,699,1.3629526462395545,120,0,0.35050071530758226,0.32793522267206476,1.0688108232218867,0.5623784024988845,48.551726970591076,1.0548923824112835,1.1007379957608294,2,2,1.286908077994429,1.4331476323119778,0.9342481417953116,0.920749279538905,eb_decay4_anchor50,0.18,120,0,0.9342481417953116
0.25,437,0.8520891364902508,250,3,0.33867276887871856,0.32793522267206476,1.0327428878153517,0.5370582329317269,8.809136217277633,0.9364745257488004,1.024332041637233,1,2,0.7799442896935933,0.9261838440111421,0.8879084967320263,0.6504629629629629,markov_decay2_lcb,0.25,250,3,0.8879084967320263
0.18,653,1.2732590529247911,500,0,0.32006125574272587,0.32793522267206476,0.9759892613389295,0.5101606425702812,36.89821497920025,0.9503814239828693,0.9833811181410246,1,2,1.043175487465181,1.5696378830083566,0.8570149420784597,0.8827160493827161,eb_decay4_p40,0.18,500,0,0.8570149420784597
0.22,576,1.1231197771587744,120,0,0.3350694444444444,0.32793522267206476,1.0217549725651578,0.5351082106202588,4.987801016627272,0.9156121948042839,1.0099117362315495,1,2,1.052924791086351,1.16991643454039,0.8292181069958848,0.7443082311733801,markov_decay4_p40,0.22,120,0,0.8292181069958848
0.22,568,1.1075208913649024,500,0,0.3204225352112676,0.32793522267206476,0.9770909407059643,0.5210400862710101,-4.083964331686727,0.9195733791975167,0.965896857213024,1,2,0.9554317548746518,1.267409470752089,0.7951070336391438,0.7531083481349912,markov_expand_p40,0.22,500,0,0.7951070336391438
0.4,849,1.655431754874652,0,0,0.3050647820965842,0.32793522267206476,0.9302592738006952,0.4544392384352224,24.470511983123586,0.9517222211694555,0.9594688393905357,0,2,1.1894150417827298,2.018105849582173,0.7758908412682831,0.8957345971563981,eb_decay2_p50_lcb,0.4,0,0,0.7758908412682831
