date,cny_wait_bps,fast_any,slow_any
2025-01-10,35.89480624130115,False,False
2025-01-14,-17.2215843857626,True,True
2025-01-15,-7.534713501488044,False,False
2025-01-16,-11.847915843895551,False,False
2025-01-17,-46.26474913029366,False,False
2025-01-21,-27.827615246603933,False,False
2025-01-22,19.596243437107752,False,False
2025-01-23,4.79687096417214,False,True
2025-01-24,23.76531748978783,False,False
2025-01-28,-47.72024009245812,True,True
2025-01-29,-17.515092792725895,False,False
2025-01-30,-67.19975973270343,False,False
2025-01-31,89.35640764619501,False,False
2025-02-04,7.167106752168362,False,False
2025-02-05,-23.692154839696222,False,False
2025-02-06,169.6216133241224,False,False
2025-02-07,63.01411214248098,True,True
2025-02-11,-29.666730880368863,False,False
2025-02-12,-66.77079265911767,False,False
2025-02-13,-5.2652895909277575,False,False
2025-02-14,-2.805611222443938,True,False
2025-02-18,35.438144329897895,False,False
2025-02-19,4.858693011580151,False,False
2025-02-20,-50.765611457344036,False,False
2025-02-21,-51.50815889236826,False,False
2025-02-25,-36.51339532119158,False,False
2025-02-26,99.1735537190097,False,True
2025-02-27,135.59464338188886,True,True
2025-02-28,27.62544839813641,True,True
2025-03-04,-18.842420022119335,True,False
2025-03-05,-73.19751128461616,True,False
2025-03-06,-19.53999592916866,False,False
2025-03-07,-35.69816585285768,False,False
2025-03-11,46.43435290108133,False,False
2025-03-12,18.367006177992806,True,True
2025-03-13,34.621068186615474,False,False
2025-03-14,-11.029099855774938,False,False
2025-03-18,28.42296931207633,False,False
2025-03-19,-20.73344563949697,True,True
2025-03-20,-33.229760055240035,True,True
2025-03-21,-61.453239278140835,False,False
2025-03-25,-73.47221021695938,False,True
2025-03-26,17.414018284720445,False,False
2025-03-27,-71.0054016379158,False,False
2025-03-28,194.85885781392653,False,True
2025-04-01,-89.29341730652962,False,False
2025-04-02,10.431607771546059,False,False
2025-04-03,83.30425680390663,False,False
2025-04-04,35.87750395079637,True,False
2025-04-08,8.169934640522847,False,False
2025-04-09,-27.107267329288256,False,False
2025-04-10,-15.624999999999112,False,False
2025-04-11,-19.778481012657778,False,False
2025-04-15,66.69053800018033,False,False
2025-04-16,-28.227407048029285,True,False
2025-04-17,-2.6821636119800374,False,False
2025-04-18,-123.25353742102085,False,False
2025-04-22,34.571005252996834,False,True
2025-04-23,49.36965529401371,True,True
2025-04-24,-29.396279396279866,False,False
2025-04-25,-8.370412793515802,False,False
2025-04-29,17.889087656528524,False,False
2025-04-30,-4.483098717834588,False,False
2025-05-06,-11.119017968334033,False,False
2025-05-07,-8.474954279852343,False,True
2025-05-13,-4.4877260692011145,False,False
2025-05-14,-46.21943010994056,False,False
2025-05-15,-8.099716509922805,False,False
2025-05-16,6.712310377230413,True,True
2025-05-20,-10.289906943450333,False,False
2025-05-21,-37.48362913787773,False,False
2025-05-22,22.675736961450532,False,True
2025-05-23,-36.09945399575931,True,False
2025-05-27,-9.001305189252351,False,False
2025-05-28,-15.39994564724978,False,False
2025-05-29,-21.11447718718629,False,False
2025-05-30,14.23128127438833,False,True
2025-06-03,-6.867188572998728,False,False
2025-06-04,97.59450171821449,False,False
2025-06-05,-14.061507756508718,True,True
2025-06-06,14.569958566681418,False,False
2025-06-10,-48.12760691204176,False,False
2025-06-11,-7.732896652111743,True,True
2025-06-17,-35.737194172088536,False,False
2025-06-18,-2.7591281155159297,False,False
2025-06-19,2.7644673792859287,False,False
2025-06-20,-40.80509834487156,True,False
2025-06-24,-37.40364001277086,True,True
2025-06-25,-9.169264624976359,False,True
2025-06-26,2.7424810311726944,True,False
2025-06-27,3.6596523330278963,False,True
2025-07-01,-0.4569757345873615,False,True
2025-07-02,6.395030147998693,False,True
2025-07-03,-2.277385561375578,True,True
2025-07-04,-18.66945949637877,False,False
2025-07-08,8.304115150397084,False,False
2025-07-09,-11.531365313652842,False,False
2025-07-10,3.6965160336377423,False,False
2025-07-11,72.29359487958664,True,False
2025-07-15,-11.992619926198822,False,True
2025-07-16,-9.216589861751334,False,False
2025-07-17,-1.8417054192187976,True,False
2025-07-18,17.404048731337607,False,True
2025-07-22,7.320309283067594,False,True
2025-07-23,-14.147499087258097,True,True
2025-07-24,-14.457395861570133,True,True
2025-07-25,9.039548022597987,False,True
2025-07-29,9.639398852034908,True,True
2025-07-30,-87.59899128434334,False,False
2025-07-31,-42.26238647603742,False,False
2025-08-01,-13.087823810813415,False,False
2025-08-05,-18.42945116195427,True,True
2025-08-06,-10.346844212515416,False,True
2025-08-07,-7.267441860464574,False,False
2025-08-08,-27.50225428313824,True,True
2025-08-12,-5.429127267791989,False,True
2025-08-13,-0.9038730962163122,False,False
2025-08-14,-17.592133158915722,False,False
2025-08-15,4.053141184419129,False,True
2025-08-19,-15.673279297837572,False,False
2025-08-20,-1.7948487839902771,False,False
2025-08-21,4.482294935006514,False,True
2025-08-22,5.348070237989333,True,True
2025-08-26,31.290510035313357,False,True
2025-08-27,33.4597367834033,False,True
2025-08-28,-6.235524674863546,True,False
2025-08-29,-14.63349740587927,False,True
2025-09-02,10.220405261287535,False,True
2025-09-03,1.7702248185536007,True,True
2025-09-04,-2.2020611292161707,True,False
2025-09-05,15.371102327623731,False,False
2025-09-09,-20.82536444387717,True,True
2025-09-10,29.06854278131199,True,False
2025-09-11,32.745591939546955,False,False
2025-09-12,-15.719930322470876,False,False
2025-09-16,20.22375215146255,False,True
2025-09-17,-0.8561643835613975,True,True
2025-09-18,25.303426684393227,False,True
2025-09-19,8.549931600547733,False,True
2025-09-23,0.8535700567624538,False,False
2025-09-24,7.267441860465684,False,True
2025-09-25,0.4268396790152451,False,False
2025-09-26,-50.0770416024654,False,False
2025-09-30,-51.56649477835229,False,False
2025-10-01,-18.444512757455065,False,False
2025-10-02,-24.65114231632537,False,False
2025-10-03,-22.649070081449672,True,True
2025-10-07,38.258575197891446,False,False
2025-10-08,-63.436123348017404,False,False
2025-10-09,-28.15786000263998,False,False
2025-10-10,3.080579148879714,False,False
2025-10-14,-2.251238181000259,False,False
2025-10-15,-0.9097525473078516,False,False
2025-10-16,13.404825737266535,True,True
2025-10-17,-73.46831678838429,True,True
2025-10-21,35.2516083546317,False,False
2025-10-22,-42.8490227799394,True,True
2025-10-23,1.75677456190515,False,False
2025-10-24,-62.35802414146341,False,False
2025-10-28,-23.29227323628169,True,True
2025-10-29,27.735528317081037,False,False
2025-10-30,-31.900753212228405,True,True
2025-10-31,-77.9701334742966,False,False
2025-11-01,-14.15177781708854,False,False
2025-11-06,-36.504376127016734,False,False
2025-11-07,-37.007665873645124,False,False
2025-11-11,-58.73586394319341,True,True
2025-11-12,7.047837194960049,False,False
2025-11-13,20.324305218044625,False,False
2025-11-14,-15.792244253376442,True,True
2025-11-18,17.60176017601811,False,False
2025-11-19,-42.35418688784964,False,False
2025-11-20,-50.157574681521936,False,False
2025-11-21,33.887583589371495,False,False
2025-11-25,-47.56349277573402,True,False
2025-11-26,5.417118093173912,False,False
2025-11-27,1.3599274705344833,False,False
2025-11-28,-85.28010886822534,False,False
2025-12-02,66.3767452506292,False,False
2025-12-03,-59.77640885238444,True,True
2025-12-04,-104.03719559913371,False,False
2025-12-05,-33.704233805808,False,False
2025-12-09,59.21505623135204,False,False
2025-12-10,117.2141202126209,True,True
2025-12-11,34.73304537560562,True,False
2025-12-12,-51.86170212765795,True,False
2025-12-16,-11.981362325271805,True,True
2025-12-17,-2.197802197801968,True,True
2025-12-18,51.694428489375,False,False
2025-12-19,-78.63983832703703,True,True
2025-12-23,-35.02469690166099,False,False
2025-12-24,-59.80007140306998,False,True
2025-12-25,-28.469429255728596,False,False
2025-12-26,3.171007927520453,False,False
2025-12-30,-26.29467867011237,True,True
2026-01-13,-8.426841708432109,False,False
2026-01-14,-5.789872177436317,False,False
2026-01-15,-59.12950695772024,False,False
2026-01-16,-1.793400286943525,False,False
2026-01-20,-3.5855145213348205,False,False
2026-01-21,-83.39719605102935,False,False
2026-01-22,-15.186378278877477,False,False
2026-01-23,3.682902126875831,False,False
