candidate,target,h,n_scope,n_signals,hit_rate,random_day_rate,pooled_lift,adjusted_lift,corridor_lift_min,corridor_lift_max,signals_per_currency_week,symmetric_bps,future_only_bps
15:30 availability_route,now_favourable,1,1600,397,0.9143576826196473,0.495625,1.844857871615934,1.832997212632338,1.6443475552787297,2.0634651281181062,0.9372681281618889,27.916172536407107,86.22246028962368
after-receipt AP37,now_favourable,1,1600,332,1.0,0.495625,2.01765447667087,2.016930502195133,1.8934911242603552,2.2535211267605635,0.7838111298482294,35.132227700631525,93.28500828618228
15:30 availability_route,window_closing,1,1600,397,0.9143576826196473,0.494375,1.8495224932887935,1.8386421088395086,1.6443475552787297,2.0634651281181062,0.9372681281618889,27.916172536407107,86.22246028962368
after-receipt AP37,window_closing,1,1600,332,1.0,0.494375,2.02275600505689,2.0222377431901752,1.8934911242603552,2.2535211267605635,0.7838111298482294,35.132227700631525,93.28500828618228
15:30 availability_route,now_favourable,3,1600,397,0.7027707808564232,0.328125,2.1417776178481467,2.1093095747650503,1.875598086124402,2.3538363982244768,0.9372681281618889,50.615579327918645,105.03989738827362
after-receipt AP37,now_favourable,3,1600,332,0.8313253012048193,0.328125,2.5335628227194493,2.5374631780241166,2.3529411764705883,2.7983805668016197,0.7838111298482294,64.3088506555834,118.24315753780142
15:30 availability_route,window_closing,3,1600,397,0.7707808564231738,0.495,1.557133043279139,1.5370657731232187,1.4213878645658733,1.6851512008298093,0.9372681281618889,50.615579327918645,105.03989738827362
after-receipt AP37,window_closing,3,1600,332,0.8433734939759037,0.495,1.7037848363149568,1.7067342858536112,1.6326530612244896,1.793173713703515,0.7838111298482294,64.3088506555834,118.24315753780142
15:30 availability_route,now_favourable,5,1595,397,0.5994962216624685,0.27586206896551724,2.1731738035264483,2.133869058742914,1.9587719298245618,2.3476596997350603,0.9388513513513514,56.548799341258224,106.90160244446636
after-receipt AP37,now_favourable,5,1595,332,0.7379518072289156,0.27586206896551724,2.675075301204819,2.676672541933,2.4800777453838676,2.8576436222005843,0.7851351351351352,76.51060312269608,128.34184287610418
15:30 availability_route,window_closing,5,1595,397,0.7178841309823678,0.4915360501567398,1.4604913123939753,1.4483926190048328,1.4021978021978023,1.5109092320832362,0.9388513513513514,56.548799341258224,106.90160244446636
after-receipt AP37,window_closing,5,1595,332,0.8313253012048193,0.4915360501567398,1.6912804278337843,1.6928933121673473,1.6203174603174604,1.7631267272009474,0.7851351351351352,76.51060312269608,128.34184287610418
15:30 availability_route,now_favourable,10,1575,392,0.45408163265306123,0.21396825396825397,2.1221916066129713,2.052919910395458,1.937799043062201,2.3267045454545454,0.9381196581196583,63.634909270440865,103.20490603595128
after-receipt AP37,now_favourable,10,1575,327,0.5535168195718655,0.21396825396825397,2.586910952005009,2.595793189674193,2.4529526281635303,2.778154681139756,0.7825641025641027,82.45591098575659,132.14977378503062
15:30 availability_route,window_closing,10,1575,392,0.6505102040816326,0.47174603174603175,1.3789415497019804,1.3554493972373094,1.2450592885375495,1.4741721854304635,0.9381196581196583,63.634909270440865,103.20490603595128
after-receipt AP37,window_closing,10,1575,327,0.7064220183486238,0.47174603174603175,1.497462555718819,1.5004122011541634,1.4348710990502036,1.5287642045454546,0.7825641025641027,82.45591098575659,132.14977378503062
15:30 availability_route,now_favourable,20,1535,382,0.337696335078534,0.15830618892508144,2.1331846680886817,2.0298275191285176,1.9004761904761907,2.344789961811238,0.9366024518388792,86.37726840222174,91.82609357566724
after-receipt AP37,now_favourable,20,1535,320,0.409375,0.15830618892508144,2.585969650205761,2.596413532742849,2.3366510538641685,2.813747954173486,0.7845884413309983,92.28427180887839,130.98140862358775
15:30 availability_route,window_closing,20,1535,382,0.56282722513089,0.4364820846905538,1.2894623739939046,1.2589344099891122,1.2099790356394131,1.357263157894737,0.9366024518388792,86.37726840222174,91.82609357566724
after-receipt AP37,window_closing,20,1535,320,0.615625,0.4364820846905538,1.4104244402985073,1.4132040679444742,1.3442603550295857,1.5256969696969696,0.7845884413309983,92.28427180887839,130.98140862358775
