target,h,metric,slow_minus_fast_mean,ci_lo,ci_hi,draws,block
now_favourable,1,lift,0.17698318318564277,0.08133394489377908,0.29780704423033705,1000,20 calendar decision dates; all currencies together
now_favourable,1,symmetric,7.2837485262847075,2.545545274777717,12.63427512312825,1000,20 calendar decision dates; all currencies together
now_favourable,1,future,7.322098020247471,-6.3792382268769465,22.162370248359395,1000,20 calendar decision dates; all currencies together
window_closing,1,lift,0.17741946974553738,0.07529374719039178,0.2910238340063917,1000,20 calendar decision dates; all currencies together
window_closing,1,symmetric,7.328873932675188,2.5528659414802437,12.823302816162197,1000,20 calendar decision dates; all currencies together
window_closing,1,future,7.749361639453173,-5.637401758112239,20.95729343348379,1000,20 calendar decision dates; all currencies together
now_favourable,3,lift,0.41082710775332204,0.17486076359285263,0.7506690282278753,1000,20 calendar decision dates; all currencies together
now_favourable,3,symmetric,13.498090932879771,4.554018003817986,23.678172615426888,1000,20 calendar decision dates; all currencies together
now_favourable,3,future,13.410871304014007,-0.6379479168851422,29.36139484299205,1000,20 calendar decision dates; all currencies together
window_closing,3,lift,0.1569671292527217,0.0444792296143661,0.28393684795023233,1000,20 calendar decision dates; all currencies together
window_closing,3,symmetric,13.690809571707948,3.9057572137177132,23.8037504171568,1000,20 calendar decision dates; all currencies together
window_closing,3,future,13.262067537400714,-0.3471054328629665,27.06331162175575,1000,20 calendar decision dates; all currencies together
now_favourable,5,lift,0.5252322282294688,0.19284400317542505,0.9337275953452525,1000,20 calendar decision dates; all currencies together
now_favourable,5,symmetric,20.192837413034386,6.492246546956071,34.52124439564636,1000,20 calendar decision dates; all currencies together
now_favourable,5,future,21.7871876556498,3.3527239801640163,42.92191414118699,1000,20 calendar decision dates; all currencies together
window_closing,5,lift,0.23571621936175813,0.09171055552504315,0.41406213630374294,1000,20 calendar decision dates; all currencies together
window_closing,5,symmetric,20.339144368190755,7.461784866503124,34.59903323869673,1000,20 calendar decision dates; all currencies together
window_closing,5,future,21.887106293122336,3.1836278744507394,43.93906272945949,1000,20 calendar decision dates; all currencies together
now_favourable,10,lift,0.5210404945559871,0.133857188960989,0.9857231709818036,1000,20 calendar decision dates; all currencies together
now_favourable,10,symmetric,18.733150172142878,-2.3271495990267255,40.3877166723793,1000,20 calendar decision dates; all currencies together
now_favourable,10,future,29.19227899913922,2.2076049524138597,56.81203068977798,1000,20 calendar decision dates; all currencies together
window_closing,10,lift,0.13448355325780334,-0.025900673387568303,0.3036186019993378,1000,20 calendar decision dates; all currencies together
window_closing,10,symmetric,18.878379793899594,-1.6764933373946136,42.04411337410849,1000,20 calendar decision dates; all currencies together
window_closing,10,future,28.69412410743355,3.510537574634634,58.3251781209633,1000,20 calendar decision dates; all currencies together
now_favourable,20,lift,0.5193307348621075,0.07711831740146437,1.0023177817070428,1000,20 calendar decision dates; all currencies together
now_favourable,20,symmetric,5.9578848779372695,-23.39899412216419,37.79108105370883,1000,20 calendar decision dates; all currencies together
now_favourable,20,future,38.14669638225497,3.3975235199916147,76.34356686823979,1000,20 calendar decision dates; all currencies together
window_closing,20,lift,0.14076302982456915,-0.015917851568979378,0.3391581887304728,1000,20 calendar decision dates; all currencies together
window_closing,20,symmetric,6.872361035397553,-24.306652565147584,41.057660840742166,1000,20 calendar decision dates; all currencies together
window_closing,20,future,38.8640549664461,4.2024070461650656,74.52488320629058,1000,20 calendar decision dates; all currencies together
