period,target,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
early,future_only_hit,1,1135,263,2023-01-09,2023-12-01,1.0,0.5700440528634361,1.7542503863987637,1.753590835658687,1.125993883792049,1.0703363914373087,1.1559633027522935,21.747590759782913,79.03616892283809
early,future_only_hit,3,1135,263,2023-01-09,2023-12-01,0.8631178707224335,0.44757709251101324,1.9284228017125236,1.9262457478225115,1.125993883792049,1.0703363914373087,1.1559633027522935,42.264123920497646,109.89690404474676
early,future_only_hit,5,1135,263,2023-01-09,2023-12-01,0.7718631178707225,0.38502202643171807,2.0047245738747597,2.0031733611545817,1.125993883792049,1.0703363914373087,1.1559633027522935,56.57858210066582,137.30488363717942
early,future_only_hit,10,1135,263,2023-01-09,2023-12-01,0.6730038022813688,0.3136563876651982,2.1456722348015553,2.143337245278993,1.125993883792049,1.0703363914373087,1.1559633027522935,86.9552014228919,189.22602543579688
early,future_only_hit,20,1135,263,2023-01-09,2023-12-01,0.6007604562737643,0.26519823788546254,2.2653259729924335,2.2634103243720816,1.125993883792049,1.0703363914373087,1.1559633027522935,126.64901838387941,250.2181174054928
early,symmetric_local_min,1,1135,263,2023-01-09,2023-12-01,0.4296577946768061,0.2,2.1482889733840302,2.151568528770341,1.125993883792049,1.0703363914373087,1.1559633027522935,21.747590759782913,79.03616892283809
early,symmetric_local_min,3,1135,263,2023-01-09,2023-12-01,0.23574144486692014,0.0933920704845815,2.5242126407920225,2.5258435032304383,1.125993883792049,1.0703363914373087,1.1559633027522935,42.264123920497646,109.89690404474676
early,symmetric_local_min,5,1135,263,2023-01-09,2023-12-01,0.13688212927756654,0.05638766519823789,2.427519011406844,2.4242064669237617,1.125993883792049,1.0703363914373087,1.1559633027522935,56.57858210066582,137.30488363717942
early,symmetric_local_min,10,1135,263,2023-01-09,2023-12-01,0.07984790874524715,0.02907488986784141,2.746284134116834,2.747550432276657,1.125993883792049,1.0703363914373087,1.1559633027522935,86.9552014228919,189.22602543579688
early,symmetric_local_min,20,1135,263,2023-01-09,2023-12-01,0.03802281368821293,0.010572687224669603,3.596324461343473,3.603174603174603,1.125993883792049,1.0703363914373087,1.1559633027522935,126.64901838387941,250.2181174054928
later,future_only_hit,1,3280,695,2024-01-09,2026-08-31,1.0,0.5161585365853658,1.9373892498523333,1.9435228980650257,1.031813361611877,1.016967126193001,1.0540827147401908,31.438854227192166,95.36018083744467
later,future_only_hit,3,3270,695,2024-01-09,2026-08-27,0.8561151079136691,0.354434250764526,2.4154412449333025,2.428673730515981,1.0362087326943556,1.0212992545260917,1.058572949946752,61.96540813077257,124.18698865290492
later,future_only_hit,5,3260,695,2024-01-09,2026-08-25,0.7338129496402878,0.294478527607362,2.491906474820144,2.5091882251629154,1.038420490928495,1.023479188900747,1.0608324439701173,74.55139335041945,133.73372418970007
later,future_only_hit,10,3235,685,2024-01-09,2026-08-18,0.5591240875912409,0.22812982998454404,2.450903012679762,2.479315705615442,1.0311827956989248,1.0161290322580645,1.053763440860215,79.46991513903394,133.10413607007362
later,future_only_hit,20,3185,671,2024-01-09,2026-08-04,0.4113263785394933,0.165149136577708,2.490635961308529,2.5249873834516006,1.0255458515283842,1.0087336244541485,1.046943231441048,88.54723544975964,130.23124876097734
later,symmetric_local_min,1,3280,695,2024-01-09,2026-08-31,0.48776978417266187,0.22439024390243903,2.173756646856428,2.166921917188113,1.031813361611877,1.016967126193001,1.0540827147401908,31.438854227192166,95.36018083744467
later,symmetric_local_min,3,3270,695,2024-01-09,2026-08-27,0.2762589928057554,0.09724770642201835,2.840776435455409,2.843715791767918,1.0362087326943556,1.0212992545260917,1.058572949946752,61.96540813077257,124.18698865290492
later,symmetric_local_min,5,3260,695,2024-01-09,2026-08-25,0.17841726618705037,0.05705521472392638,3.1270983213429258,3.115702566636863,1.038420490928495,1.023479188900747,1.0608324439701173,74.55139335041945,133.73372418970007
later,symmetric_local_min,10,3235,685,2024-01-09,2026-08-18,0.10072992700729927,0.03183925811437403,3.1637020763943022,3.168964917436915,1.0311827956989248,1.0161290322580645,1.053763440860215,79.46991513903394,133.10413607007362
later,symmetric_local_min,20,3185,671,2024-01-09,2026-08-04,0.05663189269746647,0.0163265306122449,3.468703427719821,3.463847121211467,1.0255458515283842,1.0087336244541485,1.046943231441048,88.54723544975964,130.23124876097734
