target,h,slice_kind,slice,n_scope,n_signals,hit_rate,base_rate,pooled_lift
future_only_hit,1,currency,TJS,656,139,1.0,0.5259146341463414,1.901449275362319
future_only_hit,1,currency,UZS,656,137,1.0,0.5213414634146342,1.9181286549707601
future_only_hit,1,currency,KGS,656,139,1.0,0.4954268292682927,2.0184615384615383
future_only_hit,1,currency,AMD,656,142,1.0,0.524390243902439,1.9069767441860463
future_only_hit,1,currency,KZT,656,138,1.0,0.5137195121951219,1.9465875370919883
future_only_hit,1,year,2024,1240,246,1.0,0.5443548387096774,1.8370370370370372
future_only_hit,1,year,2025,1235,277,1.0,0.4647773279352227,2.151567944250871
future_only_hit,1,year,2026,805,172,1.0,0.5515527950310559,1.813063063063063
future_only_hit,3,currency,TJS,654,139,0.8633093525179856,0.37767584097859325,2.2858474354119944
future_only_hit,3,currency,UZS,654,137,0.8832116788321168,0.3562691131498471,2.4790576736317784
future_only_hit,3,currency,KGS,654,139,0.8633093525179856,0.3486238532110092,2.4763347216963267
future_only_hit,3,currency,AMD,654,142,0.8661971830985915,0.35932721712538224,2.41060833083608
future_only_hit,3,currency,KZT,654,138,0.8043478260869565,0.3302752293577982,2.4353864734299515
future_only_hit,3,year,2024,1240,246,0.9024390243902439,0.38870967741935486,2.3216273656512496
future_only_hit,3,year,2025,1235,277,0.7906137184115524,0.28582995951417006,2.7660281649809266
future_only_hit,3,year,2026,795,172,0.8953488372093024,0.4075471698113208,2.1969207579672694
future_only_hit,5,currency,TJS,652,139,0.7482014388489209,0.3205521472392638,2.33410209631338
future_only_hit,5,currency,UZS,652,137,0.7664233576642335,0.294478527607362,2.6026459854014594
future_only_hit,5,currency,KGS,652,139,0.7266187050359713,0.2929447852760736,2.4803947417981846
future_only_hit,5,currency,AMD,652,142,0.7464788732394366,0.29754601226993865,2.5087846667634675
future_only_hit,5,currency,KZT,652,138,0.6811594202898551,0.2668711656441718,2.552390471430951
future_only_hit,5,year,2024,1240,246,0.7845528455284553,0.3346774193548387,2.3442060926633363
future_only_hit,5,year,2025,1235,277,0.6498194945848376,0.2251012145748988,2.8867880424901955
future_only_hit,5,year,2026,785,172,0.7965116279069767,0.3401273885350318,2.3418038498388642
future_only_hit,10,currency,TJS,647,137,0.5912408759124088,0.2550231839258114,2.318380889183809
future_only_hit,10,currency,UZS,647,135,0.5703703703703704,0.22256568778979907,2.5627057613168724
future_only_hit,10,currency,KGS,647,137,0.5401459854014599,0.22565687789799072,2.3936606339366064
future_only_hit,10,currency,AMD,647,140,0.5857142857142857,0.23338485316846985,2.5096499526963103
future_only_hit,10,currency,KZT,647,136,0.5073529411764706,0.20401854714064915,2.486798128342246
future_only_hit,10,year,2024,1240,246,0.6463414634146342,0.2693548387096774,2.3995910617788816
future_only_hit,10,year,2025,1235,277,0.4151624548736462,0.14736842105263157,2.817173800928314
future_only_hit,10,year,2026,760,162,0.6728395061728395,0.29210526315789476,2.3034145256367475
future_only_hit,20,currency,TJS,637,134,0.417910447761194,0.17739403453689168,2.3558314621582355
future_only_hit,20,currency,UZS,637,132,0.42424242424242425,0.16326530612244897,2.5984848484848486
future_only_hit,20,currency,KGS,637,134,0.41044776119402987,0.1664050235478807,2.466558715854689
future_only_hit,20,currency,AMD,637,137,0.43795620437956206,0.1726844583987441,2.536164565361646
future_only_hit,20,currency,KZT,637,134,0.3656716417910448,0.14599686028257458,2.5046541486117797
future_only_hit,20,year,2024,1240,246,0.4715447154471545,0.18870967741935485,2.4987839621985963
future_only_hit,20,year,2025,1235,277,0.27075812274368233,0.09635627530364373,2.809968752844098
future_only_hit,20,year,2026,710,148,0.5743243243243243,0.24366197183098592,2.357053585377285
symmetric_local_min,1,currency,TJS,656,139,0.4460431654676259,0.22408536585365854,1.9905055547398816
symmetric_local_min,1,currency,UZS,656,137,0.48905109489051096,0.21798780487804878,2.2434791485886376
symmetric_local_min,1,currency,KGS,656,139,0.49640287769784175,0.2225609756097561,2.230412929930029
symmetric_local_min,1,currency,AMD,656,142,0.5070422535211268,0.22560975609756098,2.24743052912067
symmetric_local_min,1,currency,KZT,656,138,0.5,0.23170731707317074,2.1578947368421053
symmetric_local_min,1,year,2024,1240,246,0.42276422764227645,0.2120967741935484,1.9932609972487558
symmetric_local_min,1,year,2025,1235,277,0.592057761732852,0.24048582995951417,2.4619236893605123
symmetric_local_min,1,year,2026,805,172,0.4127906976744186,0.2186335403726708,1.8880483615221988
symmetric_local_min,3,currency,TJS,654,139,0.23741007194244604,0.09785932721712538,2.4260341726618706
symmetric_local_min,3,currency,UZS,654,137,0.2773722627737226,0.09785932721712538,2.834397810218978
symmetric_local_min,3,currency,KGS,654,139,0.302158273381295,0.0963302752293578,3.1366906474820144
symmetric_local_min,3,currency,AMD,654,142,0.2887323943661972,0.09327217125382263,3.095589933040868
symmetric_local_min,3,currency,KZT,654,138,0.2753623188405797,0.10091743119266056,2.7285902503293804
symmetric_local_min,3,year,2024,1240,246,0.26422764227642276,0.1,2.6422764227642275
symmetric_local_min,3,year,2025,1235,277,0.35018050541516244,0.09878542510121457,3.5448600343256196
symmetric_local_min,3,year,2026,795,172,0.1744186046511628,0.09056603773584905,1.925872093023256
symmetric_local_min,5,currency,TJS,652,139,0.1366906474820144,0.05368098159509203,2.546351490236382
symmetric_local_min,5,currency,UZS,652,137,0.18248175182481752,0.05828220858895705,3.131002689204764
symmetric_local_min,5,currency,KGS,652,139,0.2014388489208633,0.05521472392638037,3.6482813749000798
symmetric_local_min,5,currency,AMD,652,142,0.19718309859154928,0.0598159509202454,3.296496930299747
symmetric_local_min,5,currency,KZT,652,138,0.17391304347826086,0.05828220858895705,2.9839816933638446
symmetric_local_min,5,year,2024,1240,246,0.15447154471544716,0.0532258064516129,2.9021926582902196
symmetric_local_min,5,year,2025,1235,277,0.24548736462093862,0.06558704453441296,3.742924633418015
symmetric_local_min,5,year,2026,785,172,0.10465116279069768,0.049681528662420385,2.1064400715563507
symmetric_local_min,10,currency,TJS,647,137,0.08029197080291971,0.02936630602782071,2.734152900499424
symmetric_local_min,10,currency,UZS,647,135,0.0962962962962963,0.030911901081916538,3.1151851851851853
symmetric_local_min,10,currency,KGS,647,137,0.10948905109489052,0.02936630602782071,3.728390318862851
symmetric_local_min,10,currency,AMD,647,140,0.10714285714285714,0.03400309119010819,3.1509740259740258
symmetric_local_min,10,currency,KZT,647,136,0.11029411764705882,0.03554868624420402,3.102621483375959
symmetric_local_min,10,year,2024,1240,246,0.11788617886178862,0.03467741935483871,3.399508413688788
symmetric_local_min,10,year,2025,1235,277,0.12274368231046931,0.03319838056680162,3.6972792110592585
symmetric_local_min,10,year,2026,760,162,0.037037037037037035,0.025,1.4814814814814814
symmetric_local_min,20,currency,TJS,637,134,0.05970149253731343,0.01726844583987441,3.4572591587516963
symmetric_local_min,20,currency,UZS,637,132,0.05303030303030303,0.01726844583987441,3.070936639118458
symmetric_local_min,20,currency,KGS,637,134,0.05223880597014925,0.015698587127158554,3.3276119402985076
symmetric_local_min,20,currency,AMD,637,137,0.06569343065693431,0.01726844583987441,3.804246848042469
symmetric_local_min,20,currency,KZT,637,134,0.05223880597014925,0.0141287284144427,3.6973466003316746
symmetric_local_min,20,year,2024,1240,246,0.06910569105691057,0.016935483870967744,4.08052651955091
symmetric_local_min,20,year,2025,1235,277,0.06859205776173286,0.01700404858299595,4.033866254082861
symmetric_local_min,20,year,2026,710,148,0.013513513513513514,0.014084507042253521,0.9594594594594595
