target,h,block_dates,point_adjusted_lift,ci_lo,ci_hi,p_lift_le_1_30
future_only_hit,1,20,1.9435228980650257,1.7873099768977843,2.1158408681779433,0.001996007984031936
future_only_hit,1,50,1.9435228980650257,1.7520685789204757,2.1284526544551707,0.001996007984031936
future_only_hit,3,20,2.428673730515981,2.119360800979346,2.749571350888683,0.001996007984031936
future_only_hit,3,50,2.428673730515981,2.085380541987997,2.7979136564478364,0.001996007984031936
future_only_hit,5,20,2.5091882251629154,2.172565384519251,2.8259837298437356,0.001996007984031936
future_only_hit,5,50,2.5091882251629154,2.1330408824702207,2.906693883842075,0.001996007984031936
future_only_hit,10,20,2.479315705615442,2.1078113902214652,2.822440862722507,0.001996007984031936
future_only_hit,10,50,2.479315705615442,2.0842007307689703,2.998562420823118,0.001996007984031936
future_only_hit,20,20,2.5249873834516006,2.1173678436750856,3.018132020996884,0.001996007984031936
future_only_hit,20,50,2.5249873834516006,2.1014359049066718,2.99215468185055,0.001996007984031936
symmetric_local_min,1,20,2.166921917188113,1.9345974162898567,2.459446433150373,0.001996007984031936
symmetric_local_min,1,50,2.166921917188113,1.8845081399563972,2.449732869776241,0.001996007984031936
symmetric_local_min,3,20,2.843715791767918,2.4323756939409207,3.3507231567302487,0.001996007984031936
symmetric_local_min,3,50,2.843715791767918,2.2882493801363717,3.4218257957785267,0.001996007984031936
symmetric_local_min,5,20,3.115702566636863,2.5391622336155293,3.696459403844875,0.001996007984031936
symmetric_local_min,5,50,3.115702566636863,2.4675204582448322,3.873301861881025,0.001996007984031936
symmetric_local_min,10,20,3.168964917436915,2.5361933616736705,3.8419379953116,0.001996007984031936
symmetric_local_min,10,50,3.168964917436915,2.2748293151519294,4.094859973995047,0.001996007984031936
symmetric_local_min,20,20,3.463847121211467,2.505153613184159,4.507498683261716,0.001996007984031936
symmetric_local_min,20,50,3.463847121211467,2.4791216340019786,4.436700813590409,0.001996007984031936
