breakdown,group,n_scope,n_signals,primary_n,baseload_n,frequency,base_rate,hit_rate,lift,forward_benefit_bps
overall,all,2020,427,320,107,1.0080944350758854,0.26782178217821784,0.3231850117096019,1.2067166795811382,24.44759062744805
year,2025,1235,267,221,46,1.052957746478873,0.22186234817813766,0.2808988764044944,1.2660953005823015,1.1860753207464758
quarter,2025Q1,285,70,68,2,1.2564102564102564,0.15087719298245614,0.2,1.3255813953488373,-34.872460842336
quarter,2025Q2,295,51,51,0,0.8113636363636363,0.16610169491525423,0.1568627450980392,0.9443777511004402,-21.462381804480607
quarter,2025Q3,330,85,68,17,1.3076923076923077,0.34545454545454546,0.5176470588235295,1.4984520123839011,55.317267062815304
quarter,2025Q4,325,61,34,27,0.9384615384615385,0.20923076923076922,0.14754098360655737,0.7051591128254581,-13.928391126360022
year,2026,785,160,99,61,0.9955555555555554,0.3401273885350318,0.39375,1.1576544943820226,63.26524429550629
quarter,2026Q1,270,47,38,9,0.8545454545454546,0.2851851851851852,0.3617021276595745,1.2683061619231832,71.88449183024204
quarter,2026Q2,310,35,5,30,0.5444444444444444,0.3032258064516129,0.2571428571428571,0.8480243161094224,15.608807320680882
quarter,2026Q3,205,78,56,22,1.95,0.4682926829268293,0.47435897435897434,1.0129540598290596,79.45589378251026
currency,TJS,404,77,62,15,0.9089376053962901,0.2995049504950495,0.4025974025974026,1.3442095094987658,58.083236817800234
currency,UZS,404,82,61,21,0.9679595278246207,0.2698019801980198,0.3902439024390244,1.4464085925262922,31.574010255620113
currency,KGS,404,87,63,24,1.026981450252951,0.24257425742574257,0.25287356321839083,1.0424583626554071,13.751685214660377
currency,AMD,404,86,65,21,1.0151770657672852,0.2623762376237624,0.313953488372093,1.1965774462483545,17.61917977451817
currency,KZT,404,95,69,26,1.12141652613828,0.26485148514851486,0.2736842105263158,1.0333497294638465,7.010495238998242
