n,primary_n,baseload_n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_lift_min,quarter_frequency_min,quarter_frequency_max,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,lookback_days,primary_ceiling,emitted_floor,fallback_weekday,weekly_cap
239,206,33,0.9451977401129943,0.4769874476987448,0.3379032258064516,1.4116096304211063,68.44908622655605,1.2963636363636364,0.8700564971751413,0.9887005649717514,0.4709576138147566,0.7795454545454547,1.1136363636363638,1.4116096304211063,1.4116096304211063,0.9451977401129943,0.9451977401129943,14,0.5,0.75,0,2
238,209,29,0.9412429378531074,0.48739495798319327,0.3379032258064516,1.4424098995206676,70.38913845137263,1.2963636363636364,0.8700564971751413,0.9887005649717514,0.4807692307692307,0.7636363636363637,1.1136363636363638,1.4424098995206676,1.4424098995206676,0.9412429378531074,0.9412429378531074,14,0.5,0.75,2,2
236,209,27,0.9333333333333335,0.4915254237288136,0.3379032258064516,1.4546337122284698,71.60692997986655,1.3228200371057515,0.8700564971751413,0.9689265536723164,0.5016722408026756,0.7318181818181818,1.1136363636363638,1.4546337122284698,1.4546337122284698,0.9333333333333335,0.9333333333333335,14,0.5,0.75,3,2
239,206,33,0.9451977401129943,0.4769874476987448,0.3379032258064516,1.4116096304211063,68.44908622655605,1.2963636363636364,0.8700564971751413,0.9887005649717514,0.4709576138147566,0.7795454545454547,1.1136363636363638,1.4116096304211063,1.4116096304211063,0.9451977401129943,0.9451977401129943,14,0.5,1.0,0,2
238,209,29,0.9412429378531074,0.48739495798319327,0.3379032258064516,1.4424098995206676,70.38913845137263,1.2963636363636364,0.8700564971751413,0.9887005649717514,0.4807692307692307,0.7636363636363637,1.1136363636363638,1.4424098995206676,1.4424098995206676,0.9412429378531074,0.9412429378531074,14,0.5,1.0,2,2
236,209,27,0.9333333333333335,0.4915254237288136,0.3379032258064516,1.4546337122284698,71.60692997986655,1.3228200371057515,0.8700564971751413,0.9689265536723164,0.5016722408026756,0.7318181818181818,1.1136363636363638,1.4546337122284698,1.4546337122284698,0.9333333333333335,0.9333333333333335,14,0.5,1.0,3,2
248,205,43,0.9807909604519774,0.4798387096774194,0.3379032258064516,1.4200477326968974,69.96325434051325,1.3006993006993006,0.9096045197740114,1.0282485875706215,0.6531204644412192,0.8431818181818181,1.1136363636363638,1.4200477326968974,1.4200477326968974,0.9807909604519774,0.9807909604519774,14,0.5,1.25,0,2
245,208,37,0.9689265536723164,0.4857142857142857,0.3379032258064516,1.437436072280941,69.45034662388662,1.2709447415329769,0.8898305084745763,1.0282485875706215,0.7766272189349112,0.8272727272727273,1.1136363636363638,1.437436072280941,1.437436072280941,0.9689265536723164,0.9689265536723164,14,0.5,1.25,2,2
242,209,33,0.9570621468926553,0.49173553719008267,0.3379032258064516,1.4552555277224404,71.09727697642347,1.2963636363636364,0.8898305084745763,1.0084745762711864,0.6923076923076923,0.7954545454545455,1.1136363636363638,1.4552555277224404,1.4552555277224404,0.9570621468926553,0.9570621468926553,14,0.5,1.25,3,2
263,204,59,1.0401129943502825,0.4448669201520912,0.3379032258064516,1.3165512672758786,61.8379675998848,1.2380952380952381,0.9689265536723164,1.1073446327683616,0.4615384615384615,0.7954545454545455,1.19,1.3165512672758786,1.3165512672758786,1.0401129943502825,1.0401129943502825,14,0.75,0.75,0,2
260,208,52,1.0282485875706215,0.46153846153846156,0.3379032258064516,1.365889480447953,65.21234823515258,1.3047138047138047,0.9689265536723164,1.0875706214689267,0.6009615384615384,0.7636363636363637,1.1772727272727272,1.365889480447953,1.365889480447953,1.0282485875706215,1.0282485875706215,14,0.75,0.75,2,2
256,208,48,1.0124293785310736,0.46484375,0.3379032258064516,1.3756712410501193,66.20420711815702,1.2761578044596913,0.9491525423728814,1.0480225988700564,0.3846153846153846,0.7159090909090909,1.1772727272727272,1.3756712410501193,1.3756712410501193,1.0124293785310736,1.0124293785310736,14,0.75,0.75,3,2
263,204,59,1.0401129943502825,0.4448669201520912,0.3379032258064516,1.3165512672758786,61.8379675998848,1.2380952380952381,0.9689265536723164,1.1073446327683616,0.4615384615384615,0.7954545454545455,1.19,1.3165512672758786,1.3165512672758786,1.0401129943502825,1.0401129943502825,14,0.75,1.0,0,2
260,208,52,1.0282485875706215,0.46153846153846156,0.3379032258064516,1.365889480447953,65.21234823515258,1.3047138047138047,0.9689265536723164,1.0875706214689267,0.6009615384615384,0.7636363636363637,1.1772727272727272,1.365889480447953,1.365889480447953,1.0282485875706215,1.0282485875706215,14,0.75,1.0,2,2
256,208,48,1.0124293785310736,0.46484375,0.3379032258064516,1.3756712410501193,66.20420711815702,1.2761578044596913,0.9491525423728814,1.0480225988700564,0.3846153846153846,0.7159090909090909,1.1772727272727272,1.3756712410501193,1.3756712410501193,1.0124293785310736,1.0124293785310736,14,0.75,1.0,3,2
280,203,77,1.1073446327683616,0.4392857142857143,0.3379032258064516,1.300034094783498,58.683279491331646,1.1839054330529668,1.0282485875706215,1.1864406779661016,0.641025641025641,0.8590909090909091,1.2568181818181818,1.300034094783498,1.300034094783498,1.1073446327683616,1.1073446327683616,14,0.75,1.25,0,2
277,207,70,1.0954802259887007,0.45126353790613716,0.3379032258064516,1.3354815918940575,61.47655771983023,1.2633228840125392,1.0282485875706215,1.1666666666666667,0.6656804733727811,0.8272727272727273,1.2568181818181818,1.3354815918940575,1.3354815918940575,1.0954802259887007,1.0954802259887007,14,0.75,1.25,2,2
272,208,64,1.0757062146892655,0.4632352941176471,0.3379032258064516,1.3709111329496,63.36716936975452,1.2581168831168832,1.0084745762711864,1.1271186440677967,0.706436420722135,0.7795454545454547,1.2568181818181818,1.3709111329496,1.3709111329496,1.0757062146892655,1.0757062146892655,14,0.75,1.25,3,2
263,204,59,1.0401129943502825,0.4448669201520912,0.3379032258064516,1.3165512672758786,61.8379675998848,1.2380952380952381,0.9689265536723164,1.1073446327683616,0.4615384615384615,0.7954545454545455,1.19,1.3165512672758786,1.3165512672758786,1.0401129943502825,1.0401129943502825,14,1.0,0.75,0,2
260,208,52,1.0282485875706215,0.46153846153846156,0.3379032258064516,1.365889480447953,65.21234823515258,1.3047138047138047,0.9689265536723164,1.0875706214689267,0.6009615384615384,0.7636363636363637,1.1772727272727272,1.365889480447953,1.365889480447953,1.0282485875706215,1.0282485875706215,14,1.0,0.75,2,2
256,208,48,1.0124293785310736,0.46484375,0.3379032258064516,1.3756712410501193,66.20420711815702,1.2761578044596913,0.9491525423728814,1.0480225988700564,0.3846153846153846,0.7159090909090909,1.1772727272727272,1.3756712410501193,1.3756712410501193,1.0124293785310736,1.0124293785310736,14,1.0,0.75,3,2
263,204,59,1.0401129943502825,0.4448669201520912,0.3379032258064516,1.3165512672758786,61.8379675998848,1.2380952380952381,0.9689265536723164,1.1073446327683616,0.4615384615384615,0.7954545454545455,1.19,1.3165512672758786,1.3165512672758786,1.0401129943502825,1.0401129943502825,14,1.0,1.0,0,2
