model,period,n,squared_error_h5,mean_score,event_rate
extra_multi_mean,early,647,0.2180868064692174,0.5961474988148687,0.6754250386398764
extra_multi_mean,later,1683,0.22275277750117925,0.5313612933418999,0.5704099821746881
extra_multi_geom,early,647,0.2244759960799625,0.5769478254890792,0.6754250386398764
extra_multi_geom,later,1683,0.22947754415387642,0.5085664887984945,0.5704099821746881
cat_h5,early,647,0.22000897601813768,0.6734495083758679,0.6754250386398764
cat_h5,later,1683,0.21796939595949286,0.5993430813917063,0.5704099821746881
cat_multi_mean,early,647,0.22098443831082604,0.5923341965320547,0.6754250386398764
cat_multi_mean,later,1683,0.22065293963321997,0.5226226305203509,0.5704099821746881
cat_multi_geom,early,647,0.24615382287649065,0.540176472605349,0.6754250386398764
cat_multi_geom,later,1683,0.23706807361439006,0.4762812525648703,0.5704099821746881
cat_mean_utility,early,647,0.22084867527015842,0.5869725546824267,0.6754250386398764
cat_mean_utility,later,1683,0.22228663561247983,0.5195841409543994,0.5704099821746881
cat_pairrank_h5,early,647,0.2363161589997231,0.5294652330341486,0.6754250386398764
cat_pairrank_h5,later,1683,0.23231060084184238,0.4927121922773379,0.5704099821746881
base75_cat25,early,647,0.20571338118467733,0.6561446865859085,0.6754250386398764
base75_cat25,later,1683,0.20974969220755946,0.5932156020535518,0.5704099821746881
base50_cat50,early,647,0.20719557663547303,0.6619129605158951,0.6754250386398764
base50_cat50,later,1683,0.21006377269496598,0.59525809516627,0.5704099821746881
base75_catmulti25,early,647,0.2068006327385283,0.6358658586249553,0.6754250386398764
base75_catmulti25,later,1683,0.2103069871197505,0.5740354893357131,0.5704099821746881
