stage,metric,block_dates,draws,mean_delta,ci_low,ci_high
screen_2019_2022,brier,20,1000,0.0026103634427394862,0.0008828431745489104,0.0042621787673312985
screen_2019_2022,logloss,20,1000,0.012003361350191777,0.003949300087751388,0.0196795009407441
screen_2019_2022,auc,20,1000,0.0033917146059767376,-0.10585060464665981,0.12135551946060427
screen_2019_2022,brier,50,1000,0.0025797456291741165,0.0007059311463647259,0.004466652317228753
screen_2019_2022,logloss,50,1000,0.011879059020207007,0.003155953248070097,0.021080628092829297
screen_2019_2022,auc,50,1000,0.005829122488386918,-0.10538549679288628,0.11714717219585229
validation_2023_2024,brier,20,1000,-0.0020409278426214285,-0.007430705380703708,0.0032861206666244514
validation_2023_2024,logloss,20,1000,-0.007990053258968349,-0.027755182279352208,0.011672369997710527
validation_2023_2024,auc,20,1000,0.10081139382323405,0.018874945416682602,0.20573381485886927
validation_2023_2024,brier,50,1000,-0.0024218746289061794,-0.008539891710195629,0.003141736025599723
validation_2023_2024,logloss,50,1000,-0.009400767508673956,-0.031940885715503124,0.010747747842278334
validation_2023_2024,auc,50,1000,0.09771187139272561,-0.01053596321073807,0.22614943418546452
