stage,pooled_pass,local_pass,pass,local_groups,local_noninferior,brier_delta,logloss_delta,ece_delta,auc_delta,worst_brier_ci_high,worst_auc_ci_low
screen_2019_2022,False,False,False,9,0,0.002620786170477382,0.012052993061821948,0.015140687575678189,0.003366814594786771,0.004466652317228753,-0.10585060464665981
validation_2023_2024,False,False,False,7,5,-0.0021833776911203973,-0.008524278726402046,-0.02104778385058545,0.10369691344145227,0.0032861206666244514,-0.01053596321073807
