year,fit_origin,cutoff_ord,training_rows,query_rows,latest_training_date,latest_training_maturity_ord,feature_count,scaler_mean,scaler_scale,energy_mean,energy_p95,alpha_mean,alpha_min,alpha_full_share
2019,2018-01-01,736693,8546,1230,2017-12-01,736692,41,"[-1.761283102131723, -3.1337499084264384, -7.169562027962455, -33.10317623542066, -96.865030357086, -263.83127832703553, 45.99851600576163, 41.54961257491782, 40.10344329304325, 52.065091956712735, 54.789151636747576, 54.062667104215556, -0.05042804900336627, -0.11534715537169171, -0.11235514495637733, 93.82237834438887, 102.2370624908189, 108.58462674476587, 0.8944195502847218, 2.763814870622918, 7.696017278507977, 5.408278925830765, 25.933614207458433, -1.7554591041910494, -0.005823997940673095, 61.88038984852786, -22.52944208024731, -91.72908223642206, -22.436432559650584, -90.82671140800944, -0.011930906181496151, -0.03864305599459644, -0.0035104142288790077, -0.04025274982447929, 1.4709805757079335, 0.20652937046571496, 0.19997659723847414, 0.19997659723847414, 0.19997659723847414, 0.19997659723847414, 0.20009361104610343]","[298.6424836871719, 408.24816983298126, 602.9307845001146, 1239.9551700025231, 1667.366986189253, 2170.784241854753, 34.81642916547259, 32.80608635775453, 30.686643164800213, 36.35123233948569, 35.78081078158777, 34.20208535091679, 1.3904534710900196, 1.4718468428930707, 1.4558194599339436, 91.7744951575159, 87.91523716246374, 77.508569740794, 0.39678805811789497, 336.0798691988123, 677.4442613251014, 507.6051245006897, 968.2614088843573, 264.40226496566015, 179.25157561620887, 124.29575937897702, 265.40974126069943, 560.5914428916951, 260.61528317742096, 535.347038047397, 0.7164186865592163, 0.6964974036203295, 0.7085032898452894, 0.7045498430926178, 1.0380826706140298, 0.4048147596132508, 0.399982446858995, 0.39998244685901946, 0.3999824468590441, 0.39998244685907164, 0.40007019117228226]",0.561011895100886,0.865116718019942,0.996244735395024,0.3686305108463056,0.9821138211382113
2020,2019-01-01,737058,9781,1215,2018-12-01,737057,41,"[-4.041681101291768, -7.09277091688719, -14.997822321003168, -60.72543113277985, -110.86629563734563, -169.88417977448123, 46.320808424103376, 43.13504293382426, 42.15776198743487, 51.387806761172904, 53.08664241265788, 51.85483884786326, -0.025697939519157706, -0.04996970838166193, -0.0225054451268507, 90.88871226500267, 99.06663273512349, 106.24962506555859, 0.8928244662039766, -1.5259188198639522, -6.482050306660721, 10.956141219711393, 45.727608811776705, -4.036592471662805, -0.005088629628977453, 59.80961847093045, -23.30507102515932, -93.15993871902079, -21.91302498606573, -87.5805077379455, -0.013099046954801186, -0.037136687208525455, -0.005111951743175543, -0.03977098456190573, 1.4718331458951028, 0.206522850424292, 0.1999795521930273, 0.1999795521930273, 0.1999795521930273, 0.1999795521930273, 0.2000817912278908]","[286.60038322179014, 391.2834887210665, 577.1603351039762, 1176.3073263860858, 1635.3233077791058, 2185.3018450630675, 34.624630672065024, 32.678109351499536, 31.040424892563124, 36.23461472304489, 35.5753841245942, 34.452205566558526, 1.3853655649088836, 1.468760129456955, 1.4560299291004675, 87.34877120874, 83.38062859823721, 76.5223037519944, 0.40076936705080457, 321.4396861537979, 644.305318931367, 485.88176309942673, 920.1341932587167, 254.6585887922826, 169.7484393405638, 117.09602248412104, 257.7414239532496, 539.4125207711618, 253.19633456761892, 517.3105017527404, 0.7160202326770897, 0.6969679388817643, 0.7092178223069904, 0.7038481492896768, 1.0423743683830238, 0.40481003282639394, 0.399984663328198, 0.3999846633281738, 0.3999846633281493, 0.3999846633281271, 0.4000613303568811]",0.9026802901622054,2.9164614998428946,0.92648622059116,0.1495531833207715,0.8164609053497942
2021,2020-01-01,737423,11011,1240,2019-11-30,737421,41,"[-1.884394649837465, -3.0662477647371795, -6.448537109944325, -33.456397259976285, -65.31370111587596, -153.30737089190205, 45.190932650923656, 41.16727043552246, 40.20253368814948, 52.46790826728146, 55.05913902236724, 54.350322100449155, -0.06372248245750334, -0.12534656772652528, -0.11456269155874797, 85.7224674142499, 93.62626103272346, 100.43778678561183, 0.8858500736060357, 1.959343199080301, 4.1783430316840695, 4.564142460106886, 27.007860150032098, -1.8798744530886695, -0.004520196748793658, 56.06618566431757, -19.8488575717587, -79.4247831205187, -18.32091143449424, -73.36588149129163, -0.01423867335416901, -0.03559115353959057, -0.007265461810916355, -0.03896103896103896, 1.4727091090727453, 0.2066115702479339, 0.1999818363454727, 0.1999818363454727, 0.1999818363454727, 0.1999818363454727, 0.20007265461810916]","[273.31348128026383, 373.49884292126336, 548.9411205523844, 1114.9637068923396, 1552.612469504699, 2081.775943733472, 34.37618621481144, 32.33775288381861, 30.570507727689755, 35.94795092307876, 35.25453880166489, 34.38101735584328, 1.3737619339155789, 1.4422365245133015, 1.4320802549148701, 83.8365300674569, 80.19649507524927, 74.0507622115799, 0.3910669132070926, 305.96982089962046, 610.7743541567696, 462.7581725840106, 873.0569620306802, 243.19124481153432, 161.02899241127488, 111.42145066349279, 246.4648380875276, 514.5397743708961, 241.61055662424562, 492.4952354276858, 0.7156296812538764, 0.6974271928160527, 0.7092816390338839, 0.7038102066872447, 1.0467480634059758, 0.40487433765008424, 0.39998637661466335, 0.39998637661467246, 0.39998637661467973, 0.39998637661468617, 0.4000544806550423]",0.5512508894707938,0.9053492433658598,0.9955098171701376,0.3642321757387867,0.9741935483870968
2022,2021-01-01,737789,12221,1235,2020-12-01,737788,41,"[-3.1147370715359908, -5.747142987297889, -13.042773854541554, -54.56704791567061, -89.92411289826543, -156.5569108717095, 45.6885545593978, 41.89553668938759, 40.53353805613325, 51.73627080576406, 53.764702312928385, 52.58217035517677, -0.034777071763019876, -0.07137470239540786, -0.05918640603840997, 86.25546516248393, 93.9558446731593, 100.43262292962285, 0.8944219642420296, -0.7371779179979128, -6.96388102995712, 9.928036783005524, 41.524274061129134, -3.110664419019769, -0.0040726525162377205, 58.097934843022905, -21.663723820757895, -88.33193670920753, -21.60467397953785, -87.88502144525457, -0.016905534766258404, -0.03457688115583909, -0.009819163734555273, -0.039194828573766466, 1.477047704770477, 0.20742983389248015, 0.19998363472710906, 0.19998363472710906, 0.19998363472710906, 0.19998363472710906, 0.2000654610915637]","[273.0272265490448, 374.32800772431546, 547.3419688997673, 1084.837573032033, 1490.1721237874513, 1994.2663080230698, 34.477705388838054, 32.27739897501773, 30.125903868106075, 36.10541323286547, 35.264899503699816, 34.57589407569318, 1.3849562888240279, 1.4529466221424445, 1.4374564189106513, 82.26077206740096, 78.43826710346542, 71.84117369744801, 0.40738195484017586, 305.24032422719773, 599.9221091180874, 462.34506548508153, 855.355882527143, 242.6024215322138, 161.69865677017563, 110.96153741877302, 247.61877177387498, 522.6702087743806, 241.3958243368824, 501.5364336702356, 0.7145035220362925, 0.6985723721859759, 0.708743579706339, 0.7043080914355484, 1.0579638208824773, 0.4054660255851609, 0.39998772552234046, 0.3999877255223143, 0.39998772552228723, 0.3999877255222603, 0.4000490874502439]",3.219416579351947,11.241876084001868,0.6188294083103705,0.030843312907880317,0.3902834008097166
2023,2022-01-01,738154,13461,1235,2021-12-01,738153,41,"[-2.663281724024505, -4.439070296420985, -7.9995993491777195, -31.290691545996285, -54.932922723871904, -113.73305970255302, 45.02135775527645, 40.93317325956648, 39.02180612285597, 52.41425420563654, 54.89483142728648, 54.398574985297934, -0.05584157156320974, -0.1156674277244348, -0.1227506518541026, 83.63651898558702, 91.25408352999355, 97.92988479057632, 0.8867959648186124, 0.5071517192925354, 2.0753968117262445, 5.336317625153194, 23.29109219681859, -2.6595842359923427, -0.003697488032157706, 56.420181523614744, -19.54132997526435, -76.50754781572988, -20.035893111349594, -78.44490623111713, -0.01641279751856224, -0.034177554758599564, -0.00965752915830919, -0.03929871480573509, 1.476561919619642, 0.20726543347448184, 0.19998514226283337, 0.19998514226283337, 0.19998514226283337, 0.19998514226283337, 0.20005943094866652]","[263.93045384760984, 361.62282731619894, 528.023123008934, 1042.939043988894, 1429.9634949805495, 1914.851073738623, 34.452260626583715, 31.946360608797406, 29.809805335748727, 36.05942888659498, 34.963868327385924, 34.37472971712347, 1.3799906359840868, 1.4347482804829348, 1.4111503364496312, 79.24171802843667, 75.62062997694139, 69.27602614266767, 0.40043190090251474, 294.42556800724304, 577.0617371502407, 446.5365093279149, 824.8711605226373, 234.8521640058974, 155.47609358935796, 106.39744224313196, 239.77017457185207, 505.022752206173, 233.50025534352557, 483.36808213184986, 0.7142735838659178, 0.6988388671358357, 0.709112921346785, 0.7039326728630285, 1.0587053136784297, 0.4053473492711599, 0.3999888562659212, 0.3999888562659433, 0.39998885626596464, 0.39998885626599034, 0.4000445663137404]",1.1789103948402773,2.1448136980512276,0.8446097262525548,0.2549406855779055,0.4105263157894737
2024,2023-01-01,738519,14696,1240,2022-12-01,738518,41,"[-1.1854627525787702, -2.357802060696517, -4.479921179871359, -15.257017510341313, -1.1999640697960978, -58.76951474815238, 45.26369996755238, 41.36132009739146, 38.32201509853397, 52.313320068327606, 54.17609622430351, 54.439090331272475, -0.047628454205784, -0.08113700041255019, -0.10619786170472732, 92.04799507178876, 101.61255098307106, 109.02694535534721, 0.884558729308861, 4.466356092043744, 12.830156517380988, 3.2944584272925757, 10.777096330469863, -1.1820759883979668, -0.003386764180789853, 62.412240284680536, -16.230358447947708, -67.16472775849616, -14.76315831029277, -61.47139331042081, -0.016722453420866583, -0.03330118342572339, -0.010547087642896026, -0.03939847577572129, 1.476660315732172, 0.20719923788786065, 0.19998639085465433, 0.19998639085465433, 0.19998639085465433, 0.19998639085465433, 0.2000544365813827]","[313.1564386547977, 446.5806040077135, 628.5617386988262, 1128.5341996450861, 1482.7994137532721, 1901.922934542937, 34.25461337412047, 32.031484512503766, 29.861724044892814, 35.85914264816196, 34.994382888338606, 34.42742503163321, 1.376201539389939, 1.4405856346010881, 1.4515327004796268, 93.51596460603298, 90.41669037366051, 83.429399912863, 0.4181877132003776, 353.6576970363551, 652.917899669895, 541.4386570331965, 896.3207704092076, 285.9827671909013, 164.72578489497107, 111.28984263225986, 304.4679659297147, 656.336164889369, 302.0313688859627, 648.9626664031014, 0.7141871673548028, 0.6989621454125171, 0.7092861961848692, 0.7037397323942675, 1.0597935602418687, 0.4052995357837967, 0.39998979277939, 0.3999897927793931, 0.3999897927793609, 0.39998979277930485, 0.40004082164885096]",0.7122773910242512,1.314774736332712,0.9697429771015258,0.3565257978872184,0.8572580645161291
2025,2024-01-01,738884,15936,1235,2023-12-01,738883,41,"[-6.672718931524781, -13.355377992165105, -27.297403195713926, -95.40408498427631, -176.10169235511663, -261.7844841720014, 46.884015290944795, 44.22317429540704, 41.80379069980233, 50.814248372801735, 51.52097152655557, 51.13190190931338, 0.011815407801393344, 0.01715470738112264, 0.018740947868625422, 91.36154563610629, 101.22397221599755, 108.65139893560453, 0.8778329604006275, -6.195671793945172, -23.62559317649653, 20.62468426418892, 68.10668178856237, -6.669595695681296, -0.003123235843431833, 61.6081043790726, -21.213731407731146, -88.10009369536169, -19.887207076431178, -82.53338047701651, -0.01706284070726025, -0.03278015641824783, -0.010981425702811244, -0.039470381526104416, 1.4762801204819278, 0.20707831325301204, 0.19998744979919678, 0.19998744979919678, 0.19998744979919678, 0.19998744979919678, 0.20005020080321284]","[311.13804802949846, 445.49167686372397, 627.7832116743681, 1144.7253828410076, 1566.0472217725603, 2120.280487697393, 34.59515469542354, 33.138598757504184, 31.539619732474332, 35.97998758668966, 35.71577392005604, 35.25891108406496, 1.3847174981356665, 1.464163950273921, 1.4727617743835872, 90.80443271012281, 87.2704415166239, 80.27219213593855, 0.4183998640975108, 352.47889532107973, 655.3734369211953, 540.4954918682156, 900.3389105170903, 285.1889470315716, 160.5933117302881, 108.06728203367106, 302.19294020193183, 651.6880263843495, 299.285081982782, 645.9397258340641, 0.7141099081182414, 0.6990574797107668, 0.7095464858051364, 0.7034666173695051, 1.057906556827529, 0.40521214867440325, 0.39999058704172213, 0.399990587041729, 0.39999058704173523, 0.3999905870417485, 0.40003764568075556]",0.7035211866761408,1.3131912065600382,0.9750096638063793,0.3294332816918214,0.8793522267206477
2026,2025-01-01,739250,17181,810,2024-12-03,739249,41,"[-8.91380627334195, -17.123734552692074, -32.34206393984429, -95.19641854132726, -160.25458668270664, -312.0358598187993, 48.126310469105675, 45.24804179931221, 42.543425554147625, 50.01535376889876, 50.92213831715058, 50.87856892715395, 0.040324032372156114, 0.03405529047567709, 0.03198039188150222, 89.59233632026613, 99.3814880648051, 106.95631753228481, 0.8716866560589511, -9.733787254615201, -28.13070386791361, 23.428257666502045, 62.85435460148304, -8.910909358936477, -0.0028969144055047465, 59.725320096899, -22.611481853161354, -89.05015142253868, -21.026363297428553, -83.71225289835756, -0.017640049097767518, -0.031820889337065346, -0.012222804260520342, -0.03893836214422909, 1.4763983470112334, 0.2072056341307258, 0.1999883592340376, 0.1999883592340376, 0.1999883592340376, 0.1999883592340376, 0.2000465630638496]","[304.085916003007, 434.3589928567953, 610.8541109495085, 1116.9819107393107, 1518.6745702590974, 2083.072457958835, 34.729647438765824, 33.31246413574446, 31.376223692811756, 36.005650262763716, 35.80234423858135, 34.94345305144478, 1.3845289752254857, 1.4616133203508763, 1.4623387132679997, 88.56408331684561, 84.85909746779495, 77.80335113968707, 0.4232388734932746, 343.4693391436167, 638.3003605900459, 525.732150642805, 878.1868264582496, 279.2563434229613, 155.37122865387002, 104.48439364737844, 295.7485966564884, 633.8644450740012, 293.07593201288114, 630.026307377315, 0.7140345908777721, 0.6991644031982697, 0.7098561609424229, 0.7031633080455537, 1.0583819045899931, 0.40530415654817376, 0.3999912691608433, 0.39999126916084465, 0.3999912691608482, 0.3999912691608455, 0.4000349180636479]",0.7718385376840545,1.3505217899686106,0.9609619802395257,0.29817245204934506,0.7901234567901234
