feature,mean_importance
ap37_trailing_rate,17.451062058256593
day_of_month_scaled,14.374507684358589
known_change,13.934657133687198
fallback_precision_margin,6.230964455310927
rank_ap26,5.564714610261968
rank_distributional,5.45419528365939
log_days_since,5.1211951745406195
weekday_sin,4.6608206698901595
rank_ridge,4.589060230356908
rank_std,3.8960336772910846
rank_mean,3.081188096050592
rank_min,2.599437312260453
days_to_friday,2.005791222747635
rank_max,1.9780050672324005
weekday_cos,1.8466141344821698
ap37_month_empty,1.4774125242306995
support_count,1.1396919092412854
core_flag,1.0357825773534552
ap37_week_used,0.8196881982779473
fallback_flag,0.6862368515484478
currency_KZT,0.6236631359591013
currency_KGS,0.5515896768999553
currency_AMD,0.45647859237719324
currency_UZS,0.2650099652844921
currency_TJS,0.15619975844073275
