hypothesis,horizon,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_lift_not_better,control_symmetric,challenger_symmetric,symmetric_difference,symmetric_difference_ci_low,symmetric_difference_ci_high,p_symmetric_not_better,control_future,challenger_future,future_difference,future_difference_ci_low,future_difference_ci_high,p_future_not_better,n_challenger,p_lift_holm_10,lift_increment_supported,p_symmetric_holm_10,symmetric_increment_supported,p_future_holm_10,future_increment_supported
fixing_vs_noon,1,noon_consensus,selected,1.7138720541352086,1.7081293096028234,-0.005742744532385213,-0.09818749901798011,0.10049231203662772,0.5263684078980255,19.722902199207486,23.904215910897786,4.181313711690301,0.12123136732313902,9.592321482213459,0.021494626343414147,71.76573570461352,70.96215675788892,-0.8035789467245991,-7.61817609409439,6.710705682814979,0.546113471632092,565,1.0,False,0.042989252686828294,True,1.0,False
fixing_vs_noon,3,noon_consensus,selected,1.9539377250735395,1.8894729170677986,-0.06446480800574084,-0.19312423705350862,0.06890069145888213,0.8300424893776556,33.835216463806525,43.84526867390179,10.010052210095267,3.327370622019629,19.20503462924538,0.001999500124968758,82.22574768560375,85.43525320995467,3.2095055243509165,-5.2469143532364955,13.180763154304863,0.21944513871532118,565,1.0,False,0.007998000499875032,True,1.0,False
fixing_vs_noon,5,noon_consensus,selected,1.9612104006180966,1.9432387212255309,-0.01797167939256572,-0.16317304015761824,0.15532195448587008,0.585603599100225,41.1542206921564,52.46557001272399,11.311349320567587,4.332186721697568,20.338099542512268,0.0007498125468632841,86.14591164780279,90.26772045232198,4.1218088045191905,-7.472890345892855,17.165262428390694,0.2234441389652587,565,1.0,False,0.0037490627343164207,True,1.0,False
fixing_vs_noon,10,noon_consensus,selected,2.0096751656009837,1.9482638079701704,-0.06141135763081329,-0.2534761745059335,0.16864892784954405,0.6928267933016746,55.44315591296929,66.92188251558969,11.478726602620398,1.4195244525606925,23.085440578109402,0.013496625843539115,89.3998262639286,90.65871988011082,1.2588936161822204,-14.31423875314139,20.03797036353337,0.3839040239940015,560,1.0,False,0.04048987753061735,True,1.0,False
fixing_vs_noon,20,noon_consensus,selected,1.8189233607336222,1.9272355126963518,0.1083121519627297,-0.11111144152021753,0.44538814040493796,0.18770307423144214,77.06819450153439,89.39864757949296,12.330453077958566,-0.35358217388922436,27.753919068361895,0.028242939265183703,70.75305246623316,75.56653193963669,4.813479473403532,-20.47915432864877,34.3103810486531,0.332416895776056,550,0.9385153711572107,False,0.042989252686828294,False,1.0,False
fresh_vs_stale,1,matched_stale20,selected,0.8718920550649499,1.7081293096028234,0.8362372545378735,0.6023525880775059,1.084585245667137,0.00024993751562109475,-3.5083351052649228,23.904215910897786,27.41255101616271,18.56230732840389,37.07704591654277,0.00024993751562109475,-16.388972735523936,70.96215675788892,87.35112949341286,66.12701233588749,112.32071170084505,0.00024993751562109475,565,0.0024993751562109477,True,0.0024993751562109477,True,0.0024993751562109477,True
fresh_vs_stale,3,matched_stale20,selected,0.8757572285792028,1.8894729170677986,1.0137156884885958,0.6931154242803383,1.3725917979399878,0.00024993751562109475,-8.308812274125307,43.84526867390179,52.1540809480271,34.622845428111084,72.42090886897886,0.00024993751562109475,-23.47075584813945,85.43525320995467,108.90600905809411,80.26796243198675,144.4297622252833,0.00024993751562109475,565,0.0024993751562109477,True,0.0024993751562109477,True,0.0024993751562109477,True
fresh_vs_stale,5,matched_stale20,selected,0.9274168120109101,1.9432387212255309,1.0158219092146208,0.6252908319784333,1.4364790525059745,0.00024993751562109475,-4.661818063184319,52.46557001272399,57.12738807590831,37.615349809863865,79.94422792902792,0.00024993751562109475,-22.443883974871778,90.26772045232198,112.71160442719376,83.39458654807827,145.0743899208559,0.00024993751562109475,565,0.0024993751562109477,True,0.0024993751562109477,True,0.0024993751562109477,True
fresh_vs_stale,10,matched_stale20,selected,0.8801389693109438,1.9482638079701704,1.0681248386592266,0.6449926452758126,1.5710400789061887,0.00024993751562109475,-4.264452206335013,66.92188251558969,71.1863347219247,43.323070503623214,100.37054160874017,0.00024993751562109475,-32.90162067817759,90.65871988011082,123.56034055828842,83.25066486328178,167.06672048922553,0.00024993751562109475,560,0.0024993751562109477,True,0.0024993751562109477,True,0.0024993751562109477,True
fresh_vs_stale,20,matched_stale20,selected,0.7824127777282057,1.9272355126963518,1.1448227349681461,0.5817944304234056,1.7630629601905403,0.00024993751562109475,-2.493479686812909,89.39864757949296,91.89212726630586,56.40395491478822,124.15553060140117,0.00024993751562109475,-59.63323830369275,75.56653193963669,135.19977024332945,70.0468982390311,185.18602574784646,0.00024993751562109475,550,0.0024993751562109477,True,0.0024993751562109477,True,0.0024993751562109477,True
