candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
incumbent,1.6230036627345803,1.8545481119686134,18.007536172632168,70.28340285633575
incumbent60_kazakh40,1.51446841573006,1.6749285296519691,17.612136582704462,56.411625406352734
incumbent75_kazakh25,1.5837890140425745,1.7847664454505359,19.059080540551093,64.55163575559806
incumbent90_kazakh10,1.6021068501759785,1.833793264459167,17.837423322070368,67.057589295711
incumbent_kzt_local_overlay,1.5459541754121973,1.7050113130600828,16.66192420543166,58.50951049861733
kazakh_selected,0.9837242086377035,1.0701697882452825,2.950307173335224,-30.45971869504314
