hypothesis,subset,n,share,target_rate,lift,benefit_bps
state_freshness,control,1274,0.6306930693069307,0.2880690737833595,1.0755998688399004,3.4220601975953593
state_freshness,challenger,1269,0.6282178217821782,0.3207249802994484,1.1975313497317666,6.679087191660295
state_freshness,intersection,844,0.4178217821782178,0.3495260663507109,1.3050696007919333,20.75177114382409
state_freshness,control_only,430,0.21287128712871287,0.16744186046511628,0.6251988135666079,-30.59253524104895
state_freshness,challenger_only,425,0.2103960396039604,0.2635294117647059,0.9839730346852235,-21.26760752746029
state_freshness,neither,321,0.1589108910891089,0.19314641744548286,0.7211751631051301,-30.248342588193886
primary_increment,control,544,0.2693069306930693,0.4944852941176471,1.8463221702729151,71.28443344868988
primary_increment,challenger,571,0.28267326732673265,0.5078809106830122,1.8963390750086593,74.78523261271911
primary_increment,intersection,503,0.249009900990099,0.5129224652087475,1.9151633636260073,77.59381146671994
primary_increment,control_only,41,0.020297029702970298,0.2682926829268293,1.001758261575222,-6.120862723727574
primary_increment,challenger_only,68,0.033663366336633666,0.47058823529411764,1.7570947047950418,54.010009619154275
primary_increment,neither,1408,0.697029702970297,0.17045454545454544,0.6364476558561586,-40.36943105712653
