candidate,kind,group,n_scope,n_signals,base_rate,hit_rate,pooled_lift,frequency,future_bps
incumbent,all,all,2020,506,0.26782178217821784,0.5513833992094862,2.0587698085086177,1.1946037099494098,95.20087810368796
incumbent,availability,present,1032,254,0.2567829457364341,0.5826771653543307,2.2691427722478084,0.5996627318718382,102.92586316155516
incumbent,availability,absent,988,252,0.2793522267206478,0.5198412698412699,1.8608810674028065,0.5949409780775717,87.4145836405996
incumbent,currency,AMD,404,102,0.2623762376237624,0.5784313725490197,2.2045874953755087,1.2040472175379429,99.04869751502547
incumbent,currency,KGS,404,107,0.24257425742574257,0.5420560747663551,2.234598512302117,1.2630691399662732,92.11166406711351
incumbent,currency,KZT,404,101,0.26485148514851486,0.48514851485148514,1.8317757009345792,1.1922428330522767,90.0179654424445
incumbent,currency,TJS,404,96,0.2995049504950495,0.5833333333333334,1.947658402203857,1.1332209106239461,94.85928503629059
incumbent,currency,UZS,404,100,0.2698019801980198,0.57,2.1126605504587155,1.1804384485666106,100.14423245581571
incumbent,quarter,2025Q1,285,67,0.15087719298245614,0.4626865671641791,3.06664352655328,1.2025641025641025,46.519085350039326
incumbent,quarter,2025Q2,295,60,0.16610169491525423,0.23333333333333334,1.4047619047619049,0.9545454545454545,14.24890974346579
incumbent,quarter,2025Q3,330,83,0.34545454545454546,0.5662650602409639,1.6391883322764744,1.276923076923077,112.36601831492997
incumbent,quarter,2025Q4,325,91,0.20923076923076922,0.5274725274725275,2.521008403361345,1.4,95.88195200881103
incumbent,quarter,2026Q1,270,80,0.2851851851851852,0.6625,2.3230519480519476,1.4545454545454546,123.66066415540595
incumbent,quarter,2026Q2,310,73,0.3032258064516129,0.4931506849315068,1.6263480034975226,1.1355555555555554,100.51327326018578
incumbent,quarter,2026Q3,205,52,0.4682926829268293,0.9615384615384616,2.0532852564102564,1.3,171.49945738535564
per_currency_weights,all,all,2020,519,0.26782178217821784,0.5298651252408478,1.9784243123595426,1.2252951096121418,85.92585379593072
per_currency_weights,availability,present,1032,230,0.2567829457364341,0.5608695652173913,2.184216570959803,0.5430016863406408,89.55370381718458
per_currency_weights,availability,absent,988,289,0.2793522267206478,0.5051903114186851,1.8084348829045682,0.6822934232715009,83.0386375160401
per_currency_weights,currency,AMD,404,104,0.2623762376237624,0.5673076923076923,2.1621915820029027,1.2276559865092749,95.3006212418023
per_currency_weights,currency,KGS,404,104,0.24257425742574257,0.5480769230769231,2.2594191522762954,1.2276559865092749,93.83776125886101
per_currency_weights,currency,KZT,404,115,0.26485148514851486,0.43478260869565216,1.6416091019910604,1.3575042158516022,60.1989371358911
per_currency_weights,currency,TJS,404,96,0.2995049504950495,0.5833333333333334,1.947658402203857,1.1332209106239461,94.85928503629059
per_currency_weights,currency,UZS,404,100,0.2698019801980198,0.53,1.9644036697247707,1.1804384485666106,88.95757205907685
per_currency_weights,quarter,2025Q1,285,77,0.15087719298245614,0.4675324675324675,3.0987617034128663,1.382051282051282,48.75977195356679
per_currency_weights,quarter,2025Q2,295,68,0.16610169491525423,0.25,1.5051020408163267,1.0818181818181818,7.43707057961917
per_currency_weights,quarter,2025Q3,330,81,0.34545454545454546,0.5432098765432098,1.5724496426250811,1.2461538461538462,111.29525731121497
per_currency_weights,quarter,2025Q4,325,86,0.20923076923076922,0.5116279069767442,2.445280437756498,1.323076923076923,91.51287642583877
per_currency_weights,quarter,2026Q1,270,76,0.2851851851851852,0.6447368421052632,2.2607655502392343,1.3818181818181818,113.71232999166779
per_currency_weights,quarter,2026Q2,310,77,0.3032258064516129,0.45454545454545453,1.4990328820116054,1.1977777777777778,80.67704906904896
per_currency_weights,quarter,2026Q3,205,54,0.4682926829268293,0.9259259259259259,1.9772376543209875,1.35,159.18521866176354
last_basis_soft_w025,all,all,2020,507,0.26782178217821784,0.5483234714003945,2.047344569738996,1.196964586846543,95.04149815949943
last_basis_soft_w025,availability,present,1032,246,0.2567829457364341,0.5934959349593496,2.311274735388863,0.5807757166947723,106.59063186950442
last_basis_soft_w025,availability,absent,988,261,0.2793522267206478,0.5057471264367817,1.8104281192736964,0.6161888701517707,84.15610776616138
last_basis_soft_w025,currency,AMD,404,103,0.2623762376237624,0.5533980582524272,2.1091775050375525,1.2158516020236088,93.8463586659052
last_basis_soft_w025,currency,KGS,404,105,0.24257425742574257,0.5523809523809524,2.2771622934888245,1.239460370994941,92.96979757176518
last_basis_soft_w025,currency,KZT,404,105,0.26485148514851486,0.47619047619047616,1.797952825990209,1.239460370994941,93.15703238607877
last_basis_soft_w025,currency,TJS,404,96,0.2995049504950495,0.5833333333333334,1.947658402203857,1.1332209106239461,94.85928503629059
last_basis_soft_w025,currency,UZS,404,98,0.2698019801980198,0.5816326530612245,2.1557760718966485,1.1568296795952784,100.71485831857615
last_basis_soft_w025,quarter,2025Q1,285,69,0.15087719298245614,0.4927536231884058,3.2659251769464106,1.2384615384615385,51.57200526516165
last_basis_soft_w025,quarter,2025Q2,295,62,0.16610169491525423,0.22580645161290322,1.359447004608295,0.9863636363636363,9.112791904765048
last_basis_soft_w025,quarter,2025Q3,330,85,0.34545454545454546,0.5647058823529412,1.6346749226006192,1.3076923076923077,113.66627959874272
last_basis_soft_w025,quarter,2025Q4,325,87,0.20923076923076922,0.5287356321839081,2.5270453008789726,1.3384615384615386,100.1286637231683
