bin,n,predicted,actual
"(-0.001, 0.2]",896,0.11720659530690063,0.07142857142857142
"(0.2, 0.4]",448,0.315071758711637,0.28348214285714285
"(0.4, 0.6]",576,0.497091651067737,0.5034722222222222
"(0.6, 0.8]",100,0.6300914071344098,0.6
