candidate,horizon,lift,ci_low,ci_high,delta,delta_ci_low,delta_ci_high
incumbent,1,1.7800067233117465,1.575873577615732,2.0148789991900995,0.0,0.0,0.0
per_currency_weights,1,1.7266757369360968,1.5468665514804716,1.9427952540367293,-0.0533309863756497,-0.10654845697541665,0.003918786171420385
last_basis_soft_w025,1,1.7603753804137459,1.5572562583631095,1.9973405589785664,-0.019631342898000614,-0.04167141381563135,0.0014591250829356038
per_currency_weights_stale20,1,1.7170078728509697,1.5348550325532841,1.9280189133701342,-0.0629988504607768,-0.11803244782845125,-0.003782299440728796
residual_global_quantile_w10,1,1.7706166927291846,1.562756170854056,2.0100035225150426,-0.009390030582561826,-0.04108453940873667,0.018001346667653392
residual_global_quantile_w10_stale20,1,1.7657670380728436,1.5577730939264225,2.0071570411165953,-0.014239685238902844,-0.050331813549814246,0.015475402789818727
incumbent,3,2.0143077561432894,1.7137469942555528,2.391005349051608,0.0,0.0,0.0
per_currency_weights,3,1.950551414007192,1.6645028931528367,2.318974156817363,-0.06375634213609738,-0.12756405081190525,0.006846921501450853
last_basis_soft_w025,3,1.9999603990851265,1.6911465379558028,2.381848877255148,-0.014347357058162924,-0.05713768702916348,0.017403196710734373
per_currency_weights_stale20,3,1.9208614947766418,1.6352631680088299,2.2789081282032364,-0.09344626136664758,-0.17072381166211784,-0.015596747836311077
residual_global_quantile_w10,3,2.0118090690223673,1.7094503411470146,2.3879818971407647,-0.0024986871209220496,-0.03894034825033493,0.03044971041512599
residual_global_quantile_w10_stale20,3,2.003182152877161,1.6987556555395518,2.379941032779069,-0.011125603266128437,-0.054368382235542266,0.023656736983056502
incumbent,5,2.0529084958019066,1.7046922551336137,2.4558999598148112,0.0,0.0,0.0
per_currency_weights,5,1.9779974682018207,1.6319424238232776,2.387540679064338,-0.07491102760008594,-0.15306353526306407,0.008314555002434986
last_basis_soft_w025,5,2.0433206892872087,1.6886409005879304,2.4507332575967666,-0.009587806514697927,-0.05731186935265827,0.03537670995472763
per_currency_weights_stale20,5,1.911865122934279,1.586307253100736,2.2817568770282155,-0.1410433728676277,-0.24673360207554562,-0.044996019343818076
residual_global_quantile_w10,5,2.0378147259556028,1.6878055561794663,2.4488820825980975,-0.01509376984630384,-0.06484324916342263,0.02738994501590546
residual_global_quantile_w10_stale20,5,2.0264964562832732,1.6791140898719485,2.437422450496343,-0.026412039518633357,-0.07925752429113223,0.017279843810796162
incumbent,10,2.0050884539613714,1.6199800504670874,2.4365863508140078,0.0,0.0,0.0
per_currency_weights,10,1.9138014527845035,1.5556261121115318,2.3596298100738156,-0.09128700117686783,-0.201106329226433,0.04353859251635251
last_basis_soft_w025,10,2.013454156938784,1.6231944391458926,2.4739651497711685,0.008365702977412681,-0.04283140330928311,0.08342451432714702
per_currency_weights_stale20,10,1.8538215720191151,1.515794750484964,2.274494301206734,-0.15126688194225624,-0.265282857314798,-0.02614187005603413
residual_global_quantile_w10,10,1.9918093856065293,1.6099082043165147,2.4330880755904447,-0.01327906835484205,-0.07329077166126263,0.04145315792994944
residual_global_quantile_w10_stale20,10,1.9851064348589402,1.607142362840917,2.424959927782378,-0.019982019102431137,-0.08181618151394461,0.03397889079628221
incumbent,20,1.9283750433017024,1.479209345140989,2.457006399018372,0.0,0.0,0.0
per_currency_weights,20,1.7525515476600564,1.3392559974136662,2.2258309475577884,-0.175823495641646,-0.35490951685768285,-0.034382322644950114
last_basis_soft_w025,20,1.9038122436279445,1.4607195006779985,2.4316619568021314,-0.02456279967375785,-0.08617936023336409,0.03495959246070649
per_currency_weights_stale20,20,1.73697794099023,1.3892853263867928,2.2059894930380306,-0.19139710231147244,-0.3393463745763692,-0.032959697927375395
residual_global_quantile_w10,20,1.9006631275107917,1.4703614320638778,2.411086460507498,-0.0277119157909107,-0.1282960421290918,0.04214835041594867
residual_global_quantile_w10_stale20,20,1.8837347397118103,1.4676484915778445,2.379783509306746,-0.04464030358989213,-0.14321731638950022,0.021372452036782914
