candidate,aggregate,lift,delta,delta_ci_low,delta_ci_high
incumbent,minimum,1.7800067233117465,0.0,0.0,0.0
incumbent,mean,1.956137294504003,0.0,0.0,0.0
per_currency_weights,minimum,1.7266757369360968,-0.0533309863756497,-0.24850716467111328,0.0003846149344627424
per_currency_weights,mean,1.8643155239179336,-0.09182177058606933,-0.1540430849220429,-0.02993338695414816
last_basis_soft_w025,minimum,1.7603753804137459,-0.019631342898000614,-0.055995786129251934,0.019338305816063724
last_basis_soft_w025,mean,1.9441845738705616,-0.011952720633441327,-0.040933754561242174,0.015832699656962546
per_currency_weights_stale20,minimum,1.7170078728509697,-0.0629988504607768,-0.2062454406833593,-0.008752987117623632
per_currency_weights_stale20,mean,1.828106800714247,-0.12803049378975606,-0.18477328518787478,-0.06328578588543407
residual_global_quantile_w10,minimum,1.7706166927291846,-0.009390030582561826,-0.06719002765956941,0.029528108593782465
residual_global_quantile_w10,mean,1.942542600164895,-0.013594694339107871,-0.05042958589395321,0.016392639586861657
residual_global_quantile_w10_stale20,minimum,1.7657670380728436,-0.014239685238902844,-0.0760373892873123,0.02061442805887773
residual_global_quantile_w10_stale20,mean,1.9328573643608056,-0.023279930143197403,-0.06032468964690367,0.005078549038527563
