candidate,subset,n,share,target_rate,lift,benefit_bps
primary75_rocket25_lifecycle,control,3015,0.2536811106436685,0.4792703150912106,1.7446026630502411,61.177426040571554
primary75_rocket25_lifecycle,challenger,2950,0.24821203197307531,0.4850847457627119,1.7657679030290445,65.37103886205986
primary75_rocket25_lifecycle,intersection,2533,0.21312578880942365,0.4966442953020134,1.8078460795296873,70.6778800407143
primary75_rocket25_lifecycle,control_only,482,0.040555321834244845,0.3879668049792531,1.4122467005140653,11.250766326128439
primary75_rocket25_lifecycle,challenger_only,417,0.035086243163651665,0.4148681055155875,1.5101707301846117,33.13547841713973
primary75_rocket25_lifecycle,neither,8453,0.7112326461926799,0.19484206790488584,0.709248997564952,-25.28996484276036
primary_then_regime2024,control,3015,0.2536811106436685,0.4792703150912106,1.7446026630502411,61.177426040571554
primary_then_regime2024,challenger,3035,0.2553639040807741,0.48237232289950577,1.7558943515040202,62.48915624852663
primary_then_regime2024,intersection,2916,0.2453512831299958,0.47976680384087794,1.7464099429246045,62.624066034355295
primary_then_regime2024,control_only,99,0.008329827513672696,0.46464646464646464,1.6913700558417248,18.567302587304916
primary_then_regime2024,challenger_only,119,0.010012620950778293,0.5462184873949579,1.9883022121559186,59.18329964788475
primary_then_regime2024,neither,8751,0.7363062684055532,0.20054850874185806,0.7300211413160744,-23.654598442921305
