candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
availability_router,1.6070113281432101,1.65256264706836,14.992506486230345,64.71342053415641
calibrated_anchor,1.5415472779369628,1.5857951575691451,17.24150097183505,60.69014662372499
fixing_basis,1.577735815124539,1.6729836549847157,16.49971198892799,62.46220424789807
residual_extra,1.5581274505172658,1.6240355524621286,17.716443955863642,63.32177574127564
residual_hist,1.4981990607759996,1.5344730323631641,15.452814210588274,54.963792717545246
residual_mean,1.450989405938525,1.5353550396600866,15.085941496089529,53.2436398242523
router75_residual_extra25,1.5304835318850736,1.576152503499369,16.208375549637115,62.1241463990344
router75_residual_hist25,1.530864197530864,1.5830619279570743,16.382006161206146,61.05097272737803
router75_residual_mean25,1.5356379187455453,1.5868860404212337,15.956175316098689,61.21937949665214
