candidate,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals,period
fixing_basis,1,1.7396103896103892,0.4631578947368422,1.741866725832552,28.054559128418624,65.06036602007478,350,retrospective_2025
fixing_basis,3,1.9201058201058196,0.2842105263157895,1.9269312924238697,52.048781071790145,73.0307448153093,350,retrospective_2025
fixing_basis,5,1.983211678832117,0.22186234817813763,2.0007629961172935,59.319000275127806,69.35714929089217,350,retrospective_2025
fixing_basis,10,1.9969387755102042,0.14736842105263157,2.0177589550971904,69.92833629982685,47.51304464444981,350,retrospective_2025
fixing_basis,20,1.9866746698679472,0.09635627530364373,2.0285466914038346,80.84414238226239,0.26787894459618267,350,retrospective_2025
availability_router,1,1.8347461330070785,0.4617402181661668,1.8353510850699404,24.645037408020855,71.29138445737554,301,retrospective_2025
availability_router,3,2.069109947643979,0.2825937832057783,2.0709309702054446,47.59459511616479,81.64049710986345,301,retrospective_2025
availability_router,5,2.1130461350443017,0.22011648082639515,2.124213916850311,53.1069972012376,73.1672772624637,301,retrospective_2025
availability_router,10,2.0723769131477043,0.14588349227272115,2.102016965254662,55.94244880452312,43.57682773389214,301,retrospective_2025
availability_router,20,2.09588459906661,0.09510807430024076,2.15307309205965,69.99286598592711,8.01790336485358,301,retrospective_2025
selected,1,1.8347461330070785,0.4617402181661668,1.8353510850699404,24.645037408020855,71.29138445737554,301,retrospective_2025
selected,3,2.069109947643979,0.2825937832057783,2.0709309702054446,47.59459511616479,81.64049710986345,301,retrospective_2025
selected,5,2.1130461350443017,0.22011648082639515,2.124213916850311,53.1069972012376,73.1672772624637,301,retrospective_2025
selected,10,2.0723769131477043,0.14588349227272115,2.102016965254662,55.94244880452312,43.57682773389214,301,retrospective_2025
selected,20,2.09588459906661,0.09510807430024076,2.15307309205965,69.99286598592711,8.01790336485358,301,retrospective_2025
fixing_basis,1,1.6649978466838933,0.5503184713375796,1.6788898307937241,17.147843231212697,80.56972307526075,215,retrospective_2026
fixing_basis,3,1.8543760545814683,0.4038216560509555,1.8601366389905354,30.490713607571937,105.62863896867967,215,retrospective_2026
fixing_basis,5,1.900792613883808,0.3401273885350318,1.9128545334714242,41.30882307392707,124.30818513371938,215,retrospective_2026
fixing_basis,10,1.9073359073359073,0.29210526315789476,1.9204829540599966,61.911126208527754,162.56817860621248,210,retrospective_2026
fixing_basis,20,1.8865714285714286,0.24647887323943662,1.9025847827540314,104.36903167464645,207.3391746809576,200,retrospective_2026
availability_router,1,1.7125014129083307,0.5497592045984153,1.7210003266590437,17.7783057798972,86.89331334122015,205,retrospective_2026
availability_router,3,1.9579676674364892,0.4036041634301694,1.9607419968031077,32.2355118842437,110.97700850435014,205,retrospective_2026
availability_router,5,1.9957018747142206,0.3397545440422557,2.000840914826152,40.274638046774186,127.55265299738797,205,retrospective_2026
availability_router,10,1.954432664110083,0.2916447368421053,1.9576620502689686,53.992945723654664,161.3612069060955,200,retrospective_2026
availability_router,20,1.8230471771075019,0.2460982108869433,1.8295290435867688,93.13427170963708,195.10865339815422,185,retrospective_2026
selected,1,1.7125014129083307,0.5497592045984153,1.7210003266590437,17.7783057798972,86.89331334122015,205,retrospective_2026
selected,3,1.9579676674364892,0.4036041634301694,1.9607419968031077,32.2355118842437,110.97700850435014,205,retrospective_2026
selected,5,1.9957018747142206,0.3397545440422557,2.000840914826152,40.274638046774186,127.55265299738797,205,retrospective_2026
selected,10,1.954432664110083,0.2916447368421053,1.9576620502689686,53.992945723654664,161.3612069060955,200,retrospective_2026
selected,20,1.8230471771075019,0.2460982108869433,1.8295290435867688,93.13427170963708,195.10865339815422,185,retrospective_2026
fixing_basis,1,1.7081293096028234,0.49632519379729967,1.7103782783131378,23.904215910897786,70.96215675788892,565,combined_2025_2026
fixing_basis,3,1.8894729170677986,0.3297262659495252,1.8935339657072028,43.84526867390179,85.43525320995467,565,combined_2025_2026
fixing_basis,5,1.9432387212255309,0.2668658591104071,1.9568087647943588,52.46557001272399,90.26772045232198,565,combined_2025_2026
fixing_basis,10,1.9482638079701704,0.20164473684210524,1.9691209545785935,66.92188251558969,90.65871988011082,560,combined_2025_2026
fixing_basis,20,1.9272355126963518,0.15094631091665933,1.9655657370789328,89.39864757949296,75.56653193963669,550,combined_2025_2026
availability_router,1,1.7800067233117465,0.49740008421085247,1.778175705864492,21.863061155520167,77.61232402494105,506,combined_2025_2026
availability_router,3,2.0143077561432894,0.3316197277630909,2.015836483504277,41.372041632876595,93.52584263529778,506,combined_2025_2026
availability_router,5,2.0529084958019066,0.26858644714902646,2.0625274158382316,47.9081165161289,95.20087810368796,506,combined_2025_2026
availability_router,10,2.0050884539613714,0.2040716138573056,2.029839507761815,55.16420406166146,90.5965399782847,501,combined_2025_2026
availability_router,20,1.9283750433017024,0.15258374357707197,1.991301067823209,78.80183730050807,79.23557570263263,486,combined_2025_2026
selected,1,1.7800067233117465,0.49740008421085247,1.778175705864492,21.863061155520167,77.61232402494105,506,combined_2025_2026
selected,3,2.0143077561432894,0.3316197277630909,2.015836483504277,41.372041632876595,93.52584263529778,506,combined_2025_2026
selected,5,2.0529084958019066,0.26858644714902646,2.0625274158382316,47.9081165161289,95.20087810368796,506,combined_2025_2026
selected,10,2.0050884539613714,0.2040716138573056,2.029839507761815,55.16420406166146,90.5965399782847,501,combined_2025_2026
selected,20,1.9283750433017024,0.15258374357707197,1.991301067823209,78.80183730050807,79.23557570263263,486,combined_2025_2026
