candidate,quarter,n_train,n_test,last_resolved,n_features,residual_weight
residual_hist,2024-01-01,2055,285,2023-12-30,48,0.25
residual_hist_stale20,2024-01-01,2055,285,2023-12-30,48,0.25
residual_extra,2024-01-01,2055,285,2023-12-30,48,0.25
residual_extra_stale20,2024-01-01,2055,285,2023-12-30,48,0.25
residual_hist,2024-04-01,2340,300,2024-03-30,48,0.25
residual_hist_stale20,2024-04-01,2340,300,2024-03-30,48,0.25
residual_extra,2024-04-01,2340,300,2024-03-30,48,0.25
residual_extra_stale20,2024-04-01,2340,300,2024-03-30,48,0.25
residual_hist,2024-07-01,2640,325,2024-06-29,48,0.25
residual_hist_stale20,2024-07-01,2640,325,2024-06-29,48,0.25
residual_extra,2024-07-01,2640,325,2024-06-29,48,0.25
residual_extra_stale20,2024-07-01,2640,325,2024-06-29,48,0.25
residual_hist,2024-10-01,2965,330,2024-09-28,48,0.25
residual_hist_stale20,2024-10-01,2965,330,2024-09-28,48,0.25
residual_extra,2024-10-01,2965,330,2024-09-28,48,0.25
residual_extra_stale20,2024-10-01,2965,330,2024-09-28,48,0.25
residual_hist,2025-01-01,3295,285,2024-12-29,48,0.25
residual_hist_stale20,2025-01-01,3295,285,2024-12-29,48,0.25
residual_extra,2025-01-01,3295,285,2024-12-29,48,0.25
residual_extra_stale20,2025-01-01,3295,285,2024-12-29,48,0.25
residual_hist,2025-04-01,3580,295,2025-03-29,48,0.25
residual_hist_stale20,2025-04-01,3580,295,2025-03-29,48,0.25
residual_extra,2025-04-01,3580,295,2025-03-29,48,0.25
residual_extra_stale20,2025-04-01,3580,295,2025-03-29,48,0.25
residual_hist,2025-07-01,3875,330,2025-06-28,48,0.25
residual_hist_stale20,2025-07-01,3875,330,2025-06-28,48,0.25
residual_extra,2025-07-01,3875,330,2025-06-28,48,0.25
residual_extra_stale20,2025-07-01,3875,330,2025-06-28,48,0.25
residual_hist,2025-10-01,4205,325,2025-09-30,48,0.25
residual_hist_stale20,2025-10-01,4205,325,2025-09-30,48,0.25
residual_extra,2025-10-01,4205,325,2025-09-30,48,0.25
residual_extra_stale20,2025-10-01,4205,325,2025-09-30,48,0.25
residual_hist,2026-01-01,4530,270,2025-12-31,48,0.25
residual_hist_stale20,2026-01-01,4530,270,2025-12-31,48,0.25
residual_extra,2026-01-01,4530,270,2025-12-31,48,0.25
residual_extra_stale20,2026-01-01,4530,270,2025-12-31,48,0.25
residual_hist,2026-04-01,4800,310,2026-03-31,48,0.25
residual_hist_stale20,2026-04-01,4800,310,2026-03-31,48,0.25
residual_extra,2026-04-01,4800,310,2026-03-31,48,0.25
residual_extra_stale20,2026-04-01,4800,310,2026-03-31,48,0.25
residual_hist,2026-07-01,5110,205,2026-06-30,48,0.25
residual_hist_stale20,2026-07-01,5110,205,2026-06-30,48,0.25
residual_extra,2026-07-01,5110,205,2026-06-30,48,0.25
residual_extra_stale20,2026-07-01,5110,205,2026-06-30,48,0.25
