stage,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta,ece_delta,noninferior
screen_2019_2022,pooled,all,4920,0.1315040650406504,0.13498020133715738,0.11864616094786476,0.40284288967149384,0.020014875764974807,0.11439362274783003,0.3900538996069941,0.00330452505386436,0.004252538200034725,0.012788990064499739,0.3731375000859066,0.09824055791237706,0.012643459470721374,0.016710350711110447,False
screen_2019_2022,year,2019,1230,0.07317073170731707,0.12820900330179677,0.07092770729139024,0.27782565758371447,0.0550382715944797,0.07092770729139024,0.27782565758371447,0.0550382715944797,0.0,0.0,0.3939327485380117,0.05987413832220222,0.0,0.0,True
screen_2019_2022,year,2020,1215,0.1720164609053498,0.12319024978837688,0.14732737726700024,0.4816906457848266,0.04882621111697286,0.14475810791816227,0.4687907948033293,0.042958557288919424,0.0025692693488379714,0.012899850981497318,0.28177347398860425,0.11680603042489107,0.006311413813768096,0.005867653828053439,False
screen_2019_2022,year,2021,1240,0.11612903225806452,0.12962116622542663,0.1030194659085711,0.3608226800044933,0.01349213396736211,0.1028904352038686,0.3602670390844581,0.011595038531551208,0.000129030704702493,0.0005556409200351831,0.391885898215734,0.09185646141022973,0.04227493917274938,0.0018970954358109027,True
screen_2019_2022,year,2022,1235,0.1651821862348178,0.15870373838477514,0.15364464031502117,0.49197344171793095,0.1048150024082413,0.1393605693745341,0.45427342760135153,0.03735914008041227,0.014284070940487087,0.03770001411657942,0.4201850478309655,0.13374174503886507,0.006539909853369108,0.06745586232782903,False
screen_2019_2022,currency,AMD,984,0.14735772357723578,0.13349159479011402,0.12966140931824066,0.43169147848532546,0.0350007988590152,0.12617537697165246,0.42041326616407604,0.01915818359044974,0.0034860323465882026,0.011278212321249426,0.3879289794911841,0.11329295915624216,0.009395421478771926,0.01584261526856546,False
screen_2019_2022,currency,KGS,984,0.125,0.1353559992260591,0.11380044482268495,0.39040008018703265,0.014930404954742507,0.10956849054864101,0.37763619998330916,0.003199539986786043,0.004231954274043936,0.012763880203723488,0.3524546046854196,0.09046228953603613,0.014994853781290396,0.011730864967956464,False
screen_2019_2022,currency,KZT,984,0.12398373983739837,0.1338535237421089,0.11224434878366314,0.3864012331379379,0.01301451504145857,0.10877804040873719,0.3755331924599122,0.0042158001493876746,0.0034663083749259527,0.010868040678025714,0.3827450458331748,0.09453154667847646,0.011653227340154448,0.008798714892070895,False
screen_2019_2022,currency,TJS,984,0.14126016260162602,0.1365470754310159,0.12669140902089293,0.4223842204397946,0.026026820526454737,0.12165978446023203,0.4088076960585424,0.013060622614839978,0.005031624560660905,0.01357652438125223,0.3829551743220808,0.11034033638347303,0.01902005023200376,0.012966197911614758,False
screen_2019_2022,currency,UZS,984,0.11991869918699187,0.13565281349648892,0.11083319279384209,0.3833374361073785,0.019723951833545257,0.1057864213498875,0.36787914336913075,0.008280840799794173,0.005046771443954587,0.01545829273824778,0.35622577993502175,0.08800804787864552,0.008963870513171823,0.011443111033751084,False
validation_2023_2024,pooled,all,2475,0.21696969696969698,0.15120679156105032,0.17545413796608972,0.5436736079671568,0.06576290540864664,0.1765844630459551,0.5479270761513967,0.07742371644858045,-0.0011303250798653797,-0.004253468184239884,0.39677007723603014,0.19278194928190123,0.07815175467423074,-0.011660811039933813,True
validation_2023_2024,year,2023,1235,0.24534412955465587,0.14247862022699523,0.19864229460360197,0.6058784784757498,0.10286550932766064,0.19771670665759863,0.6024169935439113,0.10753684225139049,0.0009255879460033367,0.00346148493183851,0.3020935140724373,0.1721658963407992,0.011285570617147578,-0.004671332923729843,False
validation_2023_2024,year,2024,1240,0.18870967741935485,0.15989976865585515,0.1523594819601804,0.4817195635493243,0.028809908763499696,0.15553743009403592,0.49365687616772275,0.04743201454013651,-0.0031779481338555238,-0.011937312618398421,0.5647695026422661,0.22369505950178442,0.19148782518563834,-0.018622105776636817,True
validation_2023_2024,currency,AMD,495,0.25252525252525254,0.15164059518137912,0.20049250330051704,0.6062957649961287,0.10170716660396027,0.20237665487994402,0.6132910652224173,0.11297927200413602,-0.0018841515794269792,-0.006995300226288581,0.3747891891891892,0.22013189777751146,0.06901621621621623,-0.011272105400175744,True
validation_2023_2024,currency,KGS,495,0.23434343434343435,0.15082553203114718,0.1873524686691686,0.5728242498270655,0.08351790231228717,0.18900404355351355,0.579084298297703,0.09479745382231783,-0.0016515748843449474,-0.006260048470637547,0.41927486125011365,0.21901400007062777,0.08620689655172409,-0.011279551510030655,True
validation_2023_2024,currency,KZT,495,0.18787878787878787,0.15109809188706705,0.15472234256648293,0.49173046540887194,0.03840132435162086,0.15568768961856966,0.49531817493821617,0.04833280735767134,-0.0009653470520867291,-0.0035877095293442296,0.3975017386187343,0.17963449681697063,0.12076713208152784,-0.009931483006050484,True
validation_2023_2024,currency,TJS,495,0.2080808080808081,0.15131676237049255,0.16889738042383606,0.5268954910620358,0.056764045710315555,0.17001832480462165,0.5310802181348899,0.06853482755969156,-0.0011209443807855823,-0.004184727072854111,0.4140083217753121,0.19786928036533918,0.07227065583514958,-0.011770781849376008,True
validation_2023_2024,currency,UZS,495,0.20202020202020202,0.15115297633516567,0.1658059948704441,0.5206220685416824,0.05086722568503638,0.16583560237312667,0.5208616241637566,0.06247422149908549,-2.9607502682577058e-05,-0.00023955562207422787,0.37982278481012655,0.1771914320566695,0.04929113924050632,-0.011606995814049115,True
