policy,history,first,second,fallback,fallback_weekday,cap,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min,frequency,corridor_frequency_min,corridor_frequency_max,quarter_frequency_min,quarter_frequency_max
h20_f70_s88_b50_d3,20,0.7,0.88,0.5,3,2,1.3306343438285002,1.4037345328271384,3.812493552025052,38.097493767779895,1.2022598870056498,1.1666666666666667,1.225988700564972,1.1168539325842697,1.4795454545454547
h20_f70_s88_b50_d4,20,0.7,0.88,0.5,4,2,1.3605316025343845,1.4592770424268402,4.495019190100528,42.47090720490641,1.1389830508474577,1.1073446327683616,1.2062146892655368,1.0224719101123596,1.4477272727272728
h20_f70_s88_b60_d3,20,0.7,0.88,0.6,3,2,1.347589833479404,1.4372349568469729,4.205520379199621,39.77532336490554,1.1706214689265537,1.1073446327683616,1.2062146892655368,1.05,1.4477272727272728
h20_f70_s88_b60_d4,20,0.7,0.88,0.6,4,2,1.3821498093384177,1.5025170717135194,4.815423908437259,44.07119024261087,1.0994350282485876,1.0282485875706215,1.1864406779661016,0.9704545454545455,1.415909090909091
h20_f70_s92_b50_d3,20,0.7,0.92,0.5,3,2,1.3468407310704962,1.4077380162741648,5.385257305457129,36.508468870443096,1.1231638418079095,1.0875706214689267,1.1468926553672316,0.9910112359550562,1.415909090909091
h20_f70_s92_b50_d4,20,0.7,0.92,0.5,4,2,1.3799518312432522,1.4676961869672034,6.212614036131198,41.113389286618656,1.0598870056497176,1.0282485875706215,1.0875706214689267,0.8966292134831462,1.384090909090909
h20_f70_s92_b60_d3,20,0.7,0.92,0.6,3,2,1.3654920498495917,1.4437915941807478,5.8523516926713635,38.26182162975649,1.0915254237288137,1.0480225988700564,1.1271186440677967,0.9545454545454546,1.384090909090909
h20_f70_s92_b60_d4,20,0.7,0.92,0.6,4,2,1.4039887349847693,1.5146153850814987,6.624429773177391,42.785108299405316,1.0203389830508476,0.9689265536723164,1.0677966101694916,0.875,1.3522727272727273
h20_f70_s96_b50_d3,20,0.7,0.96,0.5,3,2,1.2385875755717164,1.3616151247912012,5.7041587749147435,34.78517231166734,0.9649717514124294,0.9491525423728814,0.9887005649717514,0.9386363636363637,1.065909090909091
h20_f70_s96_b50_d4,20,0.7,0.96,0.5,4,2,1.2825575928537847,1.4289064849572752,6.699044859704096,40.07704041076664,0.9016949152542374,0.8502824858757062,0.9491525423728814,0.8590909090909091,1.0340909090909092
h20_f70_s96_b60_d3,20,0.7,0.96,0.6,3,2,1.2802028618003984,1.4023279175369656,6.26123192163843,36.7772866722618,0.9333333333333335,0.9096045197740114,0.9491525423728814,0.8590909090909091,1.0340909090909092
h20_f70_s96_b60_d4,20,0.7,0.96,0.6,4,2,1.3386985965256648,1.4828559213414318,7.2087364578400885,42.00795791783287,0.8621468926553673,0.8305084745762712,0.9293785310734464,0.7795454545454547,1.0022727272727272
h20_f75_s88_b50_d3,20,0.75,0.88,0.5,3,2,1.363908666830346,1.4362052907903144,2.638183400743528,39.676967425781726,1.1943502824858758,1.1666666666666667,1.2062146892655368,1.101123595505618,1.4795454545454547
h20_f75_s88_b50_d4,20,0.75,0.88,0.5,4,2,1.4004884004884006,1.4968603052680816,4.003572069688032,45.1735323173061,1.1073446327683616,1.0875706214689267,1.1271186440677967,0.9280898876404495,1.4477272727272728
h20_f75_s88_b60_d3,20,0.75,0.88,0.6,3,2,1.3848770210929768,1.4728648378483014,3.425974963118703,41.725760965443484,1.1548022598870056,1.0875706214689267,1.1864406779661016,1.0181818181818183,1.4477272727272728
h20_f75_s88_b60_d4,20,0.75,0.88,0.6,4,2,1.4278787878787875,1.537362319875149,4.422669975487804,47.35978296175044,1.0638418079096046,0.9887005649717514,1.1073446327683616,0.9227272727272727,1.415909090909091
h20_f75_s88_b70_d3,20,0.75,0.88,0.7,3,2,1.4231433506044904,1.5343200559349142,3.7703694143366855,47.22978756438194,1.0519774011299436,0.9491525423728814,1.1468926553672316,0.875,1.4000000000000001
h20_f75_s88_b70_d4,20,0.75,0.88,0.7,4,2,1.4274398062402054,1.5329848295302075,4.199998664498395,48.4782253736118,1.0282485875706215,0.9293785310734464,1.0875706214689267,0.8431818181818181,1.4000000000000001
h20_f75_s92_b50_d3,20,0.75,0.92,0.5,3,2,1.3842404549147038,1.449095018202121,4.092215787888188,38.09346975556188,1.1192090395480228,1.0875706214689267,1.1468926553672316,0.9910112359550562,1.415909090909091
h20_f75_s92_b50_d4,20,0.75,0.92,0.5,4,2,1.4309996873312303,1.5152944863904565,5.679562683756556,43.85669282407525,1.0322033898305085,1.0084745762711864,1.0677966101694916,0.8179775280898877,1.384090909090909
h20_f75_s92_b60_d3,20,0.75,0.92,0.6,3,2,1.4074074074074074,1.4887809897797806,4.988096594060343,40.22684974412977,1.0796610169491525,1.0282485875706215,1.1271186440677967,0.9227272727272727,1.384090909090909
h20_f75_s92_b60_d4,20,0.75,0.92,0.6,4,2,1.455752868281403,1.5596564471590917,6.204255617416126,46.1511575797952,0.9887005649717514,0.9293785310734464,1.0282485875706215,0.8179775280898877,1.3522727272727273
h20_f75_s92_b70_d3,20,0.75,0.92,0.7,3,2,1.450988628521708,1.5566466403032309,5.52341678202984,45.99648287596568,0.9768361581920904,0.8898305084745763,1.0480225988700564,0.7795454545454547,1.3363636363636364
h20_f75_s92_b70_d4,20,0.75,0.92,0.7,4,2,1.4563118735780605,1.555746941593474,6.030561550694584,47.31264056173028,0.9531073446327685,0.8700564971751413,1.0084745762711864,0.7477272727272728,1.3363636363636364
h20_f75_s96_b50_d3,20,0.75,0.96,0.5,3,2,1.2374587899848526,1.3859517840841677,4.153298951481607,36.45319287563488,0.9491525423728814,0.9293785310734464,0.9689265536723164,0.9227272727272727,1.05
h20_f75_s96_b50_d4,20,0.75,0.96,0.5,4,2,1.2675447218399845,1.4588789887967533,6.0599107378150885,43.187665946844035,0.8621468926553673,0.8107344632768362,0.8898305084745763,0.7865168539325843,1.0181818181818183
h20_f75_s96_b60_d3,20,0.75,0.96,0.6,3,2,1.2904664560490615,1.4304562331500688,5.219326306790008,38.91410578032951,0.9096045197740114,0.8700564971751413,0.9491525423728814,0.8272727272727273,1.0181818181818183
h20_f75_s96_b60_d4,20,0.75,0.96,0.6,4,2,1.3308565531475747,1.5097332160860337,6.713809588102704,45.92320649409256,0.8186440677966101,0.7909604519774012,0.8700564971751413,0.7318181818181818,0.9863636363636364
h20_f75_s96_b70_d3,20,0.75,0.96,0.7,3,2,1.3246753246753247,1.5053503460601858,5.896954046787248,45.73257656711708,0.8067796610169491,0.7514124293785311,0.9096045197740114,0.6840909090909091,0.9704545454545455
h20_f75_s96_b70_d4,20,0.75,0.96,0.7,4,2,1.3099062196830868,1.5027494735916234,6.525555626770822,47.32656931669373,0.7830508474576272,0.731638418079096,0.8502824858757062,0.6522727272727272,0.9704545454545455
h20_f80_s88_b50_d3,20,0.8,0.88,0.5,3,2,1.345972935813011,1.405539942428011,0.9532732302500998,39.65622902925112,1.1666666666666667,1.1468926553672316,1.1864406779661016,1.053932584269663,1.4795454545454547
h20_f80_s88_b50_d4,20,0.8,0.88,0.5,4,2,1.3882447021191522,1.4719916672823017,3.372060066191664,46.909113910726845,1.0559322033898306,1.0282485875706215,1.0875706214689267,0.7865168539325843,1.4477272727272728
h20_f80_s88_b60_d3,20,0.8,0.88,0.6,3,2,1.3948696383515562,1.454173061479964,2.8561548921240543,42.09302437210164,1.1152542372881356,1.0480225988700564,1.1666666666666667,0.9910112359550562,1.4477272727272728
h20_f80_s88_b60_d4,20,0.8,0.88,0.6,4,2,1.4425280703785164,1.5135314478701525,3.7853050061200966,49.28096086730166,1.0124293785310736,0.9293785310734464,1.0677966101694916,0.7865168539325843,1.415909090909091
h20_f80_s88_b70_d3,20,0.8,0.88,0.7,3,2,1.4418604651162792,1.5365601336342891,3.0586881740920475,48.17233539668388,0.9926553672316385,0.8700564971751413,1.1271186440677967,0.8431818181818181,1.3681818181818182
h20_f80_s88_b70_d4,20,0.8,0.88,0.7,4,2,1.449280418665504,1.520434920927958,3.726390412841081,51.16956249118953,0.9649717514124294,0.8502824858757062,1.0480225988700564,0.7865168539325843,1.3681818181818182
h20_f80_s92_b50_d3,20,0.8,0.92,0.5,3,2,1.3818294381674663,1.4166390373250146,2.328193057505766,38.03114254299641,1.0915254237288137,1.0875706214689267,1.1073446327683616,0.9438202247191012,1.415909090909091
h20_f80_s92_b50_d4,20,0.8,0.92,0.5,4,2,1.4258989101518924,1.4954448662793118,5.830200495545575,46.792427883547475,0.9847457627118644,0.9491525423728814,1.0084745762711864,0.6921348314606742,1.384090909090909
h20_f80_s92_b60_d3,20,0.8,0.92,0.6,3,2,1.418980241833197,1.4693408193107256,4.4365070742463715,40.56365266604789,1.0401129943502825,0.9887005649717514,1.0677966101694916,0.8808988764044944,1.384090909090909
h20_f80_s92_b60_d4,20,0.8,0.92,0.6,4,2,1.474673889355873,1.541167107117769,6.388310786909321,49.338265171716316,0.9412429378531074,0.8700564971751413,0.9887005649717514,0.6921348314606742,1.3522727272727273
h20_f80_s92_b70_d3,20,0.8,0.92,0.7,3,2,1.4730320932460483,1.56050299520815,4.866794882090155,46.936482598299946,0.9175141242937853,0.8107344632768362,1.0282485875706215,0.7477272727272728,1.3045454545454545
h20_f80_s92_b70_d4,20,0.8,0.92,0.7,4,2,1.4874147876245414,1.5500614108169697,6.462916577216361,51.38032910039603,0.8937853107344633,0.7909604519774012,0.9689265536723164,0.6921348314606742,1.3045454545454545
h20_f80_s96_b50_d3,20,0.8,0.96,0.5,3,2,1.2070897235742493,1.3454727406417895,2.0655620783468653,36.33008451156811,0.9214689265536724,0.8700564971751413,0.9491525423728814,0.9068181818181819,1.05
h20_f80_s96_b50_d4,20,0.8,0.96,0.5,4,2,1.2374220374220373,1.431552675977774,6.264148562010079,46.69722763267807,0.8146892655367233,0.7514124293785311,0.8700564971751413,0.6606741573033709,1.0181818181818183
h20_f80_s96_b60_d3,20,0.8,0.96,0.6,3,2,1.2771084337349399,1.4045011634503344,4.570436549591017,39.25706818408616,0.8700564971751413,0.8107344632768362,0.9293785310734464,0.8113636363636363,1.0181818181818183
h20_f80_s96_b60_d4,20,0.8,0.96,0.6,4,2,1.3029772329246936,1.4840712763791466,6.969808449577676,49.79908441126585,0.7711864406779662,0.731638418079096,0.8502824858757062,0.6606741573033709,0.9863636363636364
h20_f80_s96_b70_d3,20,0.8,0.96,0.7,3,2,1.3449327759575187,1.5060454551675888,5.120587793799704,46.86549371499443,0.747457627118644,0.672316384180791,0.8898305084745763,0.6522727272727272,0.9386363636363637
h20_f80_s96_b70_d4,20,0.8,0.96,0.7,4,2,1.3006993006993006,1.491393996435474,7.100075556470631,52.351195224141335,0.7237288135593221,0.652542372881356,0.8305084745762712,0.6204545454545455,0.9386363636363637
h20_f85_s88_b50_d3,20,0.85,0.88,0.5,3,2,1.312708772290457,1.3807380677537755,1.4432841208060505,41.0595391762367,1.1508474576271188,1.1271186440677967,1.1666666666666667,1.0382022471910113,1.4795454545454547
h20_f85_s88_b50_d4,20,0.85,0.88,0.5,4,2,1.3487719298245613,1.4624643812637241,3.520136584572138,48.695451375345996,1.0124293785310736,0.9887005649717514,1.0282485875706215,0.7078651685393259,1.4477272727272728
h20_f85_s88_b60_d3,20,0.85,0.88,0.6,3,2,1.3677949605277386,1.431407206339113,3.008800961370565,43.343067889894016,1.0915254237288137,1.0282485875706215,1.1271186440677967,0.9545454545454546,1.4318181818181819
h20_f85_s88_b60_d4,20,0.85,0.88,0.6,4,2,1.4015602924012531,1.5151704137648774,3.5272385075948978,51.26808890632756,0.9610169491525424,0.9096045197740114,0.9887005649717514,0.7078651685393259,1.384090909090909
h20_f85_s88_b70_d3,20,0.85,0.88,0.7,3,2,1.4443354585581165,1.5239788767129163,3.352424743208127,50.07814862901139,0.9610169491525424,0.8502824858757062,1.0677966101694916,0.7795454545454547,1.3363636363636364
h20_f85_s88_b70_d4,20,0.85,0.88,0.7,4,2,1.420648353079026,1.5343454766414801,3.577446426441996,53.76800409459673,0.9056497175141243,0.8305084745762712,0.9491525423728814,0.7078651685393259,1.3204545454545455
h20_f85_s92_b50_d3,20,0.85,0.92,0.5,3,2,1.3230667693323068,1.3902575834289181,2.8726520591998996,38.95929891400914,1.0757062146892655,1.0677966101694916,1.0875706214689267,0.9280898876404495,1.415909090909091
h20_f85_s92_b50_d4,20,0.85,0.92,0.5,4,2,1.3984086210137208,1.4903588037157676,6.817491235978952,50.155113420045716,0.9451977401129943,0.9096045197740114,0.9689265536723164,0.6292134831460674,1.384090909090909
h20_f85_s92_b60_d3,20,0.85,0.92,0.6,3,2,1.38281930649939,1.4466688032383859,4.81462158067426,40.84909019413739,1.0163841807909604,0.9689265536723164,1.0480225988700564,0.8590909090909091,1.3681818181818182
h20_f85_s92_b60_d4,20,0.85,0.92,0.6,4,2,1.457859973579921,1.5485746799944937,7.0147982172303625,53.00523079442456,0.8937853107344633,0.8502824858757062,0.9293785310734464,0.6292134831460674,1.3204545454545455
