period,history,first,second,fallback,fallback_weekday,cap,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min,frequency,corridor_frequency_min,corridor_frequency_max,quarter_frequency_min,quarter_frequency_max
retrospective_2025,40,0.75,0.92,0.5,4,2,1.5047189167008619,1.7758058118983637,21.80407258040949,-14.798158972839907,1.092394366197183,1.064788732394366,1.123943661971831,0.9704545454545455,1.2461538461538462
retrospective_2026,40,0.75,0.92,0.5,4,2,1.5660865069791488,1.6177587424644138,19.653764369915287,71.1106440429162,1.1573333333333333,1.1199999999999999,1.2133333333333332,0.8244444444444444,1.45
combined_2025_2026,40,0.75,0.92,0.5,4,2,1.5528528698828432,1.68445324346438,20.940233860858903,62.80213602974672,1.0930860033726812,1.0741989881956155,1.109612141652614,0.8244444444444444,1.45
