n,primary_n,baseload_n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_lift_min,quarter_frequency_min,quarter_frequency_max,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,period,trailing_days,floor_per_week,fallback_weekday,weekly_cap
301,204,97,1.1903954802259888,0.46179401993355484,0.3379032258064516,1.3666457869155322,52.98774494502337,1.185695161598776,1.1073446327683616,1.2457627118644068,0.9946949602122016,0.9227272727272727,1.4000000000000001,1.3666457869155322,1.3666457869155322,1.1903954802259888,1.1903954802259888,screen_2024,56,1.5,3,2
270,198,72,1.064788732394366,0.3148148148148148,0.22186234817813766,1.4189645850229793,7.647755287035121,1.3265306122448979,0.9661971830985915,1.2028169014084507,1.0034013605442176,0.6615384615384615,1.4307692307692308,1.4189645850229793,1.4189645850229793,1.064788732394366,1.064788732394366,retrospective_2025,56,1.5,3,2
162,69,93,1.0079999999999998,0.4012345679012346,0.3401273885350318,1.1796596846534426,68.01386202196466,0.9443609022556392,0.8711111111111111,1.0888888888888888,0.9327107279693486,0.3733333333333333,2.175,1.1796596846534426,1.1796596846534426,1.0079999999999998,1.0079999999999998,retrospective_2026,56,1.5,3,2
432,267,165,1.0198988195615515,0.3472222222222222,0.26782178217821784,1.296467447114397,30.285045312633695,1.1799065420560748,0.9679595278246207,1.1332209106239461,0.9327107279693486,0.3733333333333333,2.175,1.2993121348382108,1.1796596846534426,1.0079999999999998,1.064788732394366,combined_2025_2026,56,1.5,3,2
